queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02961	LIMEN-SIGNAL-C142023BEEC6079D	country_gap_no_parent_source		Bhutan algorithm register placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:19610	Local country_profile_wrapper row/context has no explicit I05 parent source URL.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02962	LIMEN-SIGNAL-C1427425729E32EB	country_gap_no_parent_source		Angola AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:24868	Local country_profile_wrapper row/context has no explicit I08 parent source URL.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02963	LIMEN-SIGNAL-C443F5C8090D0679	country_gap_no_parent_source		research queue AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:248	Local research_queue_wrapper row/context has no explicit I08 parent source URL.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02964	LIMEN-SIGNAL-C94783B241C7A292	source_url_extracted	https://eprocurement.gov.tj/ru/searchanno	Public procurement portal and electronic digital signature documentation — State public procurement portal	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:23857	Target I08 source URL is explicitly present in local country top_sources for Tajikistan.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	route extracted direct URL to source review only
BPSE-02965	LIMEN-SIGNAL-CC02451CF69E2C8A	country_gap_no_parent_source		Macau AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:22117	Local source_pack_or_profile_wrapper row/context has no explicit I08 parent source URL.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02966	LIMEN-SIGNAL-D48A8ECD1B8F586B	country_gap_no_parent_source		Malawi AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:27305	Local source_pack_or_profile_wrapper row/context has no explicit I08 parent source URL.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02967	LIMEN-SIGNAL-D7C183F468C56B33	source_url_extracted	https://www.ufsa.gov.mz/	UFSA procurement portal — Unidade Funcional de Supervisao das Aquisicoes (UFSA)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:27516	Target I08 source URL is explicitly present in local country top_sources for Mozambique.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	route extracted direct URL to source review only
BPSE-02968	LIMEN-SIGNAL-D96D7958BF417FE4	country_gap_no_parent_source		Bouvet Island AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:34016	Local source_pack_or_profile_wrapper row/context has no explicit I08 parent source URL.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02969	LIMEN-SIGNAL-DFB98A24BDF2C1CD	source_url_extracted	https://e-mongolia.mn/home	E-Mongolia digital services portal — E-Mongolia	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:22024	Target I08 source URL is explicitly present in local country top_sources for Mongolia.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	route extracted direct URL to source review only
BPSE-02970	LIMEN-SIGNAL-E1D2BC5B2A6188EF	country_gap_no_parent_source		Eritrea AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:25933	Local source_pack_or_profile_wrapper row/context has no explicit I08 parent source URL.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02971	LIMEN-SIGNAL-E1DEA1BCF90CA4AD	country_gap_no_parent_source		Nepal AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:22574	Local source_pack_or_profile_wrapper row/context has no explicit I08 parent source URL.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02972	LIMEN-SIGNAL-E377E3D0B30666A8	country_gap_no_parent_source		Western Sahara AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:30354	Local source_pack_or_profile_wrapper row/context has no explicit I08 parent source URL.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02973	LIMEN-SIGNAL-E41BC1D4BCC599FC	country_gap_no_parent_source		Syria algorithm register placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:23432	Local source_pack_or_profile_wrapper row/context has no explicit I05 parent source URL.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02974	LIMEN-SIGNAL-E7E91E5E9E703E54	country_gap_no_parent_source		Chad AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:28524	Local source_pack_or_profile_wrapper row/context has no explicit I08 parent source URL.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02975	LIMEN-SIGNAL-EAB7C93006BFF258	country_gap_no_parent_source		French Southern and Antarctic Lands AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:37212	Local source_pack_or_profile_wrapper row/context has no explicit I08 parent source URL.	Source-resolution queueing only; no incident, legality, deployment, prevalence, or compliance claim.	leave unresolved unless local source-pack later supplies a named URL
BPSE-02976	LIMEN-SIGNAL-EB504049887B2574	country_gap_no_parent_source		Azerbaijan algorithm register placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:18997	Local country_profile_summary row/context has no explicit I05 parent source URL.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	leave unresolved unless local source-pack later supplies a named URL
BPSE-02977	LIMEN-SIGNAL-EEB9FB735AA5C084	country_gap_no_parent_source		Heard Island and McDonald Islands AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:35233	Local country_profile_dimension_label row/context has no explicit I08 parent source URL.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	leave unresolved unless local source-pack later supplies a named URL
BPSE-02978	LIMEN-SIGNAL-EECABDFAD28EDFD6	country_gap_no_parent_source		Christmas Island AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:34472	Local country_profile_dimension_label row/context has no explicit I08 parent source URL.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	leave unresolved unless local source-pack later supplies a named URL
BPSE-02979	LIMEN-SIGNAL-EF9F1215ADE3C808	country_gap_no_parent_source		North Korea AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:20895	Local country_profile_dimension_label row/context has no explicit I08 parent source URL.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	leave unresolved unless local source-pack later supplies a named URL
BPSE-02980	LIMEN-SIGNAL-EFC4CD8529FCF39B	country_gap_no_parent_source		Egypt AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:30202	Local country_profile_dimension_label row/context has no explicit I08 parent source URL.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	leave unresolved unless local source-pack later supplies a named URL
BPSE-02981	LIMEN-SIGNAL-F3202ED8577E9D5E	source_url_extracted	https://www.palaugov.pw/rfp-bids/	ROP Procurement — Palau National Government	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:36940	Target I08 source URL is explicitly present in local country top_sources for Palau.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	route extracted direct URL to source review only
BPSE-02982	LIMEN-SIGNAL-F5DEFF9B5D9F2FEA	country_gap_no_parent_source		Nauru AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:36148	Local country_profile_dimension_label row/context has no explicit I08 parent source URL.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	leave unresolved unless local source-pack later supplies a named URL
BPSE-02983	LIMEN-SIGNAL-F6D7DA13C748AFC9	country_gap_no_parent_source		Gabon AI procurement placeholder	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:26240	Local country_profile_dimension_label row/context has no explicit I08 parent source URL.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	leave unresolved unless local source-pack later supplies a named URL
