queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00720	LIMEN-SIGNAL-39ACC17CA6BC36E0	translation_sensitive_direct_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2082	Local row names a plausible official/direct source surface, but title or source context is materially non-English and needs translation-aware review.	source-surface existence only; translation-sensitive content not interpreted here	send to translation-aware direct-source review
BTR-00721	LIMEN-SIGNAL-3B46F075AD2CCBBA	translation_sensitive_direct_surface	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2186	Local row names a plausible official/direct source surface, but title or source context is materially non-English and needs translation-aware review.	source-surface existence only; translation-sensitive content not interpreted here	send to translation-aware direct-source review
BTR-00722	LIMEN-SIGNAL-3ECEE93B7F901483	translation_sensitive_direct_surface	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2144	Local row names a plausible official/direct source surface, but title or source context is materially non-English and needs translation-aware review.	source-surface existence only; translation-sensitive content not interpreted here	send to translation-aware direct-source review
BTR-00723	LIMEN-SIGNAL-3F9393B7A7640BE1	translation_sensitive_direct_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2206	Local row names a plausible official/direct source surface, but title or source context is materially non-English and needs translation-aware review.	source-surface existence only; translation-sensitive content not interpreted here	send to translation-aware direct-source review
BTR-00724	LIMEN-SIGNAL-50F65CA801E1ED2B	named_source_pack_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2081	Source-pack row names a plausible direct source surface, but title/local evidence is translation-sensitive.	Source-surface existence/translation posture only; no incident, prevalence, legality, compliance, safety, or ranking claim.	Review the named source with translation-aware handling.
BTR-00725	LIMEN-SIGNAL-54273EFF72FA51EB	named_source_pack_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1963	Source-pack row names a plausible direct source surface, but title/local evidence is translation-sensitive.	Source-surface existence/translation posture only; no incident, prevalence, legality, compliance, safety, or ranking claim.	Review the named source with translation-aware handling.
BTR-00726	LIMEN-SIGNAL-65BEC2348632FCA3	named_official_surface_translation_sensitive	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2473	Source-pack row names a plausible official/direct surface, but the named surface is materially non-English.	source-surface existence/posture only; translation needed before stronger claims	route to translation-aware direct-source review
BTR-00727	LIMEN-SIGNAL-66495A858D10245C	named_official_surface_translation_sensitive	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	2120	Derived review row names a plausible official source surface, but local evidence is non-English or translation-sensitive.	source-surface posture only; translation needed before stronger interpretation	route to translation-aware direct-source review
BTR-00728	LIMEN-SIGNAL-6D16265867C47E09	named_official_surface_translation_sensitive	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	1003	Derived review row names a plausible official source surface, but local evidence is non-English or translation-sensitive.	source-surface posture only; translation needed before stronger interpretation	route to translation-aware direct-source review
BTR-00729	LIMEN-SIGNAL-7BD4D718EDC42C29	named_official_surface_translation_sensitive	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	1386	Derived review row names a plausible official source surface, but local evidence is non-English or translation-sensitive.	source-surface posture only; translation needed before stronger interpretation	route to translation-aware direct-source review
