queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00817	LIMEN-SIGNAL-896F3ACA87C623D7	country_gap_no_parent_source		Pitcairn Islands country gap wishlist	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:71	Country queue row lists generic Pitcairn AI topics only; no named public URL or parent source.	processing-state only; no source claim	Leave for separate source discovery, not parent extraction.
BPSE-00818	LIMEN-SIGNAL-89BCEE654D13D37D	country_gap_no_parent_source		Kyrgyzstan country gap wishlist	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:16	Country queue row lists generic Kyrgyzstan AI topics only; no named public URL or parent source.	processing-state only; no source claim	Leave for separate source discovery, not parent extraction.
BPSE-00819	LIMEN-SIGNAL-89BFAB725FAA5D03	country_gap_no_parent_source		Ethiopia country gap wishlist	OBSERVABILITY_RESEARCH_QUEUE.csv:23	Country queue row lists generic Ethiopia AI topics only; no named public URL or parent source.	processing-state only; no source claim	Leave for separate source discovery, not parent extraction.
BPSE-00820	LIMEN-SIGNAL-8C24915371F7EDB2	country_gap_no_parent_source		Zambia country gap wishlist	OBSERVABILITY_RESEARCH_QUEUE.csv:83	Country queue row lists generic Zambia AI topics only; no named public URL or parent source.	processing-state only; no source claim	Leave for separate source discovery, not parent extraction.
BPSE-00821	LIMEN-SIGNAL-8CF6BE036E52A69E	country_gap_no_parent_source		American Samoa country gap wishlist	OBSERVABILITY_RESEARCH_QUEUE.csv:86	Country queue row lists generic American Samoa AI topics only; no named public URL or parent source.	processing-state only; no source claim	Leave for separate source discovery, not parent extraction.
BPSE-00822	LIMEN-SIGNAL-8CF7C67F566B0FBE	country_gap_no_parent_source		Yemen hardening-summary profile row	PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:64	Country hardening summary is a score/profile placeholder with negative findings and no extractable parent URL.	processing-state only; no source claim	Leave to human/lane source-refresh selection if a specific source is needed.
BPSE-00823	LIMEN-SIGNAL-8D54D92D1D546973	source_url_extracted	https://socialprotectionai.org/use-case/TGO-002	CNSS Biosecu facial-recognition proof-of-life for pensioners - AI Hub	v02-gap-sprint.json:2823-2837; source_documents.jsonl:444	Local source-pack agent_id resolves to one explicit AI Hub URL in source_documents ledger.	URL extraction only; no incident/truth/legal/safety finding	Review extracted AI Hub page as parent candidate; preserve source-pack boundary.
BPSE-00824	LIMEN-SIGNAL-8F696FAA63E53E2E	source_url_extracted	https://www.truleo.co/	TRULEO | AI Agents for Every Department	v02-gap-sprint.json:2582-2596; source_documents.jsonl:919	Local source-pack agent_id resolves to one explicit official-provider URL in source_documents ledger.	URL extraction only; no incident/truth/legal/safety finding	Review extracted provider page as parent candidate; preserve source-pack boundary.
BPSE-00825	LIMEN-SIGNAL-8F6AAC38DC7BEDFE	parent_source_wrapper		Finland Traficom AI regulatory sandbox pages	RESULT.md:151	Derived case-study row references plural Traficom sandbox pages but exposes no concrete URL in local context.	wrapper/source-surface pointer only; no direct-source claim	Human should choose exact Traficom page from source refresh/ledger.
BPSE-00826	LIMEN-SIGNAL-8FFF48536F285D3C	parent_source_wrapper		Finland TEM sources and Helsinki AI Register comparator surfaces	PALLAS_GRAND_PROGRAM_RESULTS.md:2046	Derived summary names multiple underlying Finland surfaces and no single extractable URL.	wrapper/source-surface pointer only; no direct-source claim	Human should choose one bounded Finland parent source before review.
BPSE-00827	LIMEN-SIGNAL-900704F10769B791	parent_source_wrapper		South Korea AI Digital Textbooks source pack	v02-coverage-gap-sprint.manifest.json:2991-3006; source_documents.jsonl:65,377	Source-pack agent_id resolves to multiple explicit ledger URLs, so a parent source choice is required.	wrapper/source-pack pointer only; no direct-source claim	Human should choose World Bank vs Rest of World parent source for the intended claim.
BPSE-00828	LIMEN-SIGNAL-904CBC58222242DB	country_gap_no_parent_source		Gabon country gap wishlist	OBSERVABILITY_RESEARCH_QUEUE.csv:55	Country queue row lists generic Gabon AI topics only; no named public URL or parent source.	processing-state only; no source claim	Leave for separate source discovery, not parent extraction.
BPSE-00829	LIMEN-SIGNAL-9053CD7541DACC5F	source_surface_only_no_case		China CAC batch-list permalink family	PALLAS_READINESS_SPRINT_1_WEAK_SOURCE_WARNINGS.md:319	Weak-source warning names CAC batch-list permalinks as a source family but gives no concrete local URL.	source-surface family only; no direct-source claim	Harvest exact CAC batch-list permalinks in a separate source-capture task.
BPSE-00830	LIMEN-SIGNAL-910E9520C04C95B7	country_gap_no_parent_source		Cook Islands country gap wishlist	OBSERVABILITY_RESEARCH_QUEUE.csv:52	Country queue row lists generic Cook Islands AI topics only; no named public URL or parent source.	processing-state only; no source claim	Leave for separate source discovery, not parent extraction.
BPSE-00831	LIMEN-SIGNAL-918AD0291C076952	country_gap_no_parent_source		Palau country gap wishlist	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:69	Country queue row lists generic Palau AI topics only; no named public URL or parent source.	processing-state only; no source claim	Leave for separate source discovery, not parent extraction.
BPSE-00832	LIMEN-SIGNAL-919AECF669E3604C	country_gap_no_parent_source		Israel country gap wishlist	OBSERVABILITY_RESEARCH_QUEUE.csv:6	Country queue row lists generic Israel AI topics only; no named public URL or parent source.	processing-state only; no source claim	Leave for separate source discovery, not parent extraction.
