queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00209	LIMEN-SIGNAL-9C7419FDEFED9D67	translation_source_reviewed	da	https://www.datatilsynet.dk/regler-og-vejledning/kunstig-intelligens	Datatilsynet Kunstig intelligens	Danish regulator AI hub/source surface is explicit in local law-to-evidence row; sandbox language remains context only.	translation-safe source-surface existence and candidate evidence-object vocabulary only	Keep as context source; require Danish source review before extracting duties or sandbox claims.
BTR-00210	LIMEN-SIGNAL-9DC38754F4774E4B	machine_translation_hold	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Algorithm Register of the Dutch government: Octobox Anonymisation	Local row is explicitly English auto-translation from Dutch for a specific register record.	source-surface/field-presence only; no factual, legal, risk, or policy conclusion from translated text	Fetch/review Dutch original or official export before using record details.
BTR-00211	LIMEN-SIGNAL-9F0D0320B27DF8EE	source_surface_only_no_case	nl	https://www.digitaleoverheid.nl/nieuws/iama-aangepast-aan-praktijk-en-regelgeving/	Digitale Overheid: IAMA aangepast aan praktijk en regelgeving	Dutch official article is AI governance/procurement context, but local note says it is not a BQ procurement rule.	context source only; no BQ-specific procurement, compliance, or AI Act finding	Retain only as Dutch governance context pending original-language review.
BTR-00212	LIMEN-SIGNAL-9FFCE19065450A02	machine_translation_hold	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government: Datamask	Sample row is explicitly an English auto-translation from Dutch register content.	source-surface/field-presence only; no automated-decision, risk, or legal conclusion	Review Dutch original/register export before any case-level use.
BTR-00213	LIMEN-SIGNAL-A0A41CFFB00D1A50	source_surface_only_no_case	ru	http://publication.pravo.gov.ru/Document/View/0001202004240025	Official Internet Portal of Legal Information: Federal Law No. 123-FZ	Russian statutory source is locally identified, but metadata limits it to Moscow sandbox transparency context and negative national-register context.	limited source posture only; no national register, compliance, or legal interpretation claim	Use only as bounded sandbox context after Russian original-language review.
BTR-00214	LIMEN-SIGNAL-A14D79F92E68D5C6	source_surface_only_no_case	English auto-translation from Dutch / nl	https://algoritmes.overheid.nl/en/algoritme/15583895	Algorithm Register of the Dutch government: Module to screen for language bias	Bulk accession row shows official Dutch register deployed-record surface, but only title/status-level local metadata.	record-surface existence/status only; no case facts or policy claim	Route to Dutch original/register export if this record is selected for extraction.
BTR-00215	LIMEN-SIGNAL-A15121A15AA3A4AE	candidate_for_parent_source_extraction	en	https://aiweek.pakistan.gov.pk/about	Pakistan official Indus AI Week platform	Local record names an official English source surface but fetch failed and no content snapshot is present.	candidate parent/source surface only; no program facts beyond locator metadata	Retry local capture or obtain source snapshot before evidence extraction.
BTR-00216	LIMEN-SIGNAL-A1C1762042DE7495	cross_project_duplicate	Arabic/Gulf multilingual overlay	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-064/country-language-overlay.json#assignment	GAIA Arabic/Gulf country-language overlay	Overlay states direct Arabic/Gulf citation anchors are already covered by gaia-boost-004 and gaia-boost-028; this object is not a new direct source.	overlay/duplication routing only; no country readiness, prevalence, or legal claim	Do not promote as source; use only as cross-project routing/caution metadata.
BTR-00217	LIMEN-SIGNAL-A2108CE960762FBF	candidate_for_parent_source_extraction	en	https://moitt.gov.pk/Detail/ZWUzMjIyN2UtMWQ3Yi00Y2M1LTgxYTctY2QxMmUzOTdhNjVj	Pakistan Ministry of IT and Telecom AI Policy material	Historical local record names an official English source but has fetch warning and no captured content.	candidate parent/source surface only; no policy or implementation claim	Retry capture or attach verified local source before extraction.
BTR-00218	LIMEN-SIGNAL-A3637CB65B3AD8E0	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Algorithm Register manuscript row: Octobox Anonymisation	Manuscript table repeats the same Dutch auto-translated Octobox register row already represented in local registry tables.	duplicate source-surface only; no additional case evidence	Deduplicate to the underlying register record and review Dutch original if needed.
