audit_id	audit_kind	public_id	field	pass1_code	pass2_recode	agreement_state	adjudication_rule	adjudicated_code	notes
RA-001	internal_two-pass_dry_run	LIMEN-AUTH-000002	source_family	Regulator and enforcement sources	Regulator and enforcement sources	agreement	Use source actually captured, not case venue.	Regulator and enforcement sources	No open court-originating complaint/decree text captured.
RA-002	internal_two-pass_dry_run	LIMEN-AUTH-000002	evidence_tier	T3_authoritative_source	T3_authoritative_source	agreement	Agency public summary qualifies for T3 but with summary ceiling.	T3_authoritative_source	T3 does not remove court-text limitation.
RA-003	internal_two-pass_dry_run	LIMEN-AUTH-000003	legal_posture	charging_stage	charging_stage	agreement	Charging document and prosecutor page remain accusation-stage.	charging_stage	Add presumption-of-innocence language in prose.
RA-004	internal_two-pass_dry_run	LIMEN-SEC-000001	confidence_cap	low	low	agreement	Single public-source security row remains low-cap.	low	Use only in provisional/limitations band.
RA-005	internal_two-pass_dry_run	LIMEN-AUTH-000004;LIMEN-AUTH-000005	duplicate_control	reviewed_not_duplicate	reviewed_not_duplicate	agreement	Distinct ICO records are not duplicates despite shared family and cluster review key.	reviewed_not_duplicate	Keep Serco and Chelmer separate.
RA-006	internal_two-pass_dry_run	LIMEN-SEC-000004;LIMEN-SEC-000005	duplicate_control	reviewed_not_duplicate	reviewed_not_duplicate	agreement	Same project but distinct failure modes.	reviewed_not_duplicate	Do not merge CrewAI file-read and SSRF rows.
RA-007	internal_two-pass_dry_run	LIMEN-ML-000004	source_family	Public-sector registers and procurement	Public-sector registers and procurement	agreement	Direct official project page drives source-family code.	Public-sector registers and procurement	Translation-dependent but high-cap under disclosure ceiling.
RA-008	internal_two-pass_dry_run	LIMEN-ML-000001	translation_status	translation_dependent	translation_dependent	agreement	Title-gloss row remains translation-dependent.	translation_dependent	No legal/factual overread from title.
RA-009	internal_two-pass_dry_run	LIMEN-RI-000001	evidence_tier	T3_authoritative_source	T3_authoritative_source	agreement	Direct publisher notice text supports T3.	T3_authoritative_source	Outside headline denominator unless deliberately merged.
RA-010	internal_two-pass_dry_run	LIMEN-RI-000001	category_label	research_integrity; legal_procedural_contamination	research_integrity	partial_disagreement	Use primary dashboard role plus secondary tags; keep paper role source-depth anchor.	primary: research_integrity; secondary: legal_procedural_contamination	Methodological disagreement is useful because row straddles process contamination and research integrity.
RA-011	internal_two-pass_dry_run	LIMEN-FTC-000001	category_label	ai_washing_or_false_ai_claim; legal_procedural_contamination	ai_washing_or_false_ai_claim	partial_disagreement	Primary label follows FTC capability-claim package; legal-service context remains secondary.	primary: ai_washing_or_false_ai_claim; secondary: legal_service_automation_context	DoNotPay is not a judicial unauthorized-practice row.
RA-012	internal_two-pass_dry_run	LIMEN-FTC-000002	category_label	ai_washing_or_false_ai_claim; education_workplace_or_hr	detector_governance; ai_washing_or_false_ai_claim	partial_disagreement	Use paper-sidecar role to preserve detector-governance specificity.	primary: detector_governance; secondary: ai_washing_or_false_ai_claim	Do not generalize to all AI detectors.
RA-013	internal_two-pass_dry_run	LIMEN-PS-000001	case_role	public_sector_governance_anchor	public_sector_harm_case	disagreement	Governance/source-depth anchors are not harm cases unless harm evidence is in source.	public_sector_governance_anchor	Important adjudication example for claim ceilings.
RA-014	internal_two-pass_dry_run	LIMEN-AUTH-000006;LIMEN-AUTH-000007	duplicate_control	stable_duplicate_collapsed_lineage	stable_duplicate_collapsed_lineage	agreement	Collapse derivative queue rows but keep Delphia and GP as separate lineages.	stable_duplicate_collapsed_lineage	Do not count SEC derivatives twice.
RA-015	internal_two-pass_dry_run	LIMEN-FTC-000003	publication_role	appendix_candidate_non_denominator	appendix_candidate_non_denominator	agreement	Later set-aside posture prevents simple final-order role.	appendix_candidate_non_denominator	Use in negative/complex-posture appendix if at all.
