queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-02282	LIMEN-SIGNAL-6BEADFBF0D740905	research_queue_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	162	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02283	LIMEN-SIGNAL-6C30B7420710DA69	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	150	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02284	LIMEN-SIGNAL-6C8DBBF7EFEB8EEE	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	167	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02285	LIMEN-SIGNAL-6CCAFB19BFD09CC7	research_queue_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	126	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02286	LIMEN-SIGNAL-6D67E096D1E4C1FC	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	125	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02287	LIMEN-SIGNAL-6DA13153F3C0777F	research_queue_wrapper	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	156	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02288	LIMEN-SIGNAL-6DA27D52ECDECE4A	profile_or_manifest_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	11375	Local row is a country-profile/manifest/label wrapper and does not name a bounded direct source surface.	profile/manifest metadata only; no source-surface or factual claim	resolve the underlying named source before review
BPSE-02289	LIMEN-SIGNAL-6E2E62895DB1DCD8	profile_or_manifest_wrapper	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json	3822	Local row is a country-profile/manifest/label wrapper and does not name a bounded direct source surface.	profile/manifest metadata only; no source-surface or factual claim	resolve the underlying named source before review
BPSE-02290	LIMEN-SIGNAL-6E4B5BAE2A52F886	research_queue_wrapper	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	114	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02291	LIMEN-SIGNAL-6ED22F02494307C3	research_queue_wrapper	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	146	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
