source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://ai.hel.fi/monikieliset-neuvontavideot	closed_noncase_source_surface	https://ai.hel.fi/monikieliset-neuvontavideot/	ai.hel.fi	ai.hel.fi	Noncase: Helsinki AI register entry for multilingual advisory videos	not_applicable_noncase	source_surface_accounting; register_or_product_profile		Finland / City of Helsinki	The public page describes a municipal AI system; this cluster does not document a concrete edge-case event.	May cite only as a source-surface/register profile, not as evidence of harm, illegality, unsafe deployment, compliance failure, prevalence, or guilt.	Do not infer incident truth, legal/safety/compliance finding, deployment proof beyond the page, prevalence, ranking, or culpability.	Exact URL is a Helsinki AI-register system profile, not a harm/finding/event record.	Find a specific public record documenting a concrete event, action, vulnerability, official finding, or bounded factual dispute tied to this surface.	Do not add until a concrete edge-case record exists and the claim is hardened against overread.	Close as noncase source surface; keep for source-family accounting only.
https://ai.hel.fi/oodis-book-recommendation-service-obotti	closed_noncase_source_surface	https://ai.hel.fi/oodis-book-recommendation-service-obotti	Oodi's book recommendation service Obotti	ai.hel.fi	Noncase: Helsinki AI register entry for Oodi Obotti recommender	not_applicable_noncase	source_surface_accounting; register_or_product_profile		Finland / City of Helsinki	The public page describes a municipal AI system; this cluster does not document a concrete edge-case event.	May cite only as a source-surface/register profile, not as evidence of harm, illegality, unsafe deployment, compliance failure, prevalence, or guilt.	Do not infer incident truth, legal/safety/compliance finding, deployment proof beyond the page, prevalence, ranking, or culpability.	Exact URL is a Helsinki AI-register system profile, not a harm/finding/event record.	Find a specific public record documenting a concrete event, action, vulnerability, official finding, or bounded factual dispute tied to this surface.	Do not add until a concrete edge-case record exists and the claim is hardened against overread.	Close as noncase source surface; keep for source-family accounting only.
https://ai.hel.fi/proton-lumo	closed_noncase_source_surface	https://ai.hel.fi/proton-lumo/	ai.hel.fi	ai.hel.fi	Noncase: Helsinki AI register entry for Proton Lumo chatbot	not_applicable_noncase	source_surface_accounting; register_or_product_profile		Finland / City of Helsinki	The public page describes a municipal AI system; this cluster does not document a concrete edge-case event.	May cite only as a source-surface/register profile, not as evidence of harm, illegality, unsafe deployment, compliance failure, prevalence, or guilt.	Do not infer incident truth, legal/safety/compliance finding, deployment proof beyond the page, prevalence, ranking, or culpability.	Exact URL is a Helsinki AI-register system profile, not a harm/finding/event record.	Find a specific public record documenting a concrete event, action, vulnerability, official finding, or bounded factual dispute tied to this surface.	Do not add until a concrete edge-case record exists and the claim is hardened against overread.	Close as noncase source surface; keep for source-family accounting only.
https://ai.hel.fi/sotebotti-hester-en	closed_noncase_source_surface	https://ai.hel.fi/sotebotti-hester-en	ai.hel.fi	ai.hel.fi	Noncase: Helsinki AI register entry for Sotebotti Hester chatbot	not_applicable_noncase	source_surface_accounting; register_or_product_profile		Finland / City of Helsinki	The public page describes a municipal AI system; this cluster does not document a concrete edge-case event.	May cite only as a source-surface/register profile, not as evidence of harm, illegality, unsafe deployment, compliance failure, prevalence, or guilt.	Do not infer incident truth, legal/safety/compliance finding, deployment proof beyond the page, prevalence, ranking, or culpability.	Exact URL is a Helsinki AI-register system profile, not a harm/finding/event record.	Find a specific public record documenting a concrete event, action, vulnerability, official finding, or bounded factual dispute tied to this surface.	Do not add until a concrete edge-case record exists and the claim is hardened against overread.	Close as noncase source surface; keep for source-family accounting only.
https://aiaas.jdn.gov.my/jdn/blog/2025/08/15/ai-chatbot-aishah	closed_noncase_source_surface	https://aiaas.jdn.gov.my/jdn/blog/2025/08/15/ai-chatbot-aishah/	aiaas.jdn.gov.my	aiaas.jdn.gov.my	Noncase: JDN blog/product page for AISHAH chatbot	not_applicable_noncase	source_surface_accounting; register_or_product_profile	2025-08-15	Malaysia / Jabatan Digital Negara	The public page describes AISHAH as an AI chatbot; this cluster does not document a concrete edge-case event.	May cite only as a source-surface/register profile, not as evidence of harm, illegality, unsafe deployment, compliance failure, prevalence, or guilt.	Do not infer incident truth, legal/safety/compliance finding, deployment proof beyond the page, prevalence, ranking, or culpability.	Exact URL is a blog/product description for an AI chatbot, not a reviewable incident, vulnerability, finding, or authority action.	Find a specific public record documenting a concrete event, action, vulnerability, official finding, or bounded factual dispute tied to this surface.	Do not add until a concrete edge-case record exists and the claim is hardened against overread.	Close as noncase source surface; keep for source-family accounting only.
https://aki.ee/en	closed_noncase_source_surface	https://www.aki.ee/en	aki.ee	aki.ee	Noncase: Estonian Data Protection Inspectorate homepage/guidance surface	not_applicable_noncase	source_surface_accounting; register_or_product_profile		Estonia	The row identifies a public authority web surface; no concrete AI edge-case record is present in this cluster.	May cite only as a source-surface/register profile, not as evidence of harm, illegality, unsafe deployment, compliance failure, prevalence, or guilt.	Do not infer incident truth, legal/safety/compliance finding, deployment proof beyond the page, prevalence, ranking, or culpability.	Exact URL is regulator homepage/guidance access surface, not a specific action, investigation, finding, or AI incident.	Find a specific public record documenting a concrete event, action, vulnerability, official finding, or bounded factual dispute tied to this surface.	Do not add until a concrete edge-case record exists and the claim is hardened against overread.	Close as noncase source surface; keep for source-family accounting only.
https://algoritmeregister.amsterdam.nl	closed_noncase_source_surface	https://algoritmeregister.amsterdam.nl/	algoritmeregister.amsterdam.nl	algoritmeregister.amsterdam.nl	Noncase: Amsterdam organisation page in Dutch Algorithm Register	not_applicable_noncase	source_surface_accounting; register_or_product_profile		Netherlands / Amsterdam	The public page is a register or organisation listing; no concrete AI edge-case event is extracted from this cluster.	May cite only as a source-surface/register profile, not as evidence of harm, illegality, unsafe deployment, compliance failure, prevalence, or guilt.	Do not infer incident truth, legal/safety/compliance finding, deployment proof beyond the page, prevalence, ranking, or culpability.	Exact URL is an algorithm-register index/organisation surface, not a bounded case-level record.	Find a specific public record documenting a concrete event, action, vulnerability, official finding, or bounded factual dispute tied to this surface.	Do not add until a concrete edge-case record exists and the claim is hardened against overread.	Close as noncase source surface; keep for source-family accounting only.
https://algoritmeregister.rotterdam.nl	closed_noncase_source_surface	https://algoritmeregister.rotterdam.nl	algoritmeregister.rotterdam.nl	algoritmeregister.rotterdam.nl	Noncase: Rotterdam algorithm-register surface	not_applicable_noncase	source_surface_accounting; register_or_product_profile		Netherlands / Rotterdam	The public page is a register or organisation listing; no concrete AI edge-case event is extracted from this cluster.	May cite only as a source-surface/register profile, not as evidence of harm, illegality, unsafe deployment, compliance failure, prevalence, or guilt.	Do not infer incident truth, legal/safety/compliance finding, deployment proof beyond the page, prevalence, ranking, or culpability.	Exact URL is an algorithm-register index/organisation surface, not a bounded case-level record.	Find a specific public record documenting a concrete event, action, vulnerability, official finding, or bounded factual dispute tied to this surface.	Do not add until a concrete edge-case record exists and the claim is hardened against overread.	Close as noncase source surface; keep for source-family accounting only.
https://algoritmes.overheid.nl/en	closed_noncase_source_surface	https://algoritmes.overheid.nl/en	algoritmes.overheid.nl	algoritmes.overheid.nl	Noncase: Dutch government Algorithm Register index	not_applicable_noncase	source_surface_accounting; register_or_product_profile		Netherlands	The public page is a register or organisation listing; no concrete AI edge-case event is extracted from this cluster.	May cite only as a source-surface/register profile, not as evidence of harm, illegality, unsafe deployment, compliance failure, prevalence, or guilt.	Do not infer incident truth, legal/safety/compliance finding, deployment proof beyond the page, prevalence, ranking, or culpability.	Exact URL is an algorithm-register index/organisation surface, not a bounded case-level record.	Find a specific public record documenting a concrete event, action, vulnerability, official finding, or bounded factual dispute tied to this surface.	Do not add until a concrete edge-case record exists and the claim is hardened against overread.	Close as noncase source surface; keep for source-family accounting only.
https://algoritmes.overheid.nl/en/algoritme/22199498	closed_noncase_source_surface	https://algoritmes.overheid.nl/en/algoritme/22199498	algoritmes.overheid.nl	algoritmes.overheid.nl	Noncase: Algorithm Register profile for Octobox Anonymisation	not_applicable_noncase	source_surface_accounting; register_or_product_profile		Netherlands	The public page describes an algorithmic tool/use case; this cluster does not itself document a concrete edge-case event.	May cite only as a source-surface/register profile, not as evidence of harm, illegality, unsafe deployment, compliance failure, prevalence, or guilt.	Do not infer incident truth, legal/safety/compliance finding, deployment proof beyond the page, prevalence, ranking, or culpability.	Exact URL is an algorithm-register profile describing a system/use, with no concrete adverse event, official finding, vulnerability, or disputed action in the cluster.	Find a specific public record documenting a concrete event, action, vulnerability, official finding, or bounded factual dispute tied to this surface.	Do not add until a concrete edge-case record exists and the claim is hardened against overread.	Close as noncase source surface; keep for source-family accounting only.
