source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://knowledge4policy.ec.europa.eu/sites/default/files/cyprus_ai_strategy.pdf	closed_noncase_source_surface	https://knowledge4policy.ec.europa.eu/sites/default/files/cyprus_ai_strategy.pdf	Cyprus National Artificial Intelligence Strategy	knowledge4policy.ec.europa.eu		policy_context	AI governance; public procurement		Cyprus	Cyprus AI strategy PDF is an official strategy/policy source, not a concrete AI edge-case event or finding.	May support background only; no case-level claim.	Do not infer incident, deployment, compliance failure, prevalence, or procurement misconduct from strategy language.	Official AI strategy/policy PDF surface; metadata describes public-contract/API-data language but no bounded event/action/vulnerability/finding.	Concrete event/finding with passage-level citation and claim ceiling.	Not suitable unless a reviewed concrete case is found.	close as noncase source surface
https://malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	closed_noncase_source_surface	https://www.malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	National Guidelines on Artificial Intelligence Governance and Ethics (AIGE)	malaysia.gov.my		policy_context	AI governance; ethics guidance		Malaysia	Malaysia AIGE page is an official governance/ethics guidance surface, not a concrete edge-case event or finding.	May support policy context only.	Do not infer specific harm, noncompliance, deployment, or official finding from generic guidance.	Exact URL resolves to official Malaysia portal guidance page; source type is policy/guidance, not case evidence.	Specific case record or finding tied to a named system/action.	Not suitable unless linked to a reviewed case-level claim.	close as noncase source surface
https://manus.im/blog/deep-dive-gmail-gcal-connector	closed_noncase_source_surface	https://manus.im/blog/deep-dive-gmail-gcal-connector	Manus Gmail/GCal connector blog	manus.im		vendor_doc	agent connector; Gmail; calendar		Global/vendor	Manus blog describes a Gmail/Calendar connector use case/product capability, not a concrete public edge-case finding.	May support source-family context only.	Do not infer prompt-injection vulnerability, privacy failure, unsafe deployment, or prevalence.	Exact URL resolves to vendor blog/tutorial content; local metadata query mentions prompt injection but page text did not expose a bounded event/finding.	Concrete vulnerability report, incident record, or reproduced finding with exact passage.	Not suitable without a reviewed case-level vulnerability/event source.	close as noncase source surface
https://mas.gov.sg/development/fintech/regulatory-sandbox	closed_noncase_source_surface	https://www.mas.gov.sg/development/fintech/regulatory-sandbox	MAS FinTech Regulatory Sandbox	mas.gov.sg		policy_context	regulatory sandbox; fintech		Singapore	MAS sandbox page is a regulatory program description, not a concrete AI edge-case event or finding.	May support regulatory context only.	Do not infer AI approval, deployment, compliance status, or harm from sandbox existence.	Exact URL resolves to MAS regulatory sandbox surface; no named AI case/finding in input metadata.	Named sandbox participant/event/finding and source passage.	Not suitable without reviewed concrete AI case claim.	close as noncase source surface
https://mcid.gov.ro/wp-content/uploads/2024/02/Strategie-Inteligenta-Artificiala-22012024_clean_final.pdf	closed_noncase_source_surface	https://www.mcid.gov.ro/wp-content/uploads/2024/02/Strategie-Inteligenta-Artificiala-22012024_clean_final.pdf	Romania National AI Strategy PDF	mcid.gov.ro		policy_context	AI strategy; procurement	2024-02	Romania	Romania AI strategy PDF is an official strategy/planning document, not a concrete edge-case event or finding.	May support national-policy background only.	Do not infer implementation, incident, compliance failure, or procurement misconduct.	Input explicitly identifies planned measures in an AI strategy PDF; PDF fetch hit SSL issue but precise official locator is present.	Concrete source passage tied to a specific event/finding.	Not suitable unless a reviewed case-level claim is sourced.	close as noncase source surface
https://mehrnews.com/news/6141439/%D8%AA%D8%B5%D9%88%DB%8C%D8%A8-%DA%A9%D9%84%DB%8C%D8%A7%D8%AA-%D8%B3%D9%86%D8%AF-%D8%AA%D8%A3%D8%B3%DB%8C%D8%B3-%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86-%D9%85%D9%84%DB%8C-%D9%88-%D8%AA%D8%B4%DA%A9%DB%8C%D9%84-%D8%B4%D9%88%D8%B1%D8%A7%DB%8C-%D8%B1%D8%A7%D9%87%D8%A8%D8%B1%DB%8C-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C	closed_noncase_source_surface	https://www.mehrnews.com/news/6141439/%D8%AA%D8%B5%D9%88%DB%8C%D8%A8-%DA%A9%D9%84%DB%8C%D8%A7%D8%AA-%D8%B3%D9%86%D8%AF-%D8%AA%D8%A3%D8%B3%DB%8C%D8%B3-%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86-%D9%85%D9%84%DB%8C-%D9%88-%D8%AA%D8%B4%DA%A9%DB%8C%D9%84-%D8%B4%D9%88%D8%B1%D8%A7%DB%8C-%D8%B1%D8%A7%D9%87%D8%A8%D8%B1%DB%8C-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C	Mehr News report on Iran national AI organization/steering council	mehrnews.com		media_policy_report	AI governance; national AI organization	2024-06-19	Iran	Mehr News reports approval of general document/organization/steering-council topics, not a concrete AI edge-case event or finding.	May support policy chronology only.	Do not infer legal effect, implementation, incident, safety/compliance finding, or system behavior.	Exact URL resolves to a news report about AI governance arrangements; media context is not itself a case-level source.	Official instrument or concrete event/finding with bounded claim.	Not suitable without reviewed case evidence.	close as noncase source surface
https://minciencia.gob.cl/areas/inteligencia-artificial/politica-nacional-de-inteligencia-artificial	closed_noncase_source_surface	https://www.minciencia.gob.cl/areas/inteligencia-artificial/politica-nacional-de-inteligencia-artificial/	Chile National Artificial Intelligence Policy	minciencia.gob.cl		policy_context	AI policy; public sector AI		Chile	Chile ministry AI policy page is a national policy surface, not a concrete AI edge-case event or finding.	May support national policy context only.	Do not infer deployment, misconduct, compliance status, safety finding, or prevalence.	Exact URL resolves to ministry AI policy page; input contains no named event/finding.	Concrete case source with exact passage and claim ceiling.	Not suitable unless a reviewed case-level claim is found.	close as noncase source surface
https://mint.gov.et	closed_noncase_source_surface	https://mint.gov.et/	Ministry of Innovation and Technology Ethiopia	mint.gov.et		transparency_anchor	government portal; gap evidence	2026-05-30	Ethiopia	Ethiopia ministry homepage/portal was used as transparency/gap evidence, not a concrete AI edge-case event or finding.	May support negative/gap-evidence accounting only.	Do not infer absence of all AI activity, incident status, compliance, or deployment.	Input states government/open-data portal transparency anchor and negative check; DNS fetch failed but exact locator is a generic portal.	Concrete public source for a named event/finding.	Not suitable without reviewed case-level claim.	close as noncase source surface
https://mirri.gov.sk/aktuality/splnomocnenec-vlady-pre-ai/slovensko-buduje-ai-republiku-regulacia-vizia-a-konkretne-kroky	closed_noncase_source_surface	https://mirri.gov.sk/aktuality/splnomocnenec-vlady-pre-ai/slovensko-buduje-ai-republiku-regulacia-vizia-a-konkretne-kroky/	MIRRI SR: Slovensko buduje AI republiku	mirri.gov.sk		press_release_context	AI regulation; procurement; strategy		Slovakia	Slovak ministry press release describes AI regulation/vision/steps, not a concrete edge-case event or finding.	May support policy-context chronology only.	Do not infer procurement outcome, deployment, compliance finding, harm, or prevalence.	Exact URL resolves to a ministry press-release surface; local note says context/gap, not guidance/case.	Specific event/finding with passage-level evidence.	Not suitable without reviewed concrete AI case source.	close as noncase source surface
https://moc.gov.gh/2026/04/24/ghana-launches-national-ai-strategy-to-drive-digital-transformation-and-economic-growth	closed_noncase_source_surface	https://moc.gov.gh/2026/04/24/ghana-launches-national-ai-strategy-to-drive-digital-transformation-and-economic-growth/	Ghana launches National AI Strategy	moc.gov.gh		press_release_context	AI strategy; digital transformation	2026-04-24	Ghana	Ghana ministry announcement of a national AI strategy is policy-launch context, not a concrete edge-case event or finding.	May support national-policy chronology only.	Do not infer deployment, safety/compliance finding, economic effect, or prevalence.	Exact URL resolves to ministry strategy-launch post; input metadata does not expose case-level finding.	Concrete source about a named AI system/event/finding.	Not suitable unless a reviewed case-level claim is found.	close as noncase source surface
