queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-03201	LIMEN-SIGNAL-79CD7E8DE204052F	country_gap_no_parent_source		Cyprus research queue (regulatory sandbox)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:213	Country/query search-pack row; local row contains no named public parent URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Resolve a named official/vendor/regulator/register source before review.
BPSE-03202	LIMEN-SIGNAL-79DCD12792BA4AE5	country_gap_no_parent_source		Mayotte regulatory sandbox indicator	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:28940	Country-profile indicator only; nearby local JSON exposes label/score, not parent URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Inspect underlying Atlas provenance/source-pack manually before review.
BPSE-03203	LIMEN-SIGNAL-7A21C8DA2594CCDB	country_gap_no_parent_source		Uzbekistan research queue (AI procurement)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:189	Country/query search-pack row; local row contains no named public parent URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Resolve a named official/vendor/regulator/register source before review.
BPSE-03204	LIMEN-SIGNAL-7A8CDBB2B34B811C	country_gap_no_parent_source		Greenland research queue (AI procurement)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:209	Country/query search-pack row; local row contains no named public parent URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Resolve a named official/vendor/regulator/register source before review.
BPSE-03205	LIMEN-SIGNAL-7A907BCD38082A9C	country_gap_no_parent_source		Republic of the Congo algorithm register indicator	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:25453	Country-profile indicator only; nearby local JSON exposes label/score, not parent URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Inspect underlying Atlas provenance/source-pack manually before review.
BPSE-03206	LIMEN-SIGNAL-7B0F2D11A0DF934E	country_gap_no_parent_source		Costa Rica research queue (AI procurement)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:182	Country/query search-pack row; local row contains no named public parent URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Resolve a named official/vendor/regulator/register source before review.
BPSE-03207	LIMEN-SIGNAL-7B406192F368F1AC	country_gap_no_parent_source		Puerto Rico research queue (regulatory sandbox)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:199	Country/query search-pack row; local row contains no named public parent URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Resolve a named official/vendor/regulator/register source before review.
BPSE-03208	LIMEN-SIGNAL-7C6BCD2D7B947043	country_gap_no_parent_source		Central African Republic research queue (regulatory sandbox)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:245	Country/query search-pack row; local row contains no named public parent URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Resolve a named official/vendor/regulator/register source before review.
BPSE-03209	LIMEN-SIGNAL-7C7DF2E2F4AEFDC8	country_gap_no_parent_source		Central African Republic research queue (public sector AI)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:245	Country/query search-pack row; local row contains no named public parent URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Resolve a named official/vendor/regulator/register source before review.
BPSE-03210	LIMEN-SIGNAL-7CC999F502515806	country_gap_no_parent_source		Sint Maarten algorithm register indicator	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:17350	Country-profile indicator only; nearby local JSON exposes label/score, not parent URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Inspect underlying Atlas provenance/source-pack manually before review.
