signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-316F1A06A19C629F	translation_review_needed	translation_sensitive_surface_pointer	Local row points to a plausible direct surface, but the evidence is materially translation-sensitive or non-English.	Translation-safe surface triage only; no substantive inference from untranslated or localized text.	route to translation-aware source review	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv
LIMEN-SIGNAL-3171345971E92AA6	source_reviewed_candidate	official_sandbox_or_testbed_surface	Local row metadata names a concrete official or institutional surface with a reviewable URL or title.	Surface existence only from local metadata; no incident, legality, safety, compliance, prevalence, or ranking inference.	keep in direct-source review queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SOURCE_REFRESH.csv
LIMEN-SIGNAL-317E988EBCEF590C	source_reviewed_candidate	official_legal_or_policy_surface	Local row metadata names a concrete official or institutional surface with a reviewable URL or title.	Surface existence only from local metadata; no incident, legality, safety, compliance, prevalence, or ranking inference.	keep in direct-source review queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-3196065BB1063574	merge_existing_surface	existing_registry_or_dashboard_surface	Points to the already-modeled Government of Canada AI Register surface.	Deduplication only; no new surface claim beyond the already-modeled local registry or dashboard.	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv
LIMEN-SIGNAL-31A0F9C86AC6950B	source_reviewed_candidate	official_procurement_surface	Local row metadata names a concrete official or institutional surface with a reviewable URL or title.	Surface existence only from local metadata; no incident, legality, safety, compliance, prevalence, or ranking inference.	keep in direct-source review queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv
LIMEN-SIGNAL-31AFA3DB3170E495	merge_existing_surface	existing_registry_or_dashboard_surface	Points to the already-modeled Government of Canada AI Register surface.	Deduplication only; no new surface claim beyond the already-modeled local registry or dashboard.	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv
LIMEN-SIGNAL-31CAFE417C912E69	reject_noise	internal_derived_artifact	Local artifact is manuscript, script, or derived corpus noise rather than a direct-source surface.	Artifact hygiene only; do not treat this row as direct-source evidence.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json
LIMEN-SIGNAL-31CC82C50FBEDFA2	negative_evidence_candidate	local_negative_or_gap_note	Local row records a bounded negative search, gap warning, or absence note rather than a positive source surface.	Local negative-evidence note only; not proof of real-world absence beyond the reviewed local evidence.	retain as bounded negative-evidence note	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-31D53A1AA99CD72B	needs_named_source_extraction	wrapper_or_summary_pointer	Local row is a wrapper, summary, or proxy and does not yet expose a named reviewable source surface.	Pointer only; do not claim a direct source surface until a named local source is extracted.	extract named source surface from local pointer	/srv/tyche/gaia/tyche-research-vault/papers/eatf-agent-card-attestation-lab/wave3-worldcards/reference-atlas.seed.jsonl
LIMEN-SIGNAL-31D5F06630DBFC4C	needs_named_source_extraction	wrapper_or_summary_pointer	Local row is a wrapper, summary, or proxy and does not yet expose a named reviewable source surface.	Pointer only; do not claim a direct source surface until a named local source is extracted.	extract named source surface from local pointer	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/records.jsonl.bak-cycle172
LIMEN-SIGNAL-31F0629E36A24122	reject_noise	internal_derived_artifact	Local artifact is manuscript, script, or derived corpus noise rather than a direct-source surface.	Artifact hygiene only; do not treat this row as direct-source evidence.	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-rescinded-model-boundary-update.md
LIMEN-SIGNAL-31F718A0F9CF46E0	source_reviewed_candidate	official_sandbox_or_testbed_surface	Local row metadata names a concrete official or institutional surface with a reviewable URL or title.	Surface existence only from local metadata; no incident, legality, safety, compliance, prevalence, or ranking inference.	keep in direct-source review queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv
LIMEN-SIGNAL-31FB4179CF73FBB2	source_reviewed_candidate	official_procurement_surface	Local row metadata names a concrete official or institutional surface with a reviewable URL or title.	Surface existence only from local metadata; no incident, legality, safety, compliance, prevalence, or ranking inference.	keep in direct-source review queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-31FC9F954B624F1C	needs_named_source_extraction	wrapper_or_summary_pointer	Local row is a wrapper, summary, or proxy and does not yet expose a named reviewable source surface.	Pointer only; do not claim a direct source surface until a named local source is extracted.	extract named source surface from local pointer	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-321C70F368DBAC11	reject_noise	internal_derived_artifact	Local artifact is manuscript, script, or derived corpus noise rather than a direct-source surface.	Artifact hygiene only; do not treat this row as direct-source evidence.	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/submission-record-dib-d-26-01245-nekropolis-data-in-brief-2026-06-01.md
LIMEN-SIGNAL-3227F9DBD269E2A7	reject_noise	internal_derived_artifact	Local artifact is manuscript, script, or derived corpus noise rather than a direct-source surface.	Artifact hygiene only; do not treat this row as direct-source evidence.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-pruned-for-estonia-paper-v0.3.md
LIMEN-SIGNAL-3234BCCA8FCF136F	needs_named_source_extraction	wrapper_or_summary_pointer	Local row is a wrapper, summary, or proxy and does not yet expose a named reviewable source surface.	Pointer only; do not claim a direct source surface until a named local source is extracted.	extract named source surface from local pointer	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-governanceMonitors-history.jsonl
LIMEN-SIGNAL-32385255A47AB31D	needs_named_source_extraction	wrapper_or_summary_pointer	Local row is a wrapper, summary, or proxy and does not yet expose a named reviewable source surface.	Pointer only; do not claim a direct source surface until a named local source is extracted.	extract named source surface from local pointer	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/standards-pki-digital-id-exception-cohort.json
