source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://api.openalex.org/works?search=Brazil+PL+2338+artificial+intelligence+regulatory+sandbox+ICP-Brasil+digital+signature+evidence&per-page=4&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	closed_noncase_source_surface	https://api.openalex.org/works?search=Brazil+PL+2338+artificial+intelligence+regulatory+sandbox+ICP-Brasil+digital+signature+evidence&per-page=4&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	api.openalex.org	api.openalex.org		none	source_surface_accounting			OpenAlex returned zero works for the exact query URL; no concrete AI edge-case source record is present.	Source-surface accounting only; no case-level claim extracted.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, ranking, or guilt from this source surface.	Exact API locator is a scholarly index query surface with no returned work and no case-level event/finding.	A direct public source with a named concrete event/action/vulnerability/finding and exact supporting text would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	close_source_surface
https://api.openalex.org/works?search=Kenya+AI+strategy+regulatory+sandbox+data+protection+digital+identity+artificial+intelligence+governance&per-page=4&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	closed_noncase_source_surface	https://api.openalex.org/works?search=Kenya+AI+strategy+regulatory+sandbox+data+protection+digital+identity+artificial+intelligence+governance&per-page=4&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	api.openalex.org	api.openalex.org		none	source_surface_accounting		Kenya; Africa (query/result context)	Exact OpenAlex query returns mixed scholarly works on AI governance/ethics, not a standalone concrete AI edge-case record.	Source-surface accounting only; no case-level claim extracted.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, ranking, or guilt from this source surface.	Index results are broad research/policy literature and do not bound a case-level event, vulnerability, official record, or finding.	A direct public source with a named concrete event/action/vulnerability/finding and exact supporting text would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	close_source_surface
https://api.openalex.org/works?search=kecerdasan+buatan+tadbir+urus+sektor+awam+perlindungan+data+identiti+digital&per-page=2&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	closed_noncase_source_surface	https://api.openalex.org/works?search=kecerdasan+buatan+tadbir+urus+sektor+awam+perlindungan+data+identiti+digital&per-page=2&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	api.openalex.org	api.openalex.org		none	source_surface_accounting		Malaysia; international Islamic law (query/result context)	Exact OpenAlex query returns scholarly/report records, not a standalone concrete AI edge-case record.	Source-surface accounting only; no case-level claim extracted.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, ranking, or guilt from this source surface.	Results are index metadata for general frameworks and jurisprudential analysis without a bounded source-level edge case.	A direct public source with a named concrete event/action/vulnerability/finding and exact supporting text would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	close_source_surface
https://api.openalex.org/works?search=legal+evidence+administrative+procedure+artificial+intelligence+automated+decision+making&per-page=20&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	closed_noncase_source_surface	https://api.openalex.org/works?search=legal+evidence+administrative+procedure+artificial+intelligence+automated+decision+making&per-page=20&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	api.openalex.org	api.openalex.org		none	source_surface_accounting			Exact OpenAlex query is a scholarly index surface about legal evidence and automated decision-making, not a concrete case record.	Source-surface accounting only; no case-level claim extracted.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, ranking, or guilt from this source surface.	A literature search endpoint does not itself provide a named event/action/vulnerability/finding suitable for hardening.	A direct public source with a named concrete event/action/vulnerability/finding and exact supporting text would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	close_source_surface
https://api.openalex.org/works?search=public+algorithm+registers+transparency+public+sector+artificial+intelligence&per-page=20&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	closed_noncase_source_surface	https://api.openalex.org/works?search=public+algorithm+registers+transparency+public+sector+artificial+intelligence&per-page=20&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	api.openalex.org	api.openalex.org		none	source_surface_accounting			Exact OpenAlex query is a scholarly index surface about public algorithm registers, not a concrete case record.	Source-surface accounting only; no case-level claim extracted.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, ranking, or guilt from this source surface.	Algorithm-register literature/index results are generic source-family material unless tied to a named case-level record.	A direct public source with a named concrete event/action/vulnerability/finding and exact supporting text would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	close_source_surface
https://api.openalex.org/works?search=regula%C3%A7%C3%A3o+da+intelig%C3%AAncia+artificial+evid%C3%AAncias+documenta%C3%A7%C3%A3o+t%C3%A9cnica+setor+p%C3%BAblico&per-page=4&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	closed_noncase_source_surface	https://api.openalex.org/works?search=regula%C3%A7%C3%A3o+da+intelig%C3%AAncia+artificial+evid%C3%AAncias+documenta%C3%A7%C3%A3o+t%C3%A9cnica+setor+p%C3%BAblico&per-page=4&mailto=anton.sokolov%40tyche.institute&sort=relevance_score%3Adesc	api.openalex.org	api.openalex.org		none	source_surface_accounting		Brazil; EU (result context)	Exact OpenAlex query returns broad legal/technical scholarship, not a standalone concrete AI edge-case record.	Source-surface accounting only; no case-level claim extracted.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, ranking, or guilt from this source surface.	The returned records are topical literature and adjacent due-diligence/compliance discussions rather than one bounded AI edge case.	A direct public source with a named concrete event/action/vulnerability/finding and exact supporting text would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	close_source_surface
https://arxiv.org/abs/2601.13903	closed_noncase_source_surface	https://arxiv.org/abs/2601.13903	arxiv.org	arxiv.org		none	blockchain_trust; source_surface_accounting	2026-01-20	European Union	The arXiv paper proposes an eIDAS-to-public-blockchain trust architecture; it is not a concrete AI edge-case record.	Source-surface accounting only; no case-level claim extracted.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, ranking, or guilt from this source surface.	Public source is a design/architecture preprint about blockchain trust and legal attribution, not an AI event, vulnerability, official action, or empirical finding.	A direct public source with a named concrete event/action/vulnerability/finding and exact supporting text would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	close_source_surface
https://arxiv.org/abs/2603.26983	case_candidate_for_hardening	https://arxiv.org/abs/2603.26983	arxiv.org	arxiv.org	EU AI Act Article 50 provenance-tracking gap in iterative fact-checking workflows	scholarly_preprint	content_provenance; AI_transparency; legal_technical_mismatch	2026-03-27	European Union	An arXiv preprint claims that, in diagnostic use cases such as automated fact-checking pipelines, iterative editorial workflows and non-deterministic LLM outputs make provenance tracking infeasible under simple post-hoc labeling approaches.	Preprint-level claim about architectural/provenance feasibility constraints in stated diagnostic workflows only.	Do not claim EU AI Act noncompliance, legal violation, deployment prevalence, safety harm, or that all C2PA/provenance systems fail.	Exact arXiv abstract states a concrete scholarly finding about machine-readable transparency/provenance constraints for AI-generated content workflows; bounded as a preprint claim only.	Retrieve and quote original paper text around diagnostic use cases; record method limits; preserve preprint-only evidence tier; avoid legal compliance conclusion.	Only consider after reviewed-core hardening with exact quotes and independent reviewer confirmation; no ObscureAI addition now.	needs_original_source_text
https://doi.org/10.1002/aaai.12183	closed_noncase_source_surface	https://doi.org/10.1002/aaai.12183	doi.org	doi.org		none	source_surface_accounting	2024-07-19	European Union	The DOI record is a perspective/review article on implementation of EU AI Act prohibited practices, not a standalone concrete edge-case source.	Source-surface accounting only; no case-level claim extracted.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, ranking, or guilt from this source surface.	It discusses governance and enforcement challenges at a high level and does not expose one bounded case-level event/finding for extraction.	A direct public source with a named concrete event/action/vulnerability/finding and exact supporting text would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	close_source_surface
https://doi.org/10.1007/978-3-031-19447-4	closed_noncase_source_surface	https://doi.org/10.1007/978-3-031-19447-4	doi.org	doi.org		none	source_surface_accounting	2023		The DOI record is a book-level scholarly surface on private law of AI, not a concrete case record.	Source-surface accounting only; no case-level claim extracted.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, ranking, or guilt from this source surface.	Book DOI/index page names a conceptual legal work and lacks a bounded event, vulnerability, official action, or specific finding.	A direct public source with a named concrete event/action/vulnerability/finding and exact supporting text would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	close_source_surface
