signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-CCCDE3DD382F9397	merge_existing_surface	existing_modeled_surface	Seed already names the Netherlands Algorithm Register, an existing modeled surface.	must resolve the underlying source before any reviewed example or paper claim	dedupe to existing surface ledger	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json
LIMEN-SIGNAL-CCD462B87AC5D572	reject_noise	derived_or_internal_noise	Local row is derived manuscript, schema, summary, or other internal queue noise.	must resolve direct public source before promotion	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/RESULT.md
LIMEN-SIGNAL-CCD53CD7EB6E7529	reject_noise	derived_or_internal_noise	Local row is derived manuscript, schema, summary, or other internal queue noise.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-CCD969E08F582520	reject_noise	derived_or_internal_noise	Local row is derived manuscript, schema, summary, or other internal queue noise.	must resolve direct public source before promotion	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-seedtune-20260604T044720Z
LIMEN-SIGNAL-CCD9A6794E568FA7	reject_noise	derived_or_internal_noise	Local row is derived manuscript, schema, summary, or other internal queue noise.	must resolve direct public source before promotion	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/10-pallas-gaia-bridge/data/pallas_gaia_agent_observability_stress_test.csv
LIMEN-SIGNAL-CCDB2CDAC6976703	needs_named_source_extraction	source_pack_or_wrapper	Local row points toward a source family or wrapper but does not yet expose a named reviewable surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-CCF0E1FB94F3E271	negative_evidence_candidate	negative_or_limit_record	Local row is a bounded negative-evidence or limitation record.	must resolve the underlying source before any reviewed example or paper claim	retain as bounded negative-evidence row	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-continuous-experiments/legal-research-cross-project-public-anchor-candidates-v0.1.tsv
LIMEN-SIGNAL-CCF5FAFEED29A169	negative_evidence_candidate	negative_or_limit_record	Resolution side-panel row records France register candidate failure, not a reviewed source page.	must resolve the underlying source before any reviewed example or paper claim	retain as bounded negative-evidence row	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-022/source-resolution-side-panel-join-v0.1.csv
LIMEN-SIGNAL-CCFCFD5C81FE0569	negative_evidence_candidate	negative_or_limit_record	Local row records an absence, warning, block, or evidence-limit result.	must resolve direct public source before promotion	retain as bounded negative-evidence row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-CD0254CC1F14CF50	negative_evidence_candidate	negative_or_limit_record	Local row records an absence, warning, block, or evidence-limit result.	must resolve direct public source before promotion	retain as bounded negative-evidence row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-CD0683AEFCC09859	reject_noise	derived_or_internal_noise	Local row is derived manuscript, schema, summary, or other internal queue noise.	must resolve direct public source before promotion	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/tickler-2026-06-11-jerhre-26-0083-status-check.md
LIMEN-SIGNAL-CD0BDDDCC86536A5	negative_evidence_candidate	negative_or_limit_record	Local row records an absence, warning, block, or evidence-limit result.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	retain as bounded negative-evidence row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-CD0EEA3E208D3D5B	needs_named_source_extraction	source_pack_or_wrapper	Local row points toward a source family or wrapper but does not yet expose a named reviewable surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-CD154BD7443B6B82	negative_evidence_candidate	negative_or_limit_record	Local row records an absence, warning, block, or evidence-limit result.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	retain as bounded negative-evidence row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv
LIMEN-SIGNAL-CD1A07CD2F3A811B	negative_evidence_candidate	negative_or_limit_record	Local row is a bounded negative-evidence or limitation record.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	retain as bounded negative-evidence row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-CD2107EDF96E18C6	reject_noise	derived_or_internal_noise	Local row is derived manuscript, schema, summary, or other internal queue noise.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-CD23046E05767086	needs_named_source_extraction	source_pack_or_wrapper	Local row points toward a source family or wrapper but does not yet expose a named reviewable surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-CD28A22250737C4A	needs_named_source_extraction	source_pack_or_wrapper	Proxy row exposes only a Retraction Watch identifier, not the named notice page.	must resolve direct public source before promotion	extract named direct source before review	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-section7-source-family-figure-regeneration-20260522T160305Z.json
LIMEN-SIGNAL-CD2C5E2293A7A212	needs_named_source_extraction	source_pack_or_wrapper	Local row points toward a source family or wrapper but does not yet expose a named reviewable surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-CD2D009BC55B7169	reject_noise	derived_or_internal_noise	Local row is derived manuscript, schema, summary, or other internal queue noise.	must resolve the underlying source before any reviewed example or paper claim	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-117/agent-record-delta.json
LIMEN-SIGNAL-CD341EC545884115	reject_noise	derived_or_internal_noise	Local row is derived manuscript, schema, summary, or other internal queue noise.	must resolve the underlying source before any reviewed example or paper claim	drop from direct-source queue	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/systematic-literature-screening-20260608.csv
LIMEN-SIGNAL-CD384FD825134F1C	merge_existing_surface	existing_modeled_surface	Helsinki AI Register detail snapshot duplicates an already-modeled register surface.	must resolve the underlying source before any reviewed example or paper claim	dedupe to existing surface ledger	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/snapshots/ai.hel.fi-0d260ad2e03307b4.bin
LIMEN-SIGNAL-CD38889C9F909FFE	reject_noise	derived_or_internal_noise	Local row is derived manuscript, schema, summary, or other internal queue noise.	must resolve the underlying source before any reviewed example or paper claim	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-20260605T192332Z/claim-support-digest.json
LIMEN-SIGNAL-CD3CA296581328D4	merge_existing_surface	existing_modeled_surface	Local row duplicates an already-modeled surface for algorithm register.	must resolve the underlying source before any reviewed example or paper claim	dedupe to existing surface ledger	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/records.jsonl
LIMEN-SIGNAL-CD47B2BA27436659	needs_named_source_extraction	source_pack_or_wrapper	Local row points toward a source family or wrapper but does not yet expose a named reviewable surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
