packet_id	path	exists	sha256	artifact_role	review_consumer	allowed_action	blocker_or_note	claim_ceiling
manuscript_current	draft/preprint-v0.3-f1000.md	yes	74f77d887bf2dca2635cef96b0f8d177c1ecdd519f9bfec8c2d07a43599929cf	primary F1000 Method Article manuscript surface	human_release_review	read-only-review	Review text, denominator captions, data availability, and limitations; no portal action.	package-integrity/dashboard-paper-parity/release-routing only; no incident validation, source-truth, completeness, prevalence, legal/compliance/safety/deployment/country-ranking/F1000 acceptance/public-release/fused-observatory claim
dashboard_spec	dashboard/limen-dashboard-spec-v0.1.md	yes	21ac7b2275010f1786bd94a3bce1da135f6a55f92f86bf7909e3e0e90a4aff57	required dashboard specification and release-boundary panels	dashboard_paper_parity_review	read-only-review	Use v3.0 grammar for public-surface rows; do not treat HTTP 200 as citation-safe release proof.	package-integrity/dashboard-paper-parity/release-routing only; no incident validation, source-truth, completeness, prevalence, legal/compliance/safety/deployment/country-ranking/F1000 acceptance/public-release/fused-observatory claim
article_architecture	papers/article-architecture-v0.1.md	yes	5f6aa69263f9ecd64bbb15534f05764179929905fc5a7510a8b0c396622bbc70	article route, claim ceiling, and figure/table architecture	human_release_review	read-only-review	Primary route is bounded F1000Research Method Article unless Anton changes route.	package-integrity/dashboard-paper-parity/release-routing only; no incident validation, source-truth, completeness, prevalence, legal/compliance/safety/deployment/country-ranking/F1000 acceptance/public-release/fused-observatory claim
dashboard_api_bundle	dashboard/limen-dashboard-api-bundle-v0.1.json	yes	722fa3655e3c4b504d8100b1514ed53d8b7f8e1daa17334b456a0b30a7649219	local dashboard API bundle	internal_package_review	internal-consume	Not public release proof; rerun build gates after content edits.	package-integrity/dashboard-paper-parity/release-routing only; no incident validation, source-truth, completeness, prevalence, legal/compliance/safety/deployment/country-ranking/F1000 acceptance/public-release/fused-observatory claim
static_dashboard_preview	dashboard/static-dashboard-preview-v0.1.html	yes	085e09d896bed3ddd207b6f57ea9a03bacad8ec1f29b9508e54f427446948a70	static preview artifact	internal_package_review	internal-consume	No deploy/upload action; content/version review still required before citation-safe use.	package-integrity/dashboard-paper-parity/release-routing only; no incident validation, source-truth, completeness, prevalence, legal/compliance/safety/deployment/country-ranking/F1000 acceptance/public-release/fused-observatory claim
si_manifest	results/boost/limen-dashboard-paper-forge/si-package/si-package-manifest.json	yes	8220c90950b8361c55b2b6dc98728f66fc620f58889ab4da838f039d84a3f923	supplementary information package manifest	human_release_review	read-only-review	Check presence and hashes before any Anton-controlled deposit/upload.	package-integrity/dashboard-paper-parity/release-routing only; no incident validation, source-truth, completeness, prevalence, legal/compliance/safety/deployment/country-ranking/F1000 acceptance/public-release/fused-observatory claim
pre_submit_tool	tools/limen_pre_submit_check.py	yes	0db4c5154a92c2dfb5c15a8693c3d48ca36d454418c2e57a6f83fed61ec1bb32	internal pre-submit gate	internal_gate	internal-run	Rerun after every package edit.	package-integrity/dashboard-paper-parity/release-routing only; no incident validation, source-truth, completeness, prevalence, legal/compliance/safety/deployment/country-ranking/F1000 acceptance/public-release/fused-observatory claim
caption_gate_test	tests/test_limen_caption_currentness_gate.py	yes	76ecdcdca0a0380847c1ce4080421080ff2cb50ce519392e0c7816dfdf893f0d	caption-currentness pytest gate	internal_gate	internal-run	Rerun after every caption/control edit.	package-integrity/dashboard-paper-parity/release-routing only; no incident validation, source-truth, completeness, prevalence, legal/compliance/safety/deployment/country-ranking/F1000 acceptance/public-release/fused-observatory claim
closure_audit_v23	results/boost/limen-dashboard-paper-forge/required-output-closure-audit-v2.3.md	yes	fe09e291b65621ef6af9e3fdf4592f62c03816dfa7dee93c9ad0b2d48c5193cc	required-output closure audit	release_packet_context	read-only-review	Internal package completeness only; not an empirical evidence count.	package-integrity/dashboard-paper-parity/release-routing only; no incident validation, source-truth, completeness, prevalence, legal/compliance/safety/deployment/country-ranking/F1000 acceptance/public-release/fused-observatory claim
source_join_scope_v22	results/boost/limen-dashboard-paper-forge/file-qualified-source-join-scope-audit-v2.2.md	yes	9c399f33542801db272923329bdd60d4c2475846b478593d09a80ca5f35a660e	source-join scope and row-level badge blocker	provenance_label_review	read-only-review	Keep row-level access/rights badges blocked unless file-qualified joins are verified.	package-integrity/dashboard-paper-parity/release-routing only; no incident validation, source-truth, completeness, prevalence, legal/compliance/safety/deployment/country-ranking/F1000 acceptance/public-release/fused-observatory claim
