category_code	category_label	sample_case_ref	case_title	review_kind_now	review_owner_now	jurisdictions	languages	record_status	evidence_tier	current_authority_signal	document_grade_signal_now	strongest_document_depth_now	document_depth_statuses_now	authoritative_source_count_now	issuing_bodies_now	source_types_now	authority_source_urls_now	framework_anchor_profile_now	claim_ceiling_bucket_now	document_depth_interpretation_now	case_specific_review_reason_now	next_stronger_source_needed_now	linked_review_queue_ids	paper_use_now	updated_at
ai_washing_or_false_ai_claim	AI washing or false AI claim	data/cases/authoritative-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	regulator/procurement/source-authority review	Lawyer/procurement review	United States	en	authoritative_charging_stage	T3_authoritative_source	authoritative_charging_stage	partial_document_grade_local_text_present	indictment_pdf_captured	charging_stage_summary_with_linked_indictment; indictment_pdf_captured	2	U.S. Attorney's Office, Southern District of New York	federal prosecutor press release; DOJ-linked indictment PDF	https://www.justice.gov/usao-sdny/pr/tech-ceo-charged-artificial-intelligence-investment-fraud-scheme; https://www.justice.gov/usao-sdny/media/1396131/dl?inline	oecd	mixed_authority_context_insufficient	Local package already contains a captured public document for this sampled case, but local normalization remains incomplete and category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use this row as charging-stage authority only; do not convert the indictment allegations into adjudicated fact or liability.	non-finance procurement challenge, contract text, technical audit, official correction, regulator document, or later public disposition	LQ-008; LQ-009	AI-washing typology for procurement and market-facing visuals	2026-06-08T12:57:42+02:00
ai_washing_or_false_ai_claim	AI washing or false AI claim	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	regulator/procurement/source-authority review	Lawyer/procurement review	United States	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	administrative_order_pdf_text_present	agency_press_release_summary; administrative_order_pdf_text_present	2	U.S. Securities and Exchange Commission	federal regulator settlement press release; SEC administrative order	https://www.sec.gov/newsroom/press-releases/2024-36; https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	oecd	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use as an SEC enforcement finding and settlement record, not as a judicial determination of broader fraud facts.	non-finance procurement challenge, contract text, technical audit, official correction, regulator document, or later public disposition	LQ-008; LQ-009	AI-washing typology for procurement and market-facing visuals	2026-06-08T12:57:42+02:00
education_workplace_or_hr	Education, workplace, or HR	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	lawyer/source-authority review	Lawyer/regulator review	United Kingdom	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	notice_pdf_text_present	regulator_newsroom_summary; regulator_enforcement_record_summary; notice_pdf_text_present	3	Information Commissioner's Office	data protection authority enforcement news page; ICO enforcement-action record; ICO enforcement notice PDF	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/02/ico-orders-serco-leisure-to-stop-using-facial-recognition-technology/; https://ico.org.uk/action-weve-taken/enforcement/2024/02/serco-leisure-operating-limited-and-relevant-associated-trusts/; https://ico.org.uk/media2/woalogoc/20240219-serco-leisure-operating-limited-en.pdf	unesco	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Keep to the ICO's proportionality/fairness framing and enforcement-notice description; do not generalize beyond the notice summary page.	court complaint/decree, school/employer policy, official redress record, or regulator notice text	LQ-004	Employment/education decision-flow matrix	2026-06-08T12:57:42+02:00
finance_insurance_or_market	Finance, insurance, or market	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	source-authority/postmortem review	Lawyer/source-authority review; Lawyer/procurement review	United States	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	administrative_order_pdf_text_present	agency_press_release_summary; administrative_order_pdf_text_present	2	U.S. Securities and Exchange Commission	federal regulator settlement press release; SEC administrative order	https://www.sec.gov/newsroom/press-releases/2024-36; https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	oecd	authority_led_but_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use as an SEC enforcement finding and settlement record, not as a judicial determination of broader fraud facts.	court/regulator record, formal consumer/securities disposition, provider/deployer postmortem, or transaction-specific technical audit	LQ-005; LQ-008	Sectoral harm matrix across finance/insurance/market records	2026-06-08T12:57:42+02:00
finance_insurance_or_market	Finance, insurance, or market	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	source-authority/postmortem review	Lawyer/source-authority review; Lawyer/procurement review	United States	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	administrative_order_pdf_text_present	agency_press_release_summary; administrative_order_pdf_text_present	2	U.S. Securities and Exchange Commission	federal regulator settlement press release; SEC administrative order	https://www.sec.gov/newsroom/press-releases/2024-36; https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	oecd	authority_led_but_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use as an SEC enforcement finding and settlement record, not as proof that all AI-enabled advisory products are similarly misleading.	court/regulator record, formal consumer/securities disposition, provider/deployer postmortem, or transaction-specific technical audit	LQ-005; LQ-008	Sectoral harm matrix across finance/insurance/market records	2026-06-08T12:57:42+02:00
legal_procedural_contamination	Legal/procedural contamination	data/cases/authoritative-candidates.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	lawyer/source-authority review	Lawyer/institutional-process review	Italy	it	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	document_text_on_regulator_site	document_text_on_regulator_site	1	Garante per la protezione dei dati personali	data protection authority order	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832	nist+oecd	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use the regulator's own language: urgent provisional limitation, not a generalized finding of illegality beyond the order text.	court filing/order, institutional correction notice, or official process-integrity statement from a second document-grade family	LQ-007	Process-contamination typology for justice/admin case tables	2026-06-08T12:57:42+02:00
normative_or_moral_outlier	Normative or moral outlier	data/cases/authoritative-candidates.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	source-authority/postmortem review	Mixed human review	Italy	it	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	document_text_on_regulator_site	document_text_on_regulator_site	1	Garante per la protezione dei dati personali	data protection authority order	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832	oecd	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use the regulator's own language: urgent provisional limitation, not a generalized finding of illegality beyond the order text.	stronger regulator/court/institutional record or explicit governance/postmortem document that narrows framework fit	LQ-009	Normative-anomaly gallery with explicit uncertainty coding	2026-06-08T12:57:42+02:00
normative_or_moral_outlier	Normative or moral outlier	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	source-authority/postmortem review	Mixed human review	United Kingdom	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	reprimand_pdf_text_present	regulator_newsroom_summary; regulator_enforcement_record_summary; reprimand_pdf_text_present	3	Information Commissioner's Office	data protection authority reprimand news page; ICO enforcement-action record; ICO reprimand PDF	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/07/essex-school-reprimanded-after-using-facial-recognition-technology-for-canteen-payments/; https://ico.org.uk/action-weve-taken/enforcement/2024/07/chelmer-valley-high-school/; https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf	oecd	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	The source frames this as a reprimand and data-protection failure; avoid inferring broader school-sector prevalence from one case.	stronger regulator/court/institutional record or explicit governance/postmortem document that narrows framework fit	LQ-009	Normative-anomaly gallery with explicit uncertainty coding	2026-06-08T12:57:42+02:00
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	regulator/procurement/source-authority review	Lawyer/regulator/source-authority review	United Kingdom	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	notice_pdf_text_present	regulator_newsroom_summary; regulator_enforcement_record_summary; notice_pdf_text_present	3	Information Commissioner's Office	data protection authority enforcement news page; ICO enforcement-action record; ICO enforcement notice PDF	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/02/ico-orders-serco-leisure-to-stop-using-facial-recognition-technology/; https://ico.org.uk/action-weve-taken/enforcement/2024/02/serco-leisure-operating-limited-and-relevant-associated-trusts/; https://ico.org.uk/media2/woalogoc/20240219-serco-leisure-operating-limited-en.pdf	nist+oecd	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Keep to the ICO's proportionality/fairness framing and enforcement-notice description; do not generalize beyond the notice summary page.	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement	LQ-001; LQ-002	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	2026-06-08T12:57:42+02:00
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	regulator/procurement/source-authority review	Lawyer/regulator/source-authority review	United Kingdom	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	reprimand_pdf_text_present	regulator_newsroom_summary; regulator_enforcement_record_summary; reprimand_pdf_text_present	3	Information Commissioner's Office	data protection authority reprimand news page; ICO enforcement-action record; ICO reprimand PDF	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/07/essex-school-reprimanded-after-using-facial-recognition-technology-for-canteen-payments/; https://ico.org.uk/action-weve-taken/enforcement/2024/07/chelmer-valley-high-school/; https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf	nist+oecd	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	The source frames this as a reprimand and data-protection failure; avoid inferring broader school-sector prevalence from one case.	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement	LQ-001; LQ-002	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	2026-06-08T12:57:42+02:00
