queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00241	LIMEN-SIGNAL-AF6F7121D690BEC2	non_english_official_search_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_SOURCE_REFRESH.csv	320	Official Ukrainian ministry search evidence is materially non-English.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	route to translation-aware review
BTR-00242	LIMEN-SIGNAL-B0609521CEF6A24B	non_english_statutory_pdf	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv	243	Greek statutory PDF is a plausible direct source but translation-sensitive.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	route to translation-aware review
BTR-00243	LIMEN-SIGNAL-B0FA0EE88A965D10	translation-sensitive official surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv	75	Åland government transparency page is named, but the local evidence is materially Swedish.	Translation-safe surface check only.	Route to translation-aware source review.
BTR-00244	LIMEN-SIGNAL-B1A69926DAF6BD5E	translation-sensitive register sample	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050159Z/manuscript.md	139	Local row explicitly depends on English auto-translation from Dutch register content.	Translation-safe surface check only.	Route to translation-aware source review.
BTR-00245	LIMEN-SIGNAL-B388C653CB63514B	translation-sensitive register sample	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-gap-map-v0.2.preview.csv	10	Gap-map row explicitly depends on English auto-translation from Dutch register content.	Translation-safe surface check only.	Route to translation-aware source review.
BTR-00246	LIMEN-SIGNAL-B529F23C22421D41	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv	62	Dutch register record is a plausible direct surface but translation-sensitive.	translation-sensitive surface only; no conclusion from machine translation	route to translation-aware source review
BTR-00247	LIMEN-SIGNAL-B588F3CD0321A284	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-sample-records-v0.2.preview.csv	2	Dutch sample record relies on English auto-translation from Dutch.	translation-sensitive surface only; no conclusion from machine translation	route to translation-aware source review
BTR-00248	LIMEN-SIGNAL-B5AAEB6BA3EDD11D	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-gap-map-v0.2.csv	8	Dutch gap-map record relies on English auto-translation from Dutch.	translation-sensitive surface only; no conclusion from machine translation	route to translation-aware source review
BTR-00249	LIMEN-SIGNAL-B5E7DB68CFD0524A	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-gap-map-v0.2.csv	9	Dutch gap-map record relies on English auto-translation from Dutch.	translation-sensitive surface only; no conclusion from machine translation	route to translation-aware source review
BTR-00250	LIMEN-SIGNAL-B5EA5B32084786A1	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1629	Slovenian procurement portal is a plausible official surface but translation-sensitive.	translation-sensitive surface only; no conclusion from machine translation	route to translation-aware source review
BTR-00251	LIMEN-SIGNAL-B714AB5BF1EC11EF	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv	14	Dutch register field-normalization row depends on English auto-translation from Dutch.	translation-sensitive surface only; no conclusion from machine translation	route to translation-aware source review
BTR-00252	LIMEN-SIGNAL-B865297BE4FB6B7F	translation_sensitive_surface	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/south-asian-language-history.jsonl	2	Multilingual official-source history row points to a non-English official source and needs translation-safe review.	translation-sensitive surface only; no conclusion from machine translation	route to translation-aware source review
BTR-00253	LIMEN-SIGNAL-B8862DA0FF0B2D9F	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	427	Greenland strategy PDF is a plausible official procurement-adjacent surface but materially non-English.	translation-sensitive surface only; no conclusion from machine translation	route to translation-aware source review
BTR-00254	LIMEN-SIGNAL-B927AFAFE3D9DC45	translation_sensitive_surface	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	307	Danish government language-data page is a plausible official surface but translation-sensitive.	translation-sensitive surface only; no conclusion from machine translation	route to translation-aware source review
BTR-00255	LIMEN-SIGNAL-B93A09FB5058D542	translation_sensitive_surface	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/global-south-brazil-records.jsonl	4	ICP-Brasil gov.br page is a named official surface but materially non-English.	translation-sensitive surface only; no conclusion from machine translation	route to translation-aware source review
BTR-00256	LIMEN-SIGNAL-B992680524DE90B0	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_SOURCE_REFRESH.csv	57	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
