visual_id	canonical_slot	artifact_type	title	ready_state	current_source_path	denominator_or_scope	caption_control	shared_dependency	paper_claim_ceiling	dashboard_hook	next_smallest_publishability_move
LIMEN-VIS-001	Figure 1	figure	Source-family saturation map	ready_now	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	15 source families (seeded=13; planned=2; grounded_now=13)	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-008`; keep thin-family blockers sf08, sf09, sf11, sf13, and appendix-only/manual-overlay sf06 visible, do not imply corpus completeness, prevalence, or equal evidentiary depth, and when Figure 1 is reused with Table 1 or methods prose carry the blocked-source register, ranked Route-B blocker register, route-friction overlay, and the shard-013 typed blocker bundle so exact blocker forms and host-friction distinctions stay visible.	exp-001 from results/dashboard-paper/shared-export-promotion-register-v0.1.tsv; caption control now shared via CCR-008; Figure 1 / Table 1 control bundle also depends on `results/boost/limen-boost-001/blocked-source-priority-register.tsv`, `results/boost/limen-boost-049/source-family-table1-claim-ceilings.tsv`, `results/boost/limen-boost-037/route-b-blocker-register.tsv`, `results/boost/limen-boost-049/source-host-friction-matrix.tsv`, `results/boost/limen-boost-013/blocked-source-state-typology-v0.1.tsv`, and `results/boost/limen-boost-013/blocked-source-claim-wording-contract.tsv` when route-state precision matters	Bounded claim about declared source-family coverage, readiness classes, blocker concentration, the distinction between blocked routes and reachable-but-still-thin families, and typed thin-family claim ceilings rather than flat maturity.	Source-family saturation map; observability-boundary panel; blocker legend; route-friction sidecar	Patch this row together with the staged source-family coverage export and CCR-008 whenever another family changes state, and keep the blocked-source register, typed claim-ceiling table, shard-013 blocker typology plus wording contract, ranked Route-B blocker register, and route-friction overlay attached whenever Figure 1 / Table 1 wording is refreshed.
LIMEN-VIS-002	Figure 2	figure	Taxonomy support heatmap	ready_now_live_refreshed_source	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	15 taxonomy rows; refreshed support split 11 authority-backed / 1 candidate-only / 3 zero-seed on 35 visible / 27 lineage bundle; overlay-ready frontier slices remain explicitly bounded at security=7/23, ai_misstatement=3/23, and biometric=2/23	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001`; keep zero-seed rows as current local evidence gaps rather than real-world absence, preserve the overlay-ready versus queue-only/singleton-watch frontier split through `CCR-002`, and carry shard-058 fragility logic so recurrent-but-fragile rows are not mistaken for equally mature seeded categories.	exp-005 promotion candidate; current shared export instruction lives in results/dashboard-paper/shared-export-promotion-register-v0.1.tsv and requires shard-034 frontier coupling plus shard-058 fragility-sidecar reuse while the staged heatmap mechanical refresh is still pending	Bounded claim about uneven local support, visible gaps, residual-pressure routing, and explicit recurrence-versus-maturity fragility ceilings, not incidence, absence, or flat subtype maturity.	Taxonomy heatmap; local gap panel; residual-pressure frontier overlay; fragility-sidecar tooltip bundle	Keep zero-seed caption logic attached, route Figure 2 reuse through `CCR-001`, `CCR-002`, the live `7/23`, `3/23`, and `2/23` frontier split, and `results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv` while the staged heatmap source still awaits regeneration.
LIMEN-VIS-003	Figure 3	figure	Legal uncertainty matrix	ready_now	results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	15 category rows (High=10; Medium=5)	Use as stronger-source-needs control surface, not as a legal conclusion engine.	exp-006 promotion candidate	Bounded claim that LIMEN encodes stronger-source needs and legal/normative caution explicitly.	Hostile-reviewer legal/normative control panel	Add direct framework-text anchors row by row where available, but keep the current figure limitations-forward.
LIMEN-VIS-004	Figure 4	figure	Duplicate-review quality-control graph	ready_now	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv	25 reviewed graph edges; 14 identifier-collision blockers; 11 reviewed-not-duplicate edges; the graph now materializes every graph-eligible reviewed package in the live duplicate-control ledger	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-018`; never narrate stable duplicate clusters as recurrence; keep graph-versus-ledger scope explicit even though the residual graph-gap register is now empty.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-007; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-018; results/boost/limen-boost-047/duplicate-graph-gap-register.tsv; must stay synchronized with results/clusters/duplicate-clusters-v0.1.tsv	Bounded claim about join safety, namespace risk, and overcount prevention.	Duplicate-control graph; join-safety QA panel; graph-completeness caveat badge	Keep the repaired 25-edge graph tied to CCR-018 and the live duplicate ledger so future prose does not slide from quality-control graph into recurrence rhetoric.
LIMEN-VIS-005	Figure 5	figure	Publication-safe evidence-tier funnel	ready_now_but_keep_caution_overlay	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	21 publication-safe lineages (T3=14; T3_direct_url_resolved=1; T1=6; confidence caps high=15 medium=0 low=6)	Use the refreshed 21-lineage safe funnel, not the older 17-record staged funnel; keep confidence-cap overlay visible.	exp-003 promotion candidate plus exp-002 aggregate contract companion; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-005	Bounded maturity claim under normalized lineage-safe joins only, not completeness or flat equivalence across rows.	Evidence-tier funnel; denominator-control legend	Treat the older staged funnel as provenance/appendix only and keep the singleton-ahead-of-review caveat explicit.
LIMEN-VIS-006	Figure 6	figure	Jurisdiction/language visibility map	usable_but_bounded	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	10 staged jurisdiction-language rows plus 6 translation-dependent safe lineages in the 21-lineage aggregate	Pair with results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv and mark six-of-six translation-review-required caution.	exp-004 promotion candidate plus multilingual routing matrix and blocked results/dashboard path note	Bounded visibility and language-bias claim only; not stable country ranking or geographic prevalence.	Jurisdiction/language visibility map; translation-pressure overlay	Keep unresolved multilingual rows off default substantive views and preserve the 1/2/3 publication-bucket split in legends.
LIMEN-VIS-007	Table 1A	table	Authoritative document-depth facet	ready_now	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	10 rows (document_grade=7; follow_through_grade=1; partial_document_grade=1; summary_grade=1); shared authoritative package-state core remains 11 rows because Workado travels in package-state prose rather than the default facet	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009`; keep the 7 direct-document rows, the 1 bounded ORION follow-through row, the 1 normalization-limited Nate charging-stage row, and the 1 summary-only EEOC row visibly separate.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009; results/dashboard-paper/authoritative-package-state-panel-v0.1.tsv:AUTHPANEL-001; shared dashboard-paper artifact already materialized	Bounded claim about document-depth heterogeneity inside authoritative support, posture-aware reuse, package-state-versus-default-facet discipline, and next-upgrade needs.	Authoritative depth facet; court/regulator document-depth panel	Keep Table 1A tied to `CCR-009`, preserve the 7 direct-document rows as distinct from the ORION follow-through row plus the Nate and EEOC ceilings, and target one court-facing complaint/decree/order capture plus one cleaner Nate caption source before stronger court-depth rhetoric.
LIMEN-VIS-008	Table 1B	table	Public-sector disclosure asymmetry comparison	ready_now	results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv	6 rows across 4 surface classes: public_ai_register_entry=2; regulator_enforcement_package=2; official_project_page=1; regulator_decision_page_governance_anchor=1; Helsinki has a family-level same-buyer procurement companion, Amsterdam now has exact-row current+history CSV exports plus exact-name procurement non-hit and a threshold-neutral same-buyer Azure/Public Cloud family bridge, and Denmark adds a rare-language governance sidecar without buyer-side traceability	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015`; keep Helsinki family-level rather than exact row-linked proof, keep Amsterdam below exact buyer-side or public-companion proof despite the visible family bridge, and keep package-level denominator rhetoric tied to Figure 7 controls.	exp-009 promotion candidate; public-sector disclosure asymmetry note; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015	Bounded claim that disclosure surfaces expose different reconstruction fields and claim ceilings.	Public-sector disclosure completeness panel; surface-class comparator	Reuse this slot only through `CCR-015` and add one exact row-linked procurement or public impact-assessment companion before stronger transparency rhetoric.
LIMEN-VIS-009	Table 1C	table	AI-washing posture ladder	ready_now	results/dashboard-paper/ai-washing-posture-table-v0.1.tsv	4 rows (settled SEC=2; charging-stage hidden-human row=1; explicit queue row=1)	Keep settled regulator-order rows, the Nate charging-stage row, and the explicit queue row visibly separate.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-003; results/boost/limen-boost-009/shared-caption-propagation.tsv:SCP-009-002	Bounded claim about procedural posture and sanction visibility within one subtype package.	Posture-aware exemplar ladder; settled-vs-accusation panel	Preserve accusation-stage caution and queue-row visibility until a regulator-final or adjudicated hidden-human exemplar exists.
LIMEN-VIS-010	Figure 7	figure	Authority-balance composition panel	usable_but_bounded_legacy_single_state	results/boost/limen-boost-011/source-authority-balance.tsv	21-lineage bounded legacy single-state panel; authority_anchor=7; technical_authority=7; translation_caution_authority=1; provisional_or_limitations_only=6; keep explicit that the live multistate-safe publication projection is 23 and the broader duplicate/taxonomy family is 25 until singleton-plus-collision metadata can travel together for LIMEN-000008 and LIMEN-000009	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-014` as denominator-control and composition legend; do not rank social importance or severity by authority class, and keep the omitted singleton-plus-collision rows explicit.	exp-008 promotion candidate; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-014	Bounded claim that current lineages are compositionally heterogeneous and should not be narratively flattened, but only as a legacy single-state panel rather than the live final authority distribution.	Authority-balance composition panel; caption-control legend; denominator-risk badge	Reuse Figure 7 only with `CCR-014`, keep the legacy-single-state warning attached, and do not promote the panel to live-denominator prose until a multistate-safe export or sidecar validator materializes.
LIMEN-VIS-011	Table 1D	table	Multilingual evidence-quality ladder	ready_now	results/boost/limen-boost-017/multilingual-shared-table-register.tsv	6 multilingual rows (direct_official=1; direct_non_official=2; queue_only=3; translation_review_required=6)	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-006` and preserve the one / two / three split with explicit translation-caution metadata.	results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-006; blocked shared `results/dashboard/` path note	Bounded claim about multilingual evidence-quality routing and blocker-class diversity, not country ranking, prevalence, or substantive validation of unresolved rows.	Jurisdiction/language map legend; authority-upgrade funnel; blocker-class matrix	Promote this as the canonical shared multilingual table slot before any broader multilingual prose expansion.
