source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://cnie.ma	closed_noncase_source_surface	https://www.cnie.ma/	cnie.ma	cnie.ma		not_applicable_noncase	source_surface_accounting; algorithm_register_or_catalog_surface; sandbox_or_regulator_surface		Morocco	The cited URL is a regulator/source-family landing page; the supplied metadata and exact-URL check do not isolate a concrete AI edge-case event, finding, vulnerability, enforcement action, or official case record.	May cite only as a source-surface/accounting lead, not as evidence of an AI incident or reviewed-core case.	Do not infer incident truth, legality, safety, compliance failure, deployment proof, prevalence, guilt, or ranking from this surface.	Closed as noncase source surface: Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event. Exact URL/source metadata describes a register, catalogue, guidance, portal, organization, or policy surface rather than a bounded case-level record.	Locate a specific public primary record with concrete event/action/vulnerability/finding and bounded facts.	Only reconsider after a case-level public record exists and reviewed-core hardening supports an obscure-AI claim.	No promotion; retain as closed source-surface accounting unless a specific case record is later extracted.
https://cnil.fr/en/artificial-intelligence	closed_noncase_source_surface	https://www.cnil.fr/en/artificial-intelligence	cnil.fr	cnil.fr		not_applicable_noncase	source_surface_accounting; guidance_or_policy_surface		France	The cited URL is a AI topic/guidance landing page; the supplied metadata and exact-URL check do not isolate a concrete AI edge-case event, finding, vulnerability, enforcement action, or official case record.	May cite only as a source-surface/accounting lead, not as evidence of an AI incident or reviewed-core case.	Do not infer incident truth, legality, safety, compliance failure, deployment proof, prevalence, guilt, or ranking from this surface.	Closed as noncase source surface: Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event. Exact URL/source metadata describes a register, catalogue, guidance, portal, organization, or policy surface rather than a bounded case-level record.	Locate a specific public primary record with concrete event/action/vulnerability/finding and bounded facts.	Only reconsider after a case-level public record exists and reviewed-core hardening supports an obscure-AI claim.	No promotion; retain as closed source-surface accounting unless a specific case record is later extracted.
https://cnil.fr/fr/ia-la-cnil-publie-ses-premieres-recommandations-sur-le-developpement-des-systemes-dintelligence	closed_noncase_source_surface	https://cnil.fr/fr/ia-la-cnil-publie-ses-premieres-recommandations-sur-le-developpement-des-systemes-dintelligence	cnil.fr	cnil.fr		not_applicable_noncase	source_surface_accounting; algorithm_register_or_catalog_surface; guidance_or_policy_surface		France	The cited URL is a AI development recommendations/guidance page; the supplied metadata and exact-URL check do not isolate a concrete AI edge-case event, finding, vulnerability, enforcement action, or official case record.	May cite only as a source-surface/accounting lead, not as evidence of an AI incident or reviewed-core case.	Do not infer incident truth, legality, safety, compliance failure, deployment proof, prevalence, guilt, or ranking from this surface.	Closed as noncase source surface: Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event. Exact URL/source metadata describes a register, catalogue, guidance, portal, organization, or policy surface rather than a bounded case-level record.	Locate a specific public primary record with concrete event/action/vulnerability/finding and bounded facts.	Only reconsider after a case-level public record exists and reviewed-core hardening supports an obscure-AI claim.	No promotion; retain as closed source-surface accounting unless a specific case record is later extracted.
https://dane.gov.pl/pl	closed_noncase_source_surface	https://dane.gov.pl/pl	Otwarte Dane	dane.gov.pl		not_applicable_noncase	source_surface_accounting; algorithm_register_or_catalog_surface		Poland	The cited URL is a open data portal landing page; the supplied metadata and exact-URL check do not isolate a concrete AI edge-case event, finding, vulnerability, enforcement action, or official case record.	May cite only as a source-surface/accounting lead, not as evidence of an AI incident or reviewed-core case.	Do not infer incident truth, legality, safety, compliance failure, deployment proof, prevalence, guilt, or ranking from this surface.	Closed as noncase source surface: Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event. Exact URL/source metadata describes a register, catalogue, guidance, portal, organization, or policy surface rather than a bounded case-level record.	Locate a specific public primary record with concrete event/action/vulnerability/finding and bounded facts.	Only reconsider after a case-level public record exists and reviewed-core hardening supports an obscure-AI claim.	No promotion; retain as closed source-surface accounting unless a specific case record is later extracted.
https://data.gouv.fr/datasets/algorithmes-de-la-ville-de-paris	closed_noncase_source_surface	https://www.data.gouv.fr/datasets/algorithmes-de-la-ville-de-paris	data.gouv.fr	data.gouv.fr		not_applicable_noncase	source_surface_accounting; algorithm_register_or_catalog_surface		France	The cited URL is a algorithm-inventory dataset page; the supplied metadata and exact-URL check do not isolate a concrete AI edge-case event, finding, vulnerability, enforcement action, or official case record.	May cite only as a source-surface/accounting lead, not as evidence of an AI incident or reviewed-core case.	Do not infer incident truth, legality, safety, compliance failure, deployment proof, prevalence, guilt, or ranking from this surface.	Closed as noncase source surface: Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event. Exact URL/source metadata describes a register, catalogue, guidance, portal, organization, or policy surface rather than a bounded case-level record.	Locate a specific public primary record with concrete event/action/vulnerability/finding and bounded facts.	Only reconsider after a case-level public record exists and reviewed-core hardening supports an obscure-AI claim.	No promotion; retain as closed source-surface accounting unless a specific case record is later extracted.
https://data.gouv.fr/datasets/inventaire-des-algorithmes-publics-de-lodap	closed_noncase_source_surface	https://www.data.gouv.fr/datasets/inventaire-des-algorithmes-publics-de-lodap	data.gouv.fr / Observatoire des Algorithmes Publics	data.gouv.fr		not_applicable_noncase	source_surface_accounting; algorithm_register_or_catalog_surface		France	The cited URL is a algorithm-inventory dataset page; the supplied metadata and exact-URL check do not isolate a concrete AI edge-case event, finding, vulnerability, enforcement action, or official case record.	May cite only as a source-surface/accounting lead, not as evidence of an AI incident or reviewed-core case.	Do not infer incident truth, legality, safety, compliance failure, deployment proof, prevalence, guilt, or ranking from this surface.	Closed as noncase source surface: Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event. Exact URL/source metadata describes a register, catalogue, guidance, portal, organization, or policy surface rather than a bounded case-level record.	Locate a specific public primary record with concrete event/action/vulnerability/finding and bounded facts.	Only reconsider after a case-level public record exists and reviewed-core hardening supports an obscure-AI claim.	No promotion; retain as closed source-surface accounting unless a specific case record is later extracted.
https://data.gouv.fr/datasets/liste-des-administrateurs-ministeriels-des-donnees-des-algorithmes-et-des-codes-sources	closed_noncase_source_surface	https://www.data.gouv.fr/datasets/liste-des-administrateurs-ministeriels-des-donnees-des-algorithmes-et-des-codes-sources	Liste des administrateurs ministériels des données des algorithmes et des codes sources — Direction interministérielle du numérique	data.gouv.fr		not_applicable_noncase	source_surface_accounting; algorithm_register_or_catalog_surface		France	The cited URL is a algorithm-inventory dataset page; the supplied metadata and exact-URL check do not isolate a concrete AI edge-case event, finding, vulnerability, enforcement action, or official case record.	May cite only as a source-surface/accounting lead, not as evidence of an AI incident or reviewed-core case.	Do not infer incident truth, legality, safety, compliance failure, deployment proof, prevalence, guilt, or ranking from this surface.	Closed as noncase source surface: Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event. Exact URL/source metadata describes a register, catalogue, guidance, portal, organization, or policy surface rather than a bounded case-level record.	Locate a specific public primary record with concrete event/action/vulnerability/finding and bounded facts.	Only reconsider after a case-level public record exists and reviewed-core hardening supports an obscure-AI claim.	No promotion; retain as closed source-surface accounting unless a specific case record is later extracted.
https://data.gouv.fr/organizations/terres-australes-et-antarctiques-francaises	closed_noncase_source_surface	https://www.data.gouv.fr/organizations/terres-australes-et-antarctiques-francaises	Organisation - Terres australes et antarctiques françaises	data.gouv.fr		not_applicable_noncase	source_surface_accounting; algorithm_register_or_catalog_surface		France	The cited URL is a data publisher organization page; the supplied metadata and exact-URL check do not isolate a concrete AI edge-case event, finding, vulnerability, enforcement action, or official case record.	May cite only as a source-surface/accounting lead, not as evidence of an AI incident or reviewed-core case.	Do not infer incident truth, legality, safety, compliance failure, deployment proof, prevalence, guilt, or ranking from this surface.	Closed as noncase source surface: Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event. Exact URL/source metadata describes a register, catalogue, guidance, portal, organization, or policy surface rather than a bounded case-level record.	Locate a specific public primary record with concrete event/action/vulnerability/finding and bounded facts.	Only reconsider after a case-level public record exists and reviewed-core hardening supports an obscure-AI claim.	No promotion; retain as closed source-surface accounting unless a specific case record is later extracted.
https://data.gov.bn/Pages/About.aspx	closed_noncase_source_surface	https://www.data.gov.bn/Pages/About.aspx	Data.gov.bn About	data.gov.bn		not_applicable_noncase	source_surface_accounting; algorithm_register_or_catalog_surface		Brunei	The cited URL is a open data portal about page; the supplied metadata and exact-URL check do not isolate a concrete AI edge-case event, finding, vulnerability, enforcement action, or official case record.	May cite only as a source-surface/accounting lead, not as evidence of an AI incident or reviewed-core case.	Do not infer incident truth, legality, safety, compliance failure, deployment proof, prevalence, guilt, or ranking from this surface.	Closed as noncase source surface: Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event. Exact URL/source metadata describes a register, catalogue, guidance, portal, organization, or policy surface rather than a bounded case-level record.	Locate a specific public primary record with concrete event/action/vulnerability/finding and bounded facts.	Only reconsider after a case-level public record exists and reviewed-core hardening supports an obscure-AI claim.	No promotion; retain as closed source-surface accounting unless a specific case record is later extracted.
https://data.gov.lt	closed_noncase_source_surface	https://data.gov.lt/	Public algorithm register negative check	data.gov.lt		not_applicable_noncase	source_surface_accounting		Lithuania	The cited URL is a open data portal landing page; the supplied metadata and exact-URL check do not isolate a concrete AI edge-case event, finding, vulnerability, enforcement action, or official case record.	May cite only as a source-surface/accounting lead, not as evidence of an AI incident or reviewed-core case.	Do not infer incident truth, legality, safety, compliance failure, deployment proof, prevalence, guilt, or ranking from this surface.	Closed as noncase source surface: Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event. Exact URL/source metadata describes a register, catalogue, guidance, portal, organization, or policy surface rather than a bounded case-level record.	Locate a specific public primary record with concrete event/action/vulnerability/finding and bounded facts.	Only reconsider after a case-level public record exists and reviewed-core hardening supports an obscure-AI claim.	No promotion; retain as closed source-surface accounting unless a specific case record is later extracted.
