queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02042	LIMEN-SIGNAL-2457AD5D0CF3E66B	country_gap_no_parent_source		Eritrea (ER) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:118	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02043	LIMEN-SIGNAL-2566A698ABD9DF72	country_gap_no_parent_source		Panama (PA) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:175	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02044	LIMEN-SIGNAL-259A92ADA3601CD4	country_gap_no_parent_source		New Zealand (NZ) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:150	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02045	LIMEN-SIGNAL-25DC4C18DBFB25F3	country_gap_no_parent_source		Azerbaijan (AZ) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:180	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02046	LIMEN-SIGNAL-266B7B33F6945D66	country_gap_no_parent_source		Northern Mariana Islands (MP) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:102	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02047	LIMEN-SIGNAL-267C30783309B985	country_gap_no_parent_source		Poland (PL) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:151	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02048	LIMEN-SIGNAL-269E6E4F2F957027	country_gap_no_parent_source		Belgium (BE) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:164	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02049	LIMEN-SIGNAL-2793D2F24F923BCB	country_gap_no_parent_source		Andorra (AD) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:178	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02050	LIMEN-SIGNAL-27F52BB00B0253CE	country_gap_no_parent_source		Azerbaijan (AZ) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:180	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02051	LIMEN-SIGNAL-28274B07D9A972D6	parent_source_wrapper		Saint Martin I05 source-refresh negative-evidence candidates	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv:1492; /srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4613-4614	Second-pass row points to two local negative-evidence parent surfaces; no single parent source should be chosen automatically.	Processing-state only; no algorithm-register absence finding beyond source-resolution wrapper.	Human choose whether sitemap or data.gouv.fr organization is the parent surface, or split into separate reviews.
BPSE-02052	LIMEN-SIGNAL-285FD5B3BFA94CC7	country_gap_no_parent_source		Paraguay (PY) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:166	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02053	LIMEN-SIGNAL-28DD234F33B1161B	country_gap_no_parent_source		Turkey (TR) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:162	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02054	LIMEN-SIGNAL-28E100AF3439C2A9	country_gap_no_parent_source		Cocos (Keeling) Islands (CC) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:92	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02055	LIMEN-SIGNAL-28FABC46D4F562F0	country_gap_no_parent_source		Italy (IT) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:149	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02056	LIMEN-SIGNAL-2975B913D94DD8E2	country_gap_no_parent_source		New Zealand (NZ) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:150	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
BPSE-02057	LIMEN-SIGNAL-299FA8D4F511A83E	country_gap_no_parent_source		Heard Island and McDonald Islands (HM) observability query pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:96	Local row is a country/query pack of desired searches only; no concrete parent URL is present.	May claim only that source extraction is unresolved for this country/query placeholder.	Resolve one concrete official/institutional source or keep as gap record.
