signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-D5948F42171F673D	merge_existing_surface	existing_registry_row	row is an accession record from an already-modeled local registry surface (Algorithm Register of the Dutch government); deduplicate rather than promote another source surface	existing registry surface posture only; individual-row facts need separate evidence if used	merge under existing local registry/dashboard surface and retain row provenance	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-D670CE04B819CDD4	negative_evidence_candidate	source_pack_negative_or_weak	source-pack row records an official-search negative, gap, or weak proxy rather than a promotable direct source	negative/weak source-surface evidence only; no absence or maturity claim	keep as negative evidence or extract a stronger named source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-D6E950759AAA6EAD	negative_evidence_candidate	second_pass_negative_or_scope_limit	second-pass row records negative evidence or scope limits, not a direct promotable source surface	negative/scope-limit evidence only; no absence, compliance, or maturity claim	retain as queue-hardening negative evidence or extract named source if present	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-D744B958B40677CD	merge_existing_surface	existing_registry_row	row is an accession record from an already-modeled local registry surface (Algorithm Register of the Dutch government); deduplicate rather than promote another source surface	existing registry surface posture only; individual-row facts need separate evidence if used	merge under existing local registry/dashboard surface and retain row provenance	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-D8257003DFE79E2C	negative_evidence_candidate	second_pass_negative_or_scope_limit	second-pass row records negative evidence or scope limits, not a direct promotable source surface	negative/scope-limit evidence only; no absence, compliance, or maturity claim	retain as queue-hardening negative evidence or extract named source if present	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-D98C390B49D05306	needs_named_source_extraction	country_profile_label	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-D9E6ACA1716DAB4E	negative_evidence_candidate	source_pack_negative_or_weak	source-pack row records an official-search negative, gap, or weak proxy rather than a promotable direct source	negative/weak source-surface evidence only; no absence or maturity claim	keep as negative evidence or extract a stronger named source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-DA9B0ABB99C52ACD	negative_evidence_candidate	second_pass_negative_or_scope_limit	second-pass row records negative evidence or scope limits, not a direct promotable source surface	negative/scope-limit evidence only; no absence, compliance, or maturity claim	retain as queue-hardening negative evidence or extract named source if present	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-DAE35FD0A49E4415	merge_existing_surface	existing_registry_row	row is an accession record from an already-modeled local registry surface (Government of Canada AI Register); deduplicate rather than promote another source surface	existing registry surface posture only; individual-row facts need separate evidence if used	merge under existing local registry/dashboard surface and retain row provenance	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-DB386E3C29C55E01	merge_existing_surface	existing_registry_row	row is an accession record from an already-modeled local registry surface (Government of Canada AI Register); deduplicate rather than promote another source surface	existing registry surface posture only; individual-row facts need separate evidence if used	merge under existing local registry/dashboard surface and retain row provenance	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-DB616FE44E7D2037	reject_noise	derived_atlas_record	global-agent-atlas backup record is a derived internal artifact, not a direct reviewable source surface	no source-surface claim from this derived record	remove from direct-source queue unless a named primary vendor/institutional source is extracted	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-161-20260603T161/records.jsonl
LIMEN-SIGNAL-DCDE19F66EDA4E54	merge_existing_surface	existing_registry_row	row is an accession record from an already-modeled local registry surface (Algorithm Register of the Dutch government); deduplicate rather than promote another source surface	existing registry surface posture only; individual-row facts need separate evidence if used	merge under existing local registry/dashboard surface and retain row provenance	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-DFB4FD88978D2203	source_reviewed_candidate	named_official_or_sectoral_surface	local row names a concrete official/sectoral inventory, sandbox, testbed, or transparency surface for bounded source review	source-surface posture only; scope may be sectoral/federal/reactive, not comprehensive	promote named surface with scope caveat and provenance	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv
LIMEN-SIGNAL-E04F67460F09F19B	merge_existing_surface	existing_registry_row	row is an accession record from an already-modeled local registry surface (Government of Canada AI Register); deduplicate rather than promote another source surface	existing registry surface posture only; individual-row facts need separate evidence if used	merge under existing local registry/dashboard surface and retain row provenance	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-E0D8528EE424148F	needs_named_source_extraction	country_profile_label	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-E0F077EC13BA41F1	negative_evidence_candidate	second_pass_negative_or_scope_limit	second-pass row records negative evidence or scope limits, not a direct promotable source surface	negative/scope-limit evidence only; no absence, compliance, or maturity claim	retain as queue-hardening negative evidence or extract named source if present	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-E1425B20FC4C4BB4	needs_named_source_extraction	research_queue_wrapper	observability research queue row lists country/topic search prompts rather than a named reviewable source surface	no direct-source claim until named source is extracted	extract the smallest named official/vendor/regulator source or downgrade as gap evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-E2B892D63F175943	translation_review_needed	translation_sensitive_surface	local metadata points to a plausible direct source area but review depends on non-English or translation-sensitive evidence	translation-safe source-surface posture only; no legal/policy conclusion from machine translation	route to translation-aware source extraction/review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-E2B8BD0B6713138B	negative_evidence_candidate	source_pack_negative_or_weak	source-pack row records an official-search negative, gap, or weak proxy rather than a promotable direct source	negative/weak source-surface evidence only; no absence or maturity claim	keep as negative evidence or extract a stronger named source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-E2E025450A603B1D	negative_evidence_candidate	second_pass_negative_or_scope_limit	second-pass row records negative evidence or scope limits, not a direct promotable source surface	negative/scope-limit evidence only; no absence, compliance, or maturity claim	retain as queue-hardening negative evidence or extract named source if present	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
