queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00257	LIMEN-SIGNAL-BA609EB9C8AF9FE9	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Algorithm Register of the Dutch government	Derived public-ai-registry row uses English auto-translation from Dutch; deduplicate upstream.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to public-ai-registry translation/source review; do not promote as LIMEN-reviewed.
BTR-00258	LIMEN-SIGNAL-BAD7D3A4BBB6F1DF	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/pv31/27383155/govchatnllaica	GovChat-NL/LAICA	GAIA fact is derived metadata pointing to a Dutch Algorithm Register record, not a fresh LIMEN source review.	translation-safe source-surface review only; no legality, compliance, or deployment finding	Route upstream to GAIA/public-ai-registry source extraction and deduplication.
BTR-00259	LIMEN-SIGNAL-BAE210515BEB0F2C	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/37694526	Algorithm Register of the Dutch government	Public-ai-registry accession metadata names Dutch register detail page; treat as upstream duplicate.	source-surface existence only; no case-level or policy conclusion	Deduplicate with public-ai-registry accession review before any LIMEN use.
BTR-00260	LIMEN-SIGNAL-BAE87FF587FD9C87	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/68912459	Algorithm Register of the Dutch government	Public-ai-registry deployed accession row names in-use Dutch register record; upstream duplicate.	source-surface existence only; no legal, safety, or compliance conclusion	Deduplicate with public-ai-registry deployed-record review before any LIMEN use.
BTR-00261	LIMEN-SIGNAL-BB442E9EC5B80325	source_surface_only_no_case	Polish	https://monitorpolski.gov.pl/M2021000002301.pdf	Polityka dla rozwoju sztucznej inteligencji w Polsce od roku 2020	Official Polish policy surface supports public-sector AI/procurement context but no concrete edge-case claim in local row.	source-surface/context only; no enacted procurement-control or compliance finding	Keep as context or obtain original-language review for a specific extracted claim.
BTR-00262	LIMEN-SIGNAL-BC09D7A0CBA9B81A	source_surface_only_no_case	Swedish	https://www.regeringen.se/artiklar/2025/10/myndigheters-ai-anvandning-okar/	Myndigheters AI-användning ökar	Official Swedish article surface reports agency AI-use examples; local row says it is not a national algorithm register.	source-surface/context only; no register, prevalence, legality, or compliance finding	Use only as context unless exact Swedish claims are extracted and reviewed.
BTR-00263	LIMEN-SIGNAL-BC294441C4458369	translation_source_reviewed	en	https://moitt.gov.pk/SiteImage/Misc/files/National%20AI%20Policy.pdf	Pakistan National Artificial Intelligence Policy PDF	Local Atlas record names official PDF URL/title/language but fetch failed; source-surface only.	translation-safe source review only; no legal or policy conclusion from machine translation	Retry capture or extract only if a concrete bounded claim is needed.
BTR-00264	LIMEN-SIGNAL-BC53F1F3349083F9	source_surface_only_no_case	Swedish	https://www.regeringen.se/artiklar/2025/10/myndigheters-ai-anvandning-okar/	Myndigheters AI-användning ökar	Duplicate Pallas sprint source-pack row for Swedish agency AI-use article; not a national algorithm register.	source-surface/context only; no register, prevalence, legality, or compliance finding	Deduplicate with Pallas source-pack row; extract exact Swedish claims only if needed.
BTR-00265	LIMEN-SIGNAL-BD82FAB67539D2EB	source_surface_only_no_case	Dutch	https://www.digitaleoverheid.nl/overzicht-van-alle-onderwerpen/artificiele-intelligentie-ai/ai-verordening/	AI-verordening AI (Artificiële Intelligentie)	Official Dutch guidance mentions sandbox timing; local row does not verify an operational Dutch AI sandbox.	source-surface/context only; no operational sandbox or compliance finding	Keep as context pending original-language sandbox-specific source extraction.
BTR-00266	LIMEN-SIGNAL-BDFF42F9CC0FAE14	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/65162646	Algorithm Register of the Dutch government	Public-ai-registry accession metadata names Dutch register detail page; treat as upstream duplicate.	source-surface existence only; no case-level or policy conclusion	Deduplicate with public-ai-registry accession review before any LIMEN use.
