document_anchor_rank_now	category_code	category_label	review_priority	sample_case_review_count_now	sampled_rows_with_direct_document_anchor_now	sampled_rows_summary_or_authority_only_now	sampled_rows_without_direct_document_anchor_now	document_anchor_state_now	framework_anchor_profile_now	claim_ceiling_bucket_now	document_anchor_case_refs_now	document_anchor_source_refs_now	document_anchor_kinds_now	document_anchor_jurisdictions_now	document_anchor_languages_now	strongest_safe_reading_now	still_impossible_to_conclude_now	next_threshold_document_gap_now	anchor_examples_now	observatory_hook
1	ai_washing_or_false_ai_claim	AI washing or false AI claim	Medium	4	4	0	0	all_sampled_rows_have_direct_document_anchors			data/cases/authoritative-candidates.jsonl:LIMEN-000005; data/cases/authoritative-candidates.jsonl:LIMEN-000006; data/cases/authoritative-candidates.jsonl:LIMEN-000010; data/cases/authoritative-candidates.jsonl:LIMEN-000011	https://www.justice.gov/usao-sdny/pr/tech-ceo-charged-artificial-intelligence-investment-fraud-scheme; https://www.justice.gov/usao-sdny/media/1396131/dl?inline; https://www.sec.gov/newsroom/press-releases/2024-36; https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/2323042_donotpay_complaint.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/2323042_donotpay_decision_and_order_0.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/ContentatScaleAI-Complaint.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/ContentatScaleAI-DecisionandOrder.pdf	federal prosecutor press release; DOJ-linked indictment PDF; federal regulator settlement press release; SEC administrative order; FTC administrative complaint; FTC final decision and order	United States	en	At least one sampled row already has direct public legal or official document text that can support narrow procedural/posture claims.	Public contradiction between claim and reality may still be insufficient for final legal characterization		data/cases/authoritative-candidates.jsonl:LIMEN-000005 -> indictment_pdf_captured; data/cases/authoritative-candidates.jsonl:LIMEN-000006 -> administrative_order_pdf_text_present; data/cases/authoritative-candidates.jsonl:LIMEN-000010 -> complaint_pdf_text_present|final_order_pdf_text_present; data/cases/authoritative-candidates.jsonl:LIMEN-000011 -> complaint_pdf_text_present|final_order_pdf_text_present	
2	surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	4	3	1	0	mixed_direct_document_and_gap_state			data/cases/authoritative-candidates.jsonl:LIMEN-000003; data/cases/authoritative-candidates.jsonl:LIMEN-000004; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004; data/cases/authoritative-candidates.jsonl:LIMEN-000015	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/02/ico-orders-serco-leisure-to-stop-using-facial-recognition-technology/; https://ico.org.uk/action-weve-taken/enforcement/2024/02/serco-leisure-operating-limited-and-relevant-associated-trusts/; https://ico.org.uk/media2/woalogoc/20240219-serco-leisure-operating-limited-en.pdf; https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/07/essex-school-reprimanded-after-using-facial-recognition-technology-for-canteen-payments/; https://ico.org.uk/action-weve-taken/enforcement/2024/07/chelmer-valley-high-school/; https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf; https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-4?tmpl=component&print=1; https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-3?tmpl=component&print=1; https://www.cnil.fr/fr/reconnaissance-faciale-et-interdiction-commerciale-de-stade-la-cnil-adresse-un-avertissement-un-club	data protection authority enforcement news page; ICO enforcement-action record; ICO enforcement notice PDF; data protection authority reprimand news page; ICO enforcement-action record; ICO reprimand PDF; official police project page; same-family official police companion page; data protection authority warning page	France; United Kingdom; Slovenia	en; fr; sl	At least one sampled row already has direct public legal or official document text that can support narrow procedural/posture claims, and one additional sampled row now contributes a bounded regulator warning-page legality sidecar.	Very difficult to reach final legal conclusions without authoritative legal text, official notice, or court/regulator record, and the CNIL warning page should not be treated as deployment proof or sanction-depth equivalence.	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document that narrows ORION deployment/proportionality posture and the CNIL warning-page legality posture beyond the current police-plus-CORDIS-plus-partner and warning-page state	data/cases/authoritative-candidates.jsonl:LIMEN-000003 -> notice_pdf_text_present; data/cases/authoritative-candidates.jsonl:LIMEN-000004 -> reprimand_pdf_text_present; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004 -> official_police_project_page_text_present; data/cases/authoritative-candidates.jsonl:LIMEN-000015 -> regulator_warning_page_text_present	
3	normative_or_moral_outlier	Normative or moral outlier	Medium	4	3	0	1	mixed_direct_document_and_gap_state			data/cases/authoritative-candidates.jsonl:LIMEN-000001; data/cases/authoritative-candidates.jsonl:LIMEN-000004; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832; https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/07/essex-school-reprimanded-after-using-facial-recognition-technology-for-canteen-payments/; https://ico.org.uk/action-weve-taken/enforcement/2024/07/chelmer-valley-high-school/; https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf; https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-4?tmpl=component&print=1; https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-3?tmpl=component&print=1	data protection authority order; data protection authority reprimand news page; ICO enforcement-action record; ICO reprimand PDF; official police project page; same-family official police companion page	Italy; United Kingdom; Slovenia	it; en; sl	At least one sampled row already has direct public legal or official document text that can support narrow procedural/posture claims.	Legal conclusion is usually impossible without additional authority; queue for human interpretation rather than automated scoring		data/cases/authoritative-candidates.jsonl:LIMEN-000001 -> document_text_on_regulator_site; data/cases/authoritative-candidates.jsonl:LIMEN-000004 -> reprimand_pdf_text_present; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004 -> official_police_project_page_text_present	
4	public_sector_misuse_or_gap	Public-sector misuse or evidence gap		4	3	1	0	mixed_direct_document_and_gap_state			data/cases/authoritative-candidates.jsonl:LIMEN-000003; data/cases/authoritative-candidates.jsonl:LIMEN-000004; data/cases/authoritative-candidates.jsonl:LIMEN-000008	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/02/ico-orders-serco-leisure-to-stop-using-facial-recognition-technology/; https://ico.org.uk/action-weve-taken/enforcement/2024/02/serco-leisure-operating-limited-and-relevant-associated-trusts/; https://ico.org.uk/media2/woalogoc/20240219-serco-leisure-operating-limited-en.pdf; https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/07/essex-school-reprimanded-after-using-facial-recognition-technology-for-canteen-payments/; https://ico.org.uk/action-weve-taken/enforcement/2024/07/chelmer-valley-high-school/; https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf; https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt; https://docs.fcc.gov/public/attachments/DA-24-790A1.txt; https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	data protection authority enforcement news page; ICO enforcement-action record; ICO enforcement notice PDF; data protection authority reprimand news page; ICO enforcement-action record; ICO reprimand PDF; FCC notice of apparent liability; FCC consent-decree order; FCC media release	United Kingdom; United States	en	At least one sampled row already has direct public legal or official document text that can support narrow procedural/posture claims.			data/cases/authoritative-candidates.jsonl:LIMEN-000003 -> notice_pdf_text_present; data/cases/authoritative-candidates.jsonl:LIMEN-000004 -> reprimand_pdf_text_present; data/cases/authoritative-candidates.jsonl:LIMEN-000008 -> agency_release_summary|allegation_stage_document_text_present|consent_decree_order_text_present	
5	education_workplace_or_hr	Education, workplace, or HR	High	4	2	2	0	mixed_direct_document_and_gap_state			data/cases/authoritative-candidates.jsonl:LIMEN-000003; data/cases/authoritative-candidates.jsonl:LIMEN-000011	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/02/ico-orders-serco-leisure-to-stop-using-facial-recognition-technology/; https://ico.org.uk/action-weve-taken/enforcement/2024/02/serco-leisure-operating-limited-and-relevant-associated-trusts/; https://ico.org.uk/media2/woalogoc/20240219-serco-leisure-operating-limited-en.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/ContentatScaleAI-Complaint.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/ContentatScaleAI-DecisionandOrder.pdf	data protection authority enforcement news page; ICO enforcement-action record; ICO enforcement notice PDF; FTC administrative complaint; FTC final decision and order	United Kingdom; United States	en	At least one sampled row already has direct public legal or official document text that can support narrow procedural/posture claims.	Public reporting usually lacks sufficient data on model function, decision authority, and comparator treatment		data/cases/authoritative-candidates.jsonl:LIMEN-000003 -> notice_pdf_text_present; data/cases/authoritative-candidates.jsonl:LIMEN-000011 -> complaint_pdf_text_present|final_order_pdf_text_present	
6	legal_procedural_contamination	Legal/procedural contamination	High	3	2	0	1	mixed_direct_document_and_gap_state			data/cases/authoritative-candidates.jsonl:LIMEN-000001; data/cases/authoritative-candidates.jsonl:LIMEN-000010	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832; https://www.ftc.gov/system/files/ftc_gov/pdf/2323042_donotpay_complaint.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/2323042_donotpay_decision_and_order_0.pdf	data protection authority order; FTC administrative complaint; FTC final decision and order	Italy; United States	it; en	At least one sampled row already has direct public legal or official document text that can support narrow procedural/posture claims.	Public examples rarely show whether contamination came from user misuse, vendor design, or institutional process failure		data/cases/authoritative-candidates.jsonl:LIMEN-000001 -> document_text_on_regulator_site; data/cases/authoritative-candidates.jsonl:LIMEN-000010 -> complaint_pdf_text_present|final_order_pdf_text_present	
7	unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	4	2	1	1	mixed_direct_document_and_gap_state			data/cases/authoritative-candidates.jsonl:LIMEN-000005; data/cases/authoritative-candidates.jsonl:LIMEN-000008	https://www.justice.gov/usao-sdny/pr/tech-ceo-charged-artificial-intelligence-investment-fraud-scheme; https://www.justice.gov/usao-sdny/media/1396131/dl?inline; https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt; https://docs.fcc.gov/public/attachments/DA-24-790A1.txt; https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	federal prosecutor press release; DOJ-linked indictment PDF; FCC notice of apparent liability; FCC consent-decree order; FCC media release	United States	en	At least one sampled row already has direct public legal or official document text that can support narrow procedural/posture claims.	Impossible to conclude illegality or AI Act breach from media allegations alone		data/cases/authoritative-candidates.jsonl:LIMEN-000005 -> indictment_pdf_captured; data/cases/authoritative-candidates.jsonl:LIMEN-000008 -> agency_release_summary|allegation_stage_document_text_present|consent_decree_order_text_present	
8	finance_insurance_or_market	Finance, insurance, or market	Medium	2	2	0	0	all_sampled_rows_have_direct_document_anchors			data/cases/authoritative-candidates.jsonl:LIMEN-000006; data/cases/authoritative-candidates.jsonl:LIMEN-000007	https://www.sec.gov/newsroom/press-releases/2024-36; https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf; https://www.sec.gov/newsroom/press-releases/2024-36; https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	federal regulator settlement press release; SEC administrative order	United States	en	At least one sampled row already has direct public legal or official document text that can support narrow procedural/posture claims.	Cannot infer regulatory breach, discriminatory effect, or regulated-system scope from anecdotal market stories alone		data/cases/authoritative-candidates.jsonl:LIMEN-000006 -> administrative_order_pdf_text_present; data/cases/authoritative-candidates.jsonl:LIMEN-000007 -> administrative_order_pdf_text_present	Sectoral harm matrix across finance/insurance/market records
9	deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	2	1	0	1	mixed_direct_document_and_gap_state			data/cases/authoritative-candidates.jsonl:LIMEN-000008	https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt; https://docs.fcc.gov/public/attachments/DA-24-790A1.txt; https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	FCC notice of apparent liability; FCC consent-decree order; FCC media release	United States	en	At least one sampled row already has direct public legal or official document text that can support narrow procedural/posture claims.	Legal characterization often depends on context, intent, target, and applicable speech/privacy/fraud law beyond public evidence		data/cases/authoritative-candidates.jsonl:LIMEN-000008 -> agency_release_summary|allegation_stage_document_text_present|consent_decree_order_text_present	Synthetic-identity topology linking media, provenance evidence, and harm types
10	agentic_control_failure	Agentic control failure	High	4	0	4	0	no_direct_document_anchor_visible			none	none	none	none	none	Current sampled rows do not yet provide direct public legal or official document text in the legal package.	Cannot infer non-compliance or defective oversight solely from anecdotal demonstrations		none	Agentic-control matrix linking case type to ov... [truncated]
