source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://digital.gov.pt/pt/inteligencia-artificial/ia-responsavel	closed_noncase_source_surface	https://digital.gov.pt/pt/inteligencia-artificial/ia-responsavel	Digital.gov.pt / ARTE / AMA — IA Responsável	digital.gov.pt	Portuguese IA Responsável guidance/transparency surface	official guidance / register-accounting surface	AI governance; transparency	not extracted	Portugal	The URL identifies a Portuguese IA Responsável guidance/transparency page, not a concrete edge-case event or finding.	Source-surface classification only; no incident truth, legal, safety, compliance, deployment, prevalence, or ranking claim.	Do not treat this surface as proof of harm, violation, safety issue, compliance failure, deployment, prevalence, culpability, or ranking.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific event/action/vulnerability/finding from this or another precise source before reviewed-core consideration.	Not ObscureAI material unless later converted into a bounded case-level record with public evidence.	Close for extraction accounting; no promotion.
https://digital.gov.vu	closed_noncase_source_surface	https://digital.gov.vu/	Government and DCDT portal keyword scan for algorithm register	digital.gov.vu	Vanuatu government portal negative-check surface	government portal source surface	AI governance; register negative check	not extracted	Vanuatu	The URL is a government portal/source-family check; local metadata records no concrete algorithm-register event or edge-case finding.	Source-surface classification only; no incident truth, legal, safety, compliance, deployment, prevalence, or ranking claim.	Do not treat this surface as proof of harm, violation, safety issue, compliance failure, deployment, prevalence, culpability, or ranking.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific event/action/vulnerability/finding from this or another precise source before reviewed-core consideration.	Not ObscureAI material unless later converted into a bounded case-level record with public evidence.	Close for extraction accounting; no promotion.
https://digital.nsw.gov.au/policy/artificial-intelligence/ai-assessment-register	closed_noncase_source_surface	https://www.digital.nsw.gov.au/policy/artificial-intelligence/ai-assessment-register	AI assessment register	digital.nsw.gov.au	NSW AI assessment register surface	register/accounting surface	AI register; public-sector AI	not extracted	New South Wales, Australia	The cluster points to an AI assessment register surface; it does not itself state a concrete harm, authority finding, or edge-case event.	Source-surface classification only; no incident truth, legal, safety, compliance, deployment, prevalence, or ranking claim.	Do not treat this surface as proof of harm, violation, safety issue, compliance failure, deployment, prevalence, culpability, or ranking.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific event/action/vulnerability/finding from this or another precise source before reviewed-core consideration.	Not ObscureAI material unless later converted into a bounded case-level record with public evidence.	Close for extraction accounting; no promotion.
https://digital.nsw.gov.au/policy/artificial-intelligence/ai-governance-assurance-and-frameworks/nsw-ai-assessment-framework	closed_noncase_source_surface	https://www.digital.nsw.gov.au/policy/artificial-intelligence/ai-governance-assurance-and-frameworks/nsw-ai-assessment-framework	NSW AI Assessment Framework	digital.nsw.gov.au	NSW AI Assessment Framework guidance	official framework/guidance	AI governance; assessment framework	not extracted	New South Wales, Australia	The URL identifies an official AI assessment framework, not a bounded case-level event or finding.	Source-surface classification only; no incident truth, legal, safety, compliance, deployment, prevalence, or ranking claim.	Do not treat this surface as proof of harm, violation, safety issue, compliance failure, deployment, prevalence, culpability, or ranking.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific event/action/vulnerability/finding from this or another precise source before reviewed-core consideration.	Not ObscureAI material unless later converted into a bounded case-level record with public evidence.	Close for extraction accounting; no promotion.
https://digitalidentity.gov.au	closed_noncase_source_surface	https://www.digitalidentity.gov.au/	digitalidentity.gov.au	digitalidentity.gov.au	Australian digital identity portal surface	government portal source surface	digital identity; AI register query	not extracted	Australia	The cluster points to a digital identity portal/source surface and does not expose a concrete AI edge-case record.	Source-surface classification only; no incident truth, legal, safety, compliance, deployment, prevalence, or ranking claim.	Do not treat this surface as proof of harm, violation, safety issue, compliance failure, deployment, prevalence, culpability, or ranking.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific event/action/vulnerability/finding from this or another precise source before reviewed-core consideration.	Not ObscureAI material unless later converted into a bounded case-level record with public evidence.	Close for extraction accounting; no promotion.
https://digitalimik.gl/-/media/digitalimik/strategier/national-digitaliseringsstrategi-2024-28-da.pdf	closed_noncase_source_surface	https://digitalimik.gl/-/media/digitalimik/strategier/national-digitaliseringsstrategi-2024-28-da.pdf	National Digitalisation Strategy 2024-2028	digitalimik.gl	Greenland National Digitalisation Strategy 2024-2028	strategy/policy surface	digital strategy; AI governance	2024-2028	Greenland	The cluster points to a national digitalisation strategy context document, not a concrete edge-case event/finding.	Source-surface classification only; no incident truth, legal, safety, compliance, deployment, prevalence, or ranking claim.	Do not treat this surface as proof of harm, violation, safety issue, compliance failure, deployment, prevalence, culpability, or ranking.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific event/action/vulnerability/finding from this or another precise source before reviewed-core consideration.	Not ObscureAI material unless later converted into a bounded case-level record with public evidence.	Close for extraction accounting; no promotion.
https://digst.dk/kunstig-intelligens/guides-til-brug-af-kunstig-intelligens/guide-offentlige-myndigheder	closed_noncase_source_surface	https://digst.dk/kunstig-intelligens/guides-til-brug-af-kunstig-intelligens/guide-offentlige-myndigheder/	Guide til myndigheder	digst.dk	Danish guide for public authorities using AI	official guidance	public-sector AI guidance	not extracted	Denmark	The URL is official guidance for authorities; no concrete edge-case event or official finding is exposed.	Source-surface classification only; no incident truth, legal, safety, compliance, deployment, prevalence, or ranking claim.	Do not treat this surface as proof of harm, violation, safety issue, compliance failure, deployment, prevalence, culpability, or ranking.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific event/action/vulnerability/finding from this or another precise source before reviewed-core consideration.	Not ObscureAI material unless later converted into a bounded case-level record with public evidence.	Close for extraction accounting; no promotion.
https://docs.github.com/en/copilot/concepts/coding-agent/coding-agent	closed_noncase_source_surface	https://docs.github.com/en/copilot/concepts/coding-agent/coding-agent	docs.github.com	docs.github.com	GitHub Copilot coding agent documentation	vendor documentation	agentic coding; product docs	not extracted	not applicable	The URL is product documentation for a coding agent and does not describe a concrete adverse event, vulnerability disclosure, or official finding.	Source-surface classification only; no incident truth, legal, safety, compliance, deployment, prevalence, or ranking claim.	Do not treat this surface as proof of harm, violation, safety issue, compliance failure, deployment, prevalence, culpability, or ranking.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific event/action/vulnerability/finding from this or another precise source before reviewed-core consideration.	Not ObscureAI material unless later converted into a bounded case-level record with public evidence.	Close for extraction accounting; no promotion.
https://docs.mistral.ai/le-chat	closed_noncase_source_surface	https://docs.mistral.ai/le-chat	docs.mistral.ai	docs.mistral.ai	Mistral Le Chat documentation	vendor documentation	AI assistant; product docs	not extracted	not applicable	The URL is vendor documentation for an AI product, not a case-level edge event or finding.	Source-surface classification only; no incident truth, legal, safety, compliance, deployment, prevalence, or ranking claim.	Do not treat this surface as proof of harm, violation, safety issue, compliance failure, deployment, prevalence, culpability, or ranking.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific event/action/vulnerability/finding from this or another precise source before reviewed-core consideration.	Not ObscureAI material unless later converted into a bounded case-level record with public evidence.	Close for extraction accounting; no promotion.
https://docs.stripe.com/agents	closed_noncase_source_surface	https://docs.stripe.com/agents	docs.stripe.com	docs.stripe.com	Stripe agentic workflows documentation	vendor documentation	agentic workflows; product docs	not extracted	not applicable	The URL is vendor documentation for adding Stripe to agentic workflows, not a concrete case record.	Source-surface classification only; no incident truth, legal, safety, compliance, deployment, prevalence, or ranking claim.	Do not treat this surface as proof of harm, violation, safety issue, compliance failure, deployment, prevalence, culpability, or ranking.	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific event/action/vulnerability/finding from this or another precise source before reviewed-core consideration.	Not ObscureAI material unless later converted into a bounded case-level record with public evidence.	Close for extraction accounting; no promotion.
