signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-164263BEF990C8DC	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv	45	sha256:b10b6c0638435a5ebf669c568cdc77dd61b3a29d11f19950733c26ea964deb0a	"TT,Trinidad and Tobago,1,M,1,M,2,H,2,H,0,L,2,H,2,H,2,H,1,M,1,L,22,NO_AI_LAW;NO_AI_AUTHORITY;SANDBOX_SECTORAL_FINTECH;NO_ALGORITHM_REGISTER_FOUND;OPEN_DATA_PORTAL_MAINTENANCE;NO_AI_PROCUREMENT_RULE_FOUND;NO_AI_LIFECYCLE_EVIDENCE_REGIME_FOUND,""First-pass public"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-16446AD2DEAC5E81	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	58	sha256:4c8e3862355b9aae8945cf7ad96242f9b5177039e1785f0530ff8a11037b08fc	2,CD,DR Congo,I03,,1,L,0,M,,true,,Targeted public checks of BCC and ARPTC did not verify any regulatory sandbox/fintech sandbox/AI sandbox. Candidate downgrade is based on limited public static checks and needs human review.,score_and_confidence_change,ready_f	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-16459F8AE65DEEFB	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/deployed-gap-map-field-coding-template-v0.1.csv	78	sha256:3bddb6bf36a528600e6ae77edbc1506976ff5c198e2e68767955b37c50f52316	"PH1-077,SCOT-AI-REG,4,fixed_quota_first_n_by_record_candidate_id,ALL-SCOT-AI-REG-0001,SCOT-AI-REG,Scottish AI Register,Scotland,SCOT-26,""Updated 01.09.2025 Public Sector Decisions for Microsoft Teams Production Decisions is designed to help those making use of"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-165F36DBF4031FF5	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/data/nekropolis-v0.2/entries-v0.2.jsonl.summary.json	25	sha256:a039cbeca977757bb45ab7981ddb57c648668cc7043b870ac7d9159bdf45c4f2	Retraction Watch: 13502,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-1660B6D5614E4797	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-018/backup-negative-route-preprint-anchor-grid-v0.1.csv	2	sha256:0a3d12ebda8fc3e898bec40ad8d815cacc68b565ddae7b43712a4104ab48fd55	bnr-anchor-001,BH,Bahrain,PG-005,draft/preprint.md:99,pilot-table row / parliamentary-legal stress-case wording,Table 1 workflow-state row for Bahrain backup case,Keep Bahrain as a workflow-state stress case with explicit Arabic/English/French route split and	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-16631284A29F44EB	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json	2968	sha256:a9bd54d6ed93ba49905c6d243b13055b85a81213131ec4e0dbea571367c9a880	algorithm or AI register entry,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-16665AEB619E2939	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	81	sha256:6ec6b0ce9b9cbec5eabcb98c6d04a95d3b2abfe9cd964ba40434ad205d6ec66a	"PR,Puerto Rico,45.0,42.6,C fragmented but observable,0.82,53.3,33.3,66.7,46.7,16.7,17,9,0,0,medium,5,10,Medium: gap interpretation,""human review required for I01, I03, I05, I08, I10"",no_enacted_ai_act_found; no_ai_sandbox_found; no_algorithm_register_found; no"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-166B145EF43638B4	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl	21	sha256:f07cca367385deee636323e8829ae1ed78735d1fad0a409ddd841057dd8bc493	"{""already_in_main_dataset"": false, ""authors"": [""Tomasz Braun"", ""Dominika Ewa Harasimiuk""], ""category"": ""scholarly-index-result"", ""container_title"": ""Legal, Regulatory and Ethical Non-binary Choices of the AI Act"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.4"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-166E360967574039	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193348Z/claim-support-digest.json	3906	sha256:fe33dedbc4913ed16f38bd9b5885ee5e86ef9b8dafb56b3aea758db7cfc31df0	"text: ""Recommend conservative candidate 0 unless human reviewer has a missing domestic sandbox source.,TRUE et-source-hardening,ET,Ethiopia,I04,1,L,1,M,confidence_only,Replaced generic ISO list with Ethiopia-specific ISO member profile for Institute of Ethio"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-166F9AB7F567654F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-v0.2.md	19	sha256:48cf3c0cd424f59a799e2972f92fff115ae82677965917e2ce87505bb5bd62da	| 9 | Operationalising AI regulatory sandboxes under the EU AI Act: The triple challenge of capacity, coordination and attract | scholarly-doi-source | needs-clause-verification | sandbox; regulatory sandbox | https://doi.org/10.1017/cfl.2025.10023 |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-16704A00FF69136F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/10-pallas-gaia-bridge/RESULT.md	64	sha256:e0cb50503343860bbc3b605489f25fb00e3c1ab4f4644a88f58b7072618d301e	| PG-023 | FPT AI Agents | Vietnam | enterprise_operations | D thin public route | For Vietnam, would FPT AI Agents appear in any public AI inventory, algorithm register, procurement... |	needs direct source, source-pack resolution, or translation-aware review before example promotion
