signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-06D2AC3FF4D758DB	translation_review_needed	non_english_direct_surface	Finnish AI register surface is named, but local evidence is translation-sensitive.	surface existence only pending translation	extract local register excerpt and translate only the needed lines	/srv/tyche/gaia/tyche-research-vault/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-facts-v0.1.csv
LIMEN-SIGNAL-06D637A8A5D2501F	needs_named_source_extraction	source_family_wrapper	Source-family count row names Retraction Watch but not a reviewable source surface.	underlying source naming only	extract the named direct source from local source-family materials	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-counts-20260522T153509Z.csv
LIMEN-SIGNAL-06D6A8E51D6A0BCD	needs_named_source_extraction	country_profile_wrapper	Country summary points toward Peru official surfaces but does not expose one named reviewable source.	underlying source naming only	extract the named official source from the local profile	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-confidence-burden-typology-v0.1.json
LIMEN-SIGNAL-06D9387FF2D5A8E1	needs_named_source_extraction	vendor_claim_wrapper	Facts row summarizes a ServiceNow page but does not name a bounded local source surface to review.	underlying source naming only	extract the named vendor source page from local facts metadata	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-308-active-lanes-58-global-south-social-protection-hardening/facts.jsonl
LIMEN-SIGNAL-06D9C664B4B33B37	negative_evidence_candidate	official_absence_finding	Country matrix row is a bounded absence finding for official AI register/sandbox surfaces.	absence on checked official surfaces only	keep as negative evidence with provenance to the local matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.csv
LIMEN-SIGNAL-06DA1E6FE69B0A17	reject_noise	scholarly_index_noise	Scholarly index result is secondary literature, not a direct source surface.	no direct-source claim from this row	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl
LIMEN-SIGNAL-06DAB02446F4BF03	reject_noise	manuscript_noise	Draft manuscript prose is internal analysis, not a direct source surface.	no direct-source claim from this row	drop from the direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-before-successor-candidate-update-20260519T170658Z.md
LIMEN-SIGNAL-06E2BB048EE65422	merge_existing_surface	existing_registry_surface	Row points back to the already-modeled Helsinki AI Register surface.	dedupe to existing surface record only	link this signal to the existing Helsinki surface record	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-facts-v0.1.csv
LIMEN-SIGNAL-06E32B5AA10EEEAB	needs_named_source_extraction	source_family_wrapper	Figure row names Retraction Watch only at source-family level.	underlying source naming only	extract the named direct source from local family materials	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-profile-figure-20260522T153509Z.md
LIMEN-SIGNAL-06F2E16F1B36BC34	needs_named_source_extraction	question_wrapper	Semantic-link question mentions Kratid transparency material but not a named reviewable source surface.	underlying source naming only	extract the named underlying source from local semantic links	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/semantic-links/estonia-regulatory-sandboxes-2026-05-29.json
LIMEN-SIGNAL-06F5F5CE8A6C2A2E	needs_named_source_extraction	seed_wrapper	Seed title names the UK FCA Regulatory Sandbox but the local row is only a seed wrapper.	underlying source naming only	promote the named official sandbox page from local seed metadata	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json
LIMEN-SIGNAL-06FA0248D0189792	needs_named_source_extraction	collision_wrapper	Collision register points toward an SEC settlement surface but does not expose the bounded source directly here.	underlying source naming only	extract the named enforcement source from local collision notes	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-023/collision-confidence-register.tsv
LIMEN-SIGNAL-06FB26EB3BD2E50F	needs_named_source_extraction	matrix_wrapper	Country matrix summary mentions official sources generally but not a named reviewable source surface.	underlying source naming only	extract the named official source from local matrix materials	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-06FF1735D2AEA6B3	reject_noise	claim_support_noise	Claim-support digest is a derived support artifact, not a direct source surface.	no direct-source claim from this row	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-20260605T192147Z/claim-support-digest.csv
LIMEN-SIGNAL-070065905B1184A2	needs_named_source_extraction	matrix_wrapper	Candidate delta describes an NBG sandbox source but the local row is still a summary wrapper.	underlying source naming only	extract the named NBG source from local hardening materials	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-0703386A06DBEF9F	source_reviewed_candidate	official_sandbox_page	Local row names a specific Bank of Tanzania sandbox page with regulator and URL.	surface existence/posture only	open bounded direct-source review on the named official page	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_SOURCE_REFRESH.csv
LIMEN-SIGNAL-070E6A55B8AACA58	source_reviewed_candidate	official_case_page	Local HTML snapshot names a concrete Singapore public-sector AI case page.	surface existence/posture only	review the local case-page excerpt as the direct source surface	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/cycle-215/singapore-career-kaki-ai-career-coaching-assistant.html
LIMEN-SIGNAL-070EF0E7ABA5CED7	reject_noise	config_noise	Backup config text is internal seeding material, not a direct source surface.	no direct-source claim from this row	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z
LIMEN-SIGNAL-071680E10A66EE17	needs_named_source_extraction	seed_wrapper	Seed title names a Kenya regulatory sandbox surface but does not expose the source directly here.	underlying source naming only	extract the named official sandbox source from local seed metadata	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-route-tune-20260605T043422Z
