signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-B8857406ABFAB957	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/facts.jsonl	30	sha256:c038d33ba72defd3762cadbd101430a940a04cea2ec2116aa57b85cfcef3466d	"{""agent_id"": ""helsinki-rental-apartment-search-chatbot"", ""claim"": ""Helsinki’s AI register describes the rental apartment search chatbot as a 24-hour housing-service channel that answers questions about finding housing from expert-determined rule-based paths an"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B88E648954D5E288	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	1792	sha256:201ceb566e069ff75f69b1b85b97a0155ab5af1d40a4fd8e6effc62f3ea44dd6	- I05 public algorithm registers / transparency practice: No national public algorithm register was identified. Open-data portals and sandbox statutes are adjacent sources only and should not be scored as algorithm-register evidence.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B894775177554F54	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T193348Z/claim-support-digest.json	1280	sha256:c86a0990148e8aa917968fed2444c4f16d8d5cb87e5ba438a39c90041bd2efad	"text: ""- Artifacts: - OK `submissions/cerc-2026/SUBMISSION-RECORD-7709863.md` - URLs: - OK `https://easychair.org/conferences2/submitted?a=36956181&submission=7709863` status=200 error=HTTP 404 ### ai_act_article_57_sandbox_duty - Paper: Estonia sandbox pape"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B89A6C07EE49AB68	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/boost/atlas-boost-105/editorial-uptake-refresh.json	84	sha256:cb2c68427e587e14a46240dcd91548f081fece6a2ca75878bf621111d86126b6	public-sector AI registers,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B89F8F34CCF9A9CF	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/arabic-language-latest.jsonl	45	sha256:b228632c19e7a40eb9c3c97eff67bc326eccc27b615b66890c2d52c03e8afecc	"{""already_in_main_dataset"": false, ""authors"": [], ""category"": ""scholarly-index-result"", ""container_title"": ""وقائع مؤتمر المنظومة القيادية في عصر التحول الرقمي"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.47641/lsedtc2022.08"", ""domain"": ""doi.org"", ""factory_re"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B8A52F31691CB013	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	633	sha256:77648900fce59e6a65c21d9254b869e2920fa79c0d1bbc49828da529320d5c37	"7,AG,Antigua and Barbuda,I05,,0,L,0,M,,yes,,""FOI/publication sources are transparency-adjacent only; targeted checks did not locate a public algorithm register or AI-system inventory, improving confidence in conservative zero but not proving absence."",,,,,,,,a"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B8A6E2F7394DE291	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_COUNTRY_MATRIX.csv	5	sha256:1bcdb6569c1e6ca4b8f7935db885bcb8da51f71b218b7861c490cf706ad9f2e3	BD,Bangladesh,0,L,1,M,1,L,1,M,0,L,2,H,2,M,1,M,2,H,1,M,25,no_official_ai_law_found;no_named_ai_competent_authority;bb_sandbox_page_challenge;no_algorithm_register_found;no_ai_procurement_rules_found;no_ai_audit_or_post_market_register_found;current_cyber_law_ne	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B8A81CA049EFAEDA	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv	43	sha256:9cbec0575121e034064879542e4e08eef6e4b21abd1d01ca21265a99049e58e7	"pallas-readiness-sprint-2,AL,Albania,1,M,1,M,0,L,2,H,0,L,2,H,2,H,1,M,2,M,1,M,21,NO_AI_LAW_FOUND;NO_AI_AUTHORITY_FOUND;NO_AI_SANDBOX_FOUND;NO_ALGORITHM_REGISTER_FOUND;NO_AI_PROCUREMENT_RULES_FOUND;NO_AI_AUDIT_REVOCATION_EVIDENCE_FOUND;OPENDATA_ACCESS_REJECTED,"""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B8A9442AFE54864E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/program/05-policy-legal-synthesis/paper/venue/evidence-supply-chain-jipitec-preprint.md	380	sha256:55c3a0616aa6a645e18c81e717a4303060bf1cda8f5d098283c145a1ea7cc21f	- Sokolov, Anton. 2026c. From digital state to AI evidence state. Tyche Institute PALLAS Zenodo archival package. https://doi.org/10.5281/zenodo.20491780.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B8B775853EE3FD6B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv	218	sha256:52a99e4fb4a4ad39947563ba7dcce173aa86399f60d47b533524293c10783694	RE,Reunion,I09,Search results for Reunion datasets,data.gouv.fr API,https://www.data.gouv.fr/api/1/datasets/?q=R%C3%A9union&page_size=10,2026-05-31,official_open_data_api,improved_anchor,M,API check returned multiple public datasets tagged/searchable for Reuni	needs direct source, source-pack resolution, or translation-aware review before example promotion
