queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02819	LIMEN-SIGNAL-5FE8C032E3E069BA	country_gap_no_parent_source		PALLAS observability research queue country gap/profile: Ecuador (EC)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:192	Country gap/profile row lists only search themes and generic source categories; no explicit parent source URL.	Processing-state only: source-pack/search-theme triage; no source-surface or substantive country claim.	Run source discovery to identify a named official/institutional/vendor source surface before direct source review.
BPSE-02820	LIMEN-SIGNAL-60051098EF543D99	country_gap_no_parent_source		PALLAS observability research queue country gap/profile: Uzbekistan (UZ)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:189	Country gap/profile row lists only search themes and generic source categories; no explicit parent source URL.	Processing-state only: source-pack/search-theme triage; no source-surface or substantive country claim.	Run source discovery to identify a named official/institutional/vendor source surface before direct source review.
BPSE-02821	LIMEN-SIGNAL-60375E116B1A9648	country_gap_no_parent_source		PALLAS observability research queue country gap/profile: Haiti (HT)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:250	Country gap/profile row lists only search themes and generic source categories; no explicit parent source URL.	Processing-state only: source-pack/search-theme triage; no source-surface or substantive country claim.	Run source discovery to identify a named official/institutional/vendor source surface before direct source review.
BPSE-02822	LIMEN-SIGNAL-60ADA5402AA27B7F	country_gap_no_parent_source		PALLAS observability research queue country gap/profile: Nigeria (NG)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:237	Country gap/profile row lists only search themes and generic source categories; no explicit parent source URL.	Processing-state only: source-pack/search-theme triage; no source-surface or substantive country claim.	Run source discovery to identify a named official/institutional/vendor source surface before direct source review.
BPSE-02823	LIMEN-SIGNAL-60CF752F1092426C	country_gap_no_parent_source		PALLAS observability research queue country gap/profile: United States Virgin Islands (VI)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:214	Country gap/profile row lists only search themes and generic source categories; no explicit parent source URL.	Processing-state only: source-pack/search-theme triage; no source-surface or substantive country claim.	Run source discovery to identify a named official/institutional/vendor source surface before direct source review.
BPSE-02824	LIMEN-SIGNAL-619837458899DE61	country_gap_no_parent_source		PALLAS observability research queue country gap/profile: Costa Rica (CR)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:182	Country gap/profile row lists only search themes and generic source categories; no explicit parent source URL.	Processing-state only: source-pack/search-theme triage; no source-surface or substantive country claim.	Run source discovery to identify a named official/institutional/vendor source surface before direct source review.
BPSE-02825	LIMEN-SIGNAL-6272C1476778DFC5	country_gap_no_parent_source		PALLAS observability research queue country gap/profile: Eswatini (SZ)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:224	Country gap/profile row lists only search themes and generic source categories; no explicit parent source URL.	Processing-state only: source-pack/search-theme triage; no source-surface or substantive country claim.	Run source discovery to identify a named official/institutional/vendor source surface before direct source review.
BPSE-02826	LIMEN-SIGNAL-62B82B64C6A64672	country_gap_no_parent_source		PALLAS observability research queue country gap/profile: Djibouti (DJ)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:222	Country gap/profile row lists only search themes and generic source categories; no explicit parent source URL.	Processing-state only: source-pack/search-theme triage; no source-surface or substantive country claim.	Run source discovery to identify a named official/institutional/vendor source surface before direct source review.
BPSE-02827	LIMEN-SIGNAL-62C788A4AB09B566	country_gap_no_parent_source		PALLAS observability research queue country gap/profile: Trinidad and Tobago (TT)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:208	Country gap/profile row lists only search themes and generic source categories; no explicit parent source URL.	Processing-state only: source-pack/search-theme triage; no source-surface or substantive country claim.	Run source discovery to identify a named official/institutional/vendor source surface before direct source review.
BPSE-02828	LIMEN-SIGNAL-62DD9E1A606C41DD	country_gap_no_parent_source		PALLAS observability research queue country gap/profile: Indonesia (ID)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:194	Country gap/profile row lists only search themes and generic source categories; no explicit parent source URL.	Processing-state only: source-pack/search-theme triage; no source-surface or substantive country claim.	Run source discovery to identify a named official/institutional/vendor source surface before direct source review.
