queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00673	LIMEN-SIGNAL-C288AF220D2D15FF	translation_sensitive_official_surface	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	732	Local source-pack row names the French DAJ procurement page; official surface but French and access-restricted in prior fetch notes.	source-surface existence only; translation-sensitive content limits finer characterization	queue for named-source translation-aware review
BTR-00674	LIMEN-SIGNAL-C41257495C377411	translation_sensitive_surface	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	78	named CNIL source surface is French/local-context sensitive	source-surface existence only pending translation-aware review	queue translation-aware source review
BTR-00675	LIMEN-SIGNAL-C4F052DADBD4043B	translation_sensitive_official_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv	209	Local refresh row names the French official dataset Inventaire des algorithmes publics de l'ODAP and is translation-sensitive.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	queue translation-aware source check
BTR-00676	LIMEN-SIGNAL-C5A7EFE3445F4CC6	translation_sensitive_official_surface	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	882	Local confidence-change row points to official Ísland.is/Persónuvernd sandbox evidence and is translation-sensitive.	must resolve direct public source before promotion	queue translation-aware source check
BTR-00677	LIMEN-SIGNAL-C6F0AB5B5EE7265F	official Thai guidance page	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-records.jsonl	47	local row names ETDA Generative AI Governance Guideline for Organizations and flags translation-needed	surface likely exists; substantive claims need translation-aware review	route for translation-aware extraction
BTR-00678	LIMEN-SIGNAL-C72BC4C253FC5D0C	French official-source summary	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_HARDENING_SUMMARY.csv	10	local summary names French Polynesia official French-language surfaces	surface likely exists; substantive claims need translation-aware review	route for translation-aware extraction
BTR-00679	LIMEN-SIGNAL-C72FED6F635A548F	official Thai guidance history row	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl	57	local history row names ETDA Generative AI Governance Guideline and flags translation-needed	surface likely exists; substantive claims need translation-aware review	route for translation-aware extraction
BTR-00680	LIMEN-SIGNAL-C7CDA092002AF26B	official Thai policy page	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-records.jsonl	56	local row names ETDA AI Governance Center and flags translation-needed	surface likely exists; substantive claims need translation-aware review	route for translation-aware extraction
BTR-00681	LIMEN-SIGNAL-C80686748B26F33F	translation_sensitive_direct_surface	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	899	Named ARCE procurement page is official but Spanish-language and translation-sensitive.	source-surface existence only; translation-sensitive	route to translation-aware source review
BTR-00682	LIMEN-SIGNAL-C84C68743D552556	translation_sensitive_direct_surface	P2_article_relevance_review	public-sector	AI register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/estonian-baltic-language-records.jsonl	2	Kratid algorithm-overview source is official but materially Estonian.	source-surface existence only; translation-sensitive	route to translation-aware source review
