category_code	category_label	local_case_count	authoritative_count	candidate_count	crosswalk_seed_count	count_delta_vs_crosswalk	evidence_tiers	languages	jurisdictions	example_refs	files_used	review_priority	pressure_status	observatory_hook	note
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	3	1	2	1	2	T1_single_public_source:2; T3_authoritative_source:1	en;fi;lt	Finland;Lithuania;United States	authoritative-candidates.jsonl:LIMEN-000002, multilingual-candidates.jsonl:LMWCS-20260606-002, multilingual-candidates.jsonl:LMWCS-20260606-003	authoritative-candidates.jsonl;multilingual-candidates.jsonl	High	mixed_tier_bridge	Legal-risk heatmap by category and evidence tier	Useful for cases that may feed later law-to-evidence matrices but needs strong authority controls
security_risk	Security risk	5	4	1	5	0	T1_single_public_source:1; T3_authoritative_source:4	English	Global	security-agentic-candidates.jsonl:LIMEN-000001, security-agentic-candidates.jsonl:LIMEN-000002, security-agentic-candidates.jsonl:LIMEN-000003, security-agentic-candidates.jsonl:LIMEN-000004	security-agentic-candidates.jsonl	High	mixed_tier_bridge	Security-to-governance edge list for graph/table views	Maps well to technical-governance observatory outputs but often needs separation of hazard from proven exploitation
agentic_control_failure	Agentic control failure	5	4	1	5	0	T1_single_public_source:1; T3_authoritative_source:4	English	Global	security-agentic-candidates.jsonl:LIMEN-000001, security-agentic-candidates.jsonl:LIMEN-000002, security-agentic-candidates.jsonl:LIMEN-000003, security-agentic-candidates.jsonl:LIMEN-000004	security-agentic-candidates.jsonl	High	mixed_tier_bridge	Agentic-control matrix linking case type to oversight evidence needs	Particularly valuable for thesis claims about attestation limits and governance blind spots
institutional_absurdity	Institutional absurdity	3	0	3	0	3	T1_single_public_source:3	et;fi;sl	Estonia;Finland;Slovenia	multilingual-candidates.jsonl:LMWCS-20260606-001, multilingual-candidates.jsonl:LMWCS-20260606-005, multilingual-candidates.jsonl:LMWCS-20260606-006	multilingual-candidates.jsonl	Medium	crosswalk_update_needed	Public-sector absurdity typology and dashboard filter	Strong candidate for normative discussion sections and limitations on legal inference
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	6	2	4	2	4	T1_single_public_source:3; T3_authoritative_source:3	en;fi;lt;sl	Finland;Lithuania;Slovenia;United Kingdom	authoritative-candidates.jsonl:LIMEN-000003, authoritative-candidates.jsonl:LIMEN-000004, multilingual-candidates.jsonl:LMWCS-20260606-001, multilingual-candidates.jsonl:LMWCS-20260606-003	authoritative-candidates.jsonl;multilingual-candidates.jsonl	High	mixed_tier_bridge	Map-ready country/authority evidence-gap matrix	Directly supports observatory and policy-brief outputs on public-sector AI visibility
deepfake_or_synthetic_identity	Deepfake or synthetic identity	2	0	2	0	2	T1_single_public_source:2	fi;lt	Finland;Lithuania	multilingual-candidates.jsonl:LMWCS-20260606-002, multilingual-candidates.jsonl:LMWCS-20260606-003	multilingual-candidates.jsonl	High	crosswalk_update_needed	Synthetic-identity topology linking media, provenance evidence, and harm types	Pairs naturally with attestation/C2PA discussion but must not overclaim authenticity resolution
legal_procedural_contamination	Legal/procedural contamination	2	1	1	1	1	T1_single_public_source:1; T3_authoritative_source:1	fi;it	Finland;Italy	authoritative-candidates.jsonl:LIMEN-000001, multilingual-candidates.jsonl:LMWCS-20260606-001	authoritative-candidates.jsonl;multilingual-candidates.jsonl	High	mixed_tier_bridge	Process-contamination typology for justice/admin case tables	Strong hostile-reviewer contribution because it clarifies where public proof ends
health_medical_or_mental_health	Health, medical, or mental-health misuse	0	0	0	0	0	none	none	none	none	none	High	zero_seed_gap	Sector split for health-related LIMEN cases with uncertainty flags	Requires especially cautious language because parallel health-law regimes dominate interpretation
education_workplace_or_hr	Education, workplace, or HR	4	3	1	3	1	T1_single_public_source:1; T3_authoritative_source:3	en;et	Estonia;United Kingdom;United States	authoritative-candidates.jsonl:LIMEN-000002, authoritative-candidates.jsonl:LIMEN-000003, authoritative-candidates.jsonl:LIMEN-000004, multilingual-candidates.jsonl:LMWCS-20260606-006	authoritative-candidates.jsonl;multilingual-candidates.jsonl	High	mixed_tier_bridge	Employment/education decision-flow matrix	Important for law-to-evidence rows on contestability and governance visibility
finance_insurance_or_market	Finance, insurance, or market	2	2	0	0	2	T3_authoritative_source:2	en	CA;US	candidate-cases.jsonl:LIMEN-000001, candidate-cases.jsonl:LIMEN-000002	candidate-cases.jsonl	Medium	crosswalk_update_needed	Sectoral harm matrix across finance/insurance/market records	Needs careful separation of consumer-fraud allegations from AI governance evidence
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	3	2	1	2	1	T3_authoritative_source:3	en;sl	Slovenia;United Kingdom	authoritative-candidates.jsonl:LIMEN-000003, authoritative-candidates.jsonl:LIMEN-000004, multilingual-candidates.jsonl:LMWCS-20260606-004	authoritative-candidates.jsonl;multilingual-candidates.jsonl	High	crosswalk_update_needed	Fundamental-rights review queue and public-authority map	One of the strongest candidates for lawyer/regulator review routing
research_integrity	Research integrity	0	0	0	0	0	none	none	none	none	none	Medium	zero_seed_gap	Research-integrity dashboard slice and methods-paper examples	Useful for thesis argument that LIMEN captures governance anomalies beyond classic safety taxonomies
ai_washing_or_false_ai_claim	AI washing or false AI claim	3	2	1	0	3	T1_single_public_source:1; T3_authoritative_source:2	en;sl	CA;Slovenia;US	multilingual-candidates.jsonl:LMWCS-20260606-005, candidate-cases.jsonl:LIMEN-000001, candidate-cases.jsonl:LIMEN-000002	candidate-cases.jsonl;multilingual-candidates.jsonl	Medium	mixed_tier_bridge	AI-washing typology for procurement and market-facing visuals	Can support policy-brief discussion of observability and public-buying due diligence
normative_or_moral_outlier	Normative or moral outlier	5	2	3	2	3	T1_single_public_source:2; T3_authoritative_source:3	en;et;fi;it;sl	Estonia;Finland;Italy;Slovenia;United Kingdom	authoritative-candidates.jsonl:LIMEN-000001, authoritative-candidates.jsonl:LIMEN-000004, multilingual-candidates.jsonl:LMWCS-20260606-002, multilingual-candidates.jsonl:LMWCS-20260606-004	authoritative-candidates.jsonl;multilingual-candidates.jsonl	Medium	mixed_tier_bridge	Normative-anomaly gallery with explicit uncertainty coding	Helps preserve LIMEN novelty instead of overfitting everything into legal buckets
residual_unclassified	Residual/unclassified	0	0	0	0	0	none	none	none	none	none	High	keep_visible_methods_signal	Gap queue feeding taxonomy evolution and future figure on framework residuals	Critical for hostile-reviewer pass because it shows where the crosswalk cannot responsibly force conclusions
