signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-6BD0282783EECBD4	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	245	sha256:5aa4dd8486383b089371437203288c8f755e27387128a28ed508cf1bacf38acb	CF,Central African Republic,high,D thin visibility,medium,Central African Republic AI Act implementation competent authority; Central African Republic algorithm register public sector AI; Central African Republic AI regulatory sandbox; Central African Republic	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-6C5EFA63F1C47293	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	34296	sha256:22fcf699d3a6fbe53e58504ff33acb4976d763015ebe55b0e5e1a727222adc57	"label: ""Public algorithm registers / transparency"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-6C9570AFB037E681	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	4049	sha256:9607d57db797a22f47def1b1cfad31dca627d3ca09594dca9f7ed61cd84a1054	- No public algorithm register/model inventory/transparency portal was found.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-6CFCD62C90015F4D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	187	sha256:d8430de3ac367b1fea0522b3a11e0bcdc0edbe4ad54d25ea32b4396d9d4d118c	BT,Bhutan,high,C fragmented but observable,medium,Bhutan AI Act implementation competent authority; Bhutan algorithm register public sector AI; Bhutan AI regulatory sandbox; Bhutan AI procurement public sector guidance; Bhutan AI audit logs provenance post-mar	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-6D7AB948993AC6FF	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	226	sha256:091c57e0fb0a7d6751fab93e4bdc973db3f160517ac09d28e0a2099f3bb4cd84	GW,Guinea-Bissau,high,D thin visibility,medium,Guinea-Bissau AI Act implementation competent authority; Guinea-Bissau algorithm register public sector AI; Guinea-Bissau AI regulatory sandbox; Guinea-Bissau AI procurement public sector guidance; Guinea-Bissau A	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-6DEF8BBC97CBE841	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	186	sha256:12ae919074f70c0ee957dd1aa08810f7c28ed831fba2c67a283370a8aa70a030	AX,Aland Islands,high,C fragmented but observable,medium,Aland Islands AI Act implementation competent authority; Aland Islands algorithm register public sector AI; Aland Islands AI regulatory sandbox; Aland Islands AI procurement public sector guidance; Aland	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-6E2143F14F5736EC	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	28484	sha256:99517119119ea146dc2a89f8a54afc3bd5aeae7a5a87444f3c075f861ebf0121	"label: ""Regulatory sandbox maturity"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-6E4A82CE73FDB43B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	223	sha256:8e547472d71946e0467c041176a2be7ba120deeb2b7e45314f694fbbf2700b8a	SV,El Salvador,high,D thin visibility,medium,El Salvador AI Act implementation competent authority; El Salvador algorithm register public sector AI; El Salvador AI regulatory sandbox; El Salvador AI procurement public sector guidance; El Salvador AI audit logs	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-6E81CD144CE3E861	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	35667	sha256:22fcf699d3a6fbe53e58504ff33acb4976d763015ebe55b0e5e1a727222adc57	"label: ""Public algorithm registers / transparency"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-6FCE3B0B6C6C430E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	211	sha256:cf0b874fbe68e909c8ca4f5b6983296e52c1273f4ed105a20195299388e1f902	MF,Saint Martin,high,D thin visibility,medium,Saint Martin AI Act implementation competent authority; Saint Martin algorithm register public sector AI; Saint Martin AI regulatory sandbox; Saint Martin AI procurement public sector guidance; Saint Martin AI audi	needs direct source, source-pack resolution, or translation-aware review before example promotion
