queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00361	LIMEN-SIGNAL-1EF4EC750797E677	source_pack_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/verification/p0-source-packs/raw/verify-ai-act-logging-technical-docs-risk/acc5ad4063972046.txt	1	Local proxy/source-pack row does not yet expose a standalone named reviewable source surface.	do not claim a direct source until the named surface is extracted	extract the named source surface from local artifact
BPSE-00362	LIMEN-SIGNAL-1F03145451D27C3B	source_pack_or_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_HARDENING_SUMMARY.csv	15	Derived queue/matrix row points toward underlying official sources but does not expose a stable named surface.	do not claim a direct source until the named surface is extracted	extract the named source surface from local artifact
BPSE-00363	LIMEN-SIGNAL-1F3E4C7E4DF24ACF	source_pack_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	67	Derived queue/matrix row points toward underlying official sources but does not expose a stable named surface.	do not claim a direct source until the named surface is extracted	extract the named source surface from local artifact
BPSE-00364	LIMEN-SIGNAL-1F43DB6D18D617F0	source_pack_or_proxy	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	62	Derived queue/matrix row points toward underlying official sources but does not expose a stable named surface.	do not claim a direct source until the named surface is extracted	extract the named source surface from local artifact
BPSE-00365	LIMEN-SIGNAL-1F60EAC369AAE7E0	source_pack_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_COUNTRY_SCORE_DELTA.csv	34	Derived queue/matrix row points toward underlying official sources but does not expose a stable named surface.	do not claim a direct source until the named surface is extracted	extract the named source surface from local artifact
BPSE-00366	LIMEN-SIGNAL-1F73B313DD556767	source_pack_proxy	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	38	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
BPSE-00367	LIMEN-SIGNAL-1FD9639FF289AF62	source_pack_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	110	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
BPSE-00368	LIMEN-SIGNAL-1FDDDFD8B919E86A	source_pack_proxy	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	51	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
BPSE-00369	LIMEN-SIGNAL-1FF7FDCDC0AA021D	source_pack_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	25	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
BPSE-00370	LIMEN-SIGNAL-200425DF8847C4FC	source_pack_proxy	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json	2338	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
BPSE-00371	LIMEN-SIGNAL-202B66917AA968FE	source_pack_proxy	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json	2592	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
BPSE-00372	LIMEN-SIGNAL-203503CCC13A7A8D	source_pack_proxy	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/gaia/tyche-research-vault/notes/zeus-autonomous-research-lanes-plan-2026-05-22.md	351	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
BPSE-00373	LIMEN-SIGNAL-204112DBA59CA705	source_pack_proxy	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	31	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
BPSE-00374	LIMEN-SIGNAL-2042E9661C70EC28	source_pack_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	5	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
BPSE-00375	LIMEN-SIGNAL-206F5D62A23DD7B5	source_pack_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	49	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
BPSE-00376	LIMEN-SIGNAL-206FA4FF97AFDF6A	source_pack_proxy	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	64	Wrapper/index row points toward a source but does not isolate the final named review surface.	wrapper-level signal only	extract named direct source
