paper_id	quickref	title	authors_short	year	doi	url	citations_2024_05_28	cites_per_year	sheet_name	sheet_updated_note	source_url	export_url	retrieved_at_utc	language	jurisdiction_scope	source_family	rights_note	claim_ceiling	limen_use_now
1.0	Critch2023	TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI	Critch & Russell	2023	10.48550/arXiv.2306.06924	https://arxiv.org/abs/2306.06924	12	6.00	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
2.0	Cui2024	Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems	Cui et al.	2024	10.48550/arXiv.2401.05778	https://arxiv.org/abs/2401.05778	15	15.00	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
3.0	Cunha2023	Navigating the Landscape of AI Ethics and Responsibility	Cunha & Estima	2023	10.1007/978-3-031-49008-8_8	https://doi.org/10.1007/978-3-031-49008-8_8	0	0.00	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
4.0	Deng2023	Towards Safer Generative Language Models: A Survey on Safety Risks, Evaluations, and Improvements	Deng et al.	2023	10.48550/arXiv.2302.09270	https://arxiv.org/abs/2302.09270	1	0.50	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
5.0	Hagendorff2024	Mapping the Ethics of Generative AI: A Comprehensive Scoping Review	Hagendorff	2024	10.48550/arXiv.2402.08323	https://arxiv.org/abs/2402.08323	0	0.00	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
6.0	Hogenhout2021	A framework for ethical AI at the United Nations	Hogenhout	2021	10.48550/arXiv.2104.12547	https://arxiv.org/abs/2104.12547	11	2.75	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
7.0	Kilian2023	Examining the differential risk from high-level artificial intelligence and the question of control	Kilian, Ventura & Bailey	2023	10.1016/j.futures.2023.103182	https://doi.org/10.1016/j.futures.2023.103182	7	3.50	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
8.0	McLean2023	The risks associated with Artificial General Intelligence: A systematic review	McLean et al.	2023	10.1080/0952813X.2021.1964003	https://doi.org/10.1080/0952813X.2021.1964003	87	43.50	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
9.0	Meek2016	Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review	Meek et al.	2016	10.1109/PICMET.2016.7806752	https://doi.org/10.1109/PICMET.2016.7806752	38	4.22	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
10.0	Paes2023	Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study	Paes, Silveira & Akkari	2023	10.1007/978-3-031-04435-9_54	https://doi.org/10.1007/978-3-031-04435-9_54	3	1.50	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
11.0	Shelby2023	Sociotechnical Harms of Algorithmic Systems: Scoping a Taxonomy for Harm Reduction	Shelby et al.	2023	10.1145/3600211.3604673	https://doi.org/10.1145/3600211.3604673	79	39.50	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
12.0	Sherman2023	AI Risk Profiles: A Standards Proposal for Pre-Deployment AI Risk Disclosures	Sherman & Eisenberg	2023	10.1609/aaai.v38i21.30348	https://doi.org/10.1609/aaai.v38i21.30348	0	0.00	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
13.0	Solaiman2023	Evaluating the Social Impact of Generative AI Systems in Systems and Society	Solaiman et al.	2023	10.48550/arXiv.2306.05949	https://arxiv.org/abs/2306.05949	46	23.00	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
14.0	Steimers2022	Sources of Risk of AI Systems	Steimers & Schneider	2022	10.3390/ijerph19063641	https://doi.org/10.3390/ijerph19063641	29	9.67	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
15.0	Tan2022	The Risks of Machine Learning Systems	Tan, Taeihagh & Baxter	2022	10.48550/arXiv.2204.09852	https://arxiv.org/abs/2204.09852	8	2.67	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
16.0	Weidinger2022	Taxonomy of Risks posed by Language Models	Weidinger et al.	2022	10.1145/3531146.3533088	https://doi.org/10.1145/3531146.3533088	340	113.33	Included resources	Sheet-specific updated note not surfaced in bounded stdlib parse; rely on workbook retrieval timestamp for this slice.	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T18:35:37Z	English	Global / literature-scope metadata	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; treat this as a bounded resource-metadata slice only, not incident evidence or blanket workbook mirroring permission.	included-resources metadata slice only	methods appendix / literature-scope note / dashboard provenance panel / reviewer-safe source-composition context
