queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02747	LIMEN-SIGNAL-39C8354752900637	country_gap_no_parent_source		Sri Lanka observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:200	Country-level search-theme placeholder; local row has focus queries and allowed/preferred source categories but no concrete parent URL.	Processing-state only: source-pack/search-theme triage; no direct source-surface or substantive country claim.	Extract a named official/institutional/vendor source surface before direct source review.
BPSE-02748	LIMEN-SIGNAL-39D148D47791700B	country_gap_no_parent_source		El Salvador observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:223	Country-level search-theme placeholder; local row has focus queries and allowed/preferred source categories but no concrete parent URL.	Processing-state only: source-pack/search-theme triage; no direct source-surface or substantive country claim.	Extract a named official/institutional/vendor source surface before direct source review.
BPSE-02749	LIMEN-SIGNAL-39E37D361A3A5642	country_gap_no_parent_source		Guatemala observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:225	Country-level search-theme placeholder; local row has focus queries and allowed/preferred source categories but no concrete parent URL.	Processing-state only: source-pack/search-theme triage; no direct source-surface or substantive country claim.	Extract a named official/institutional/vendor source surface before direct source review.
BPSE-02750	LIMEN-SIGNAL-3A2EEC1CE3E0B41B	country_gap_no_parent_source		Saint Vincent and the Grenadines observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:246	Country-level search-theme placeholder; local row has focus queries and allowed/preferred source categories but no concrete parent URL.	Processing-state only: source-pack/search-theme triage; no direct source-surface or substantive country claim.	Extract a named official/institutional/vendor source surface before direct source review.
BPSE-02751	LIMEN-SIGNAL-3AB6EF65DF2B11CC	country_gap_no_parent_source		Venezuela observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:249	Country-level search-theme placeholder; local row has focus queries and allowed/preferred source categories but no concrete parent URL.	Processing-state only: source-pack/search-theme triage; no direct source-surface or substantive country claim.	Extract a named official/institutional/vendor source surface before direct source review.
BPSE-02752	LIMEN-SIGNAL-3AF2CAE719CBC578	country_gap_no_parent_source		Uzbekistan observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:189	Country-level search-theme placeholder; local row has focus queries and allowed/preferred source categories but no concrete parent URL.	Processing-state only: source-pack/search-theme triage; no direct source-surface or substantive country claim.	Extract a named official/institutional/vendor source surface before direct source review.
BPSE-02753	LIMEN-SIGNAL-3B61BB48B3D605C8	country_gap_no_parent_source		Cyprus observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:213	Country-level search-theme placeholder; local row has focus queries and allowed/preferred source categories but no concrete parent URL.	Processing-state only: source-pack/search-theme triage; no direct source-surface or substantive country claim.	Extract a named official/institutional/vendor source surface before direct source review.
BPSE-02754	LIMEN-SIGNAL-3B6605389D69738D	country_gap_no_parent_source		Lesotho observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:228	Country-level search-theme placeholder; local row has focus queries and allowed/preferred source categories but no concrete parent URL.	Processing-state only: source-pack/search-theme triage; no direct source-surface or substantive country claim.	Extract a named official/institutional/vendor source surface before direct source review.
BPSE-02755	LIMEN-SIGNAL-3BC188089E42BEC5	country_gap_no_parent_source		Liberia observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:229	Country-level search-theme placeholder; local row has focus queries and allowed/preferred source categories but no concrete parent URL.	Processing-state only: source-pack/search-theme triage; no direct source-surface or substantive country claim.	Extract a named official/institutional/vendor source surface before direct source review.
BPSE-02756	LIMEN-SIGNAL-3BDDE41C3AE82D87	country_gap_no_parent_source		Romania observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:207	Country-level search-theme placeholder; local row has focus queries and allowed/preferred source categories but no concrete parent URL.	Processing-state only: source-pack/search-theme triage; no direct source-surface or substantive country claim.	Extract a named official/institutional/vendor source surface before direct source review.
