queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00417	LIMEN-SIGNAL-2143C804119D59A7	multilingual_direct_source_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southern-europe-language-history.jsonl	74	Local metadata names Garante Privacy: AI - Intelligenza artificiale; translation-sensitive direct regulator surface.	translation-sensitive source-surface existence only	extract/verify translated canonical source surface
BTR-00418	LIMEN-SIGNAL-224FB15F0BB89F51	multilingual_direct_source_surface	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1879	Source-pack row names the Dutch RDI AI page as a concrete regulator surface but local evidence is translation-sensitive.	translation-sensitive source-surface existence only	extract/verify translated canonical source surface
BTR-00419	LIMEN-SIGNAL-240778BA820A4A67	direct_surface_translation_sensitive	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_SOURCE_PACK.csv	442	Row names a concrete official sandbox surface, but the local evidence is translation-sensitive.	Surface existence only pending translation-aware confirmation.	Route for translation-aware bounded review.
BTR-00420	LIMEN-SIGNAL-24CA276C2C8DA96E	translation_sensitive_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_CANDIDATE_MATRIX_DELTA.csv	126	Plausible direct source surface, but the local evidence is materially non-English or translation-sensitive.	surface existence only pending translation-aware review	route to translation-aware source review
BTR-00421	LIMEN-SIGNAL-24E016384072C6C9	translation_sensitive_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	398	Plausible direct source surface, but the local evidence is materially non-English or translation-sensitive.	surface existence only pending translation-aware review	route to translation-aware source review
BTR-00422	LIMEN-SIGNAL-24E74DE4425285C3	translation_sensitive_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl	243	Plausible direct source surface, but the local evidence is materially non-English or translation-sensitive.	surface existence only pending translation-aware review	route to translation-aware source review
BTR-00423	LIMEN-SIGNAL-253219BF7CD64835	translation_sensitive_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl	236	Plausible direct source surface, but the local evidence is materially non-English or translation-sensitive.	surface existence only pending translation-aware review	route to translation-aware source review
BTR-00424	LIMEN-SIGNAL-25893CED45E28324	translation_sensitive_surface	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv	7	Plausible direct source surface, but the local evidence is materially non-English or translation-sensitive.	surface existence only pending translation-aware review	route to translation-aware source review
BTR-00425	LIMEN-SIGNAL-258BE286A82D2DF0	translation_sensitive_surface	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	518	Plausible direct source surface, but the local evidence is materially non-English or translation-sensitive.	surface existence only pending translation-aware review	route to translation-aware source review
BTR-00426	LIMEN-SIGNAL-25DA472928530476	translation_sensitive_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv	148	Plausible direct source surface, but the local evidence is materially non-English or translation-sensitive.	surface existence only pending translation-aware review	route to translation-aware source review
