queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00937	LIMEN-SIGNAL-A7E7970C044D97CF	source_url_extracted	https://www.ghana.gov.gh/	Ghana official public-source root	OBSERVABILITY_COUNTRY_PROFILES.md:761; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:4190	I05 source example maps to frozen source-pack URL.	source-surface identification only	direct source posture review only
BPSE-00938	LIMEN-SIGNAL-A8240807FFD0CC50	source_url_extracted	https://dane.gov.pl/pl	Otwarte Dane	pallas_atlas_countries.json:4887-4893	Local atlas top_sources exposes an I05 URL, but claim_role says context only, not an algorithm register.	source-surface identification only	direct source posture review only
BPSE-00939	LIMEN-SIGNAL-A824A4F35A642091	parent_source_wrapper		Cape Verde I08 local source-pack candidates	OBSERVABILITY_RESEARCH_QUEUE.csv:50; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:581-582	Queue row is a wishlist and local packs contain multiple procurement parent sources.	source-surface identification only	human choose one parent source before direct review
BPSE-00940	LIMEN-SIGNAL-A84E65E28B052EF4	source_url_extracted	https://algoritmospublicos.cl/	Plataforma de Algoritmos Públicos	PALLAS_READINESS_WORLD_SOURCE_PACK.csv:209; PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:69	Local I05 source pack names a concrete public-algorithms platform URL.	source-surface identification only	direct source posture review only
BPSE-00941	LIMEN-SIGNAL-A87007CF62A40075	parent_source_wrapper		French Guiana / France I05 algorithm-transparency candidates	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:11; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:2148-2149	Queue row is a wishlist and local packs list multiple France/French Guiana I05 parent sources.	source-surface identification only	human choose one parent source before direct review
BPSE-00942	LIMEN-SIGNAL-A87425D57407522F	country_gap_no_parent_source		Somalia regulatory sandbox gap placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:27; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:3917-3918	Queue row lists target themes; local sources found only generic regulator roots, not a sandbox parent source.	source-surface identification only	leave as gap unless a named local source is added
BPSE-00943	LIMEN-SIGNAL-A89080D85FF3EBFD	parent_source_wrapper		Cape Verde I03 sandbox local candidates	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:50; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:571-572	Queue row is a wishlist and local packs contain multiple sandbox/search/context parent candidates.	source-surface identification only	human choose one parent source before direct review
BPSE-00944	LIMEN-SIGNAL-A89CFB6D81439DC5	source_surface_only_no_case		WFP DEEP drone damage assessment target evidence item	v02-gap-sprint.json:3157-3169	Gap-sprint fragment is only a desired evidence type and contains no parent source URL.	source-surface identification only	do not route until a concrete local source URL exists
BPSE-00945	LIMEN-SIGNAL-A8BE7601F380EED4	source_url_extracted	https://www.bot.go.tz/DFDI/Sandbox	FinTech Regulatory Sandbox	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:748; PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:1989	Local second-pass source refresh exposes a concrete Tanzania sandbox URL.	source-surface identification only	direct source posture review only
BPSE-00946	LIMEN-SIGNAL-A8C8F08F910C482E	parent_source_wrapper		Saudi Arabia public-sector AI local candidates	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:9; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:855-877	Queue row names target themes and local packs contain multiple AI governance/public-sector AI candidates.	source-surface identification only	human choose one parent source before direct review
BPSE-00947	LIMEN-SIGNAL-A8CBEECE3926BE3B	parent_source_wrapper		Nepal procurement local candidates	OBSERVABILITY_RESEARCH_QUEUE.csv:40; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:3256-3257	Queue row is a wishlist and local packs contain both procurement authority and e-GP portal parent sources.	source-surface identification only	human choose one parent source before direct review
BPSE-00948	LIMEN-SIGNAL-A8E13438A670D142	source_url_extracted	https://www.bb.org.bd/en/index.php/fintech/regulatory_sandbox	Regulatory sandbox page	PALLAS_READINESS_WORLD_SOURCE_PACK.csv:2801; PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:85	Local I03 source pack names a concrete Bangladesh regulatory sandbox URL.	source-surface identification only	direct source posture review only
BPSE-00949	LIMEN-SIGNAL-A91DE0227036E646	source_url_extracted	https://www.ict.gov.pg/?s=algorithm+register	DICT search for algorithm register and AI register	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1590; OBSERVABILITY_COUNTRY_PROFILES.md:1548	Local second-pass source refresh provides an explicit PNG I05 search URL as negative register evidence.	source-surface identification only	direct source posture review only
BPSE-00950	LIMEN-SIGNAL-A943DDA8846EA512	country_gap_no_parent_source		Tuvalu regulatory sandbox gap placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:80; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:4975	Queue row lists target themes; local sources do not expose a concrete sandbox parent source.	source-surface identification only	leave as gap unless a named local source is added
BPSE-00951	LIMEN-SIGNAL-A9A4B5A3085ED56B	parent_source_wrapper		Curaçao I05 algorithm-register search candidates	PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:112; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2169-2170	Country hardening summary points to multiple I05 search surfaces, requiring parent-source choice.	source-surface identification only	human choose one parent source before direct review
BPSE-00952	LIMEN-SIGNAL-AA822CF23FA0F1B2	parent_source_wrapper		Cape Verde I05 algorithm-register local candidates	OBSERVABILITY_RESEARCH_QUEUE.csv:50; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:575-576	Queue row is a wishlist and local packs contain multiple algorithm-register search/gap surfaces.	source-surface identification only	human choose one parent source before direct review
BPSE-00953	LIMEN-SIGNAL-AD4BE08684320644	source_url_extracted	https://gov.ky/search?q=algorithm%20register	GOV.KY search for algorithm register	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:119; PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:51	Local source refresh exposes an explicit Cayman Islands I05 search URL as negative evidence.	source-surface identification only	direct source posture review only
BPSE-00954	LIMEN-SIGNAL-AD755D9D35AEF7E9	country_gap_no_parent_source		Marshall Islands regulatory sandbox gap placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:64; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1457	Queue row lists target themes; local source refresh has legal-code negative evidence, not a sandbox parent source.	source-surface identification only	leave as gap unless a named local source is added
BPSE-00955	LIMEN-SIGNAL-AD9608333C3CA249	country_gap_no_parent_source		American Samoa public-sector AI gap placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:86	Queue row names candidate source types only and no single public-sector AI parent source is exposed.	source-surface identification only	leave as gap unless a named local source is added
BPSE-00956	LIMEN-SIGNAL-ADB18EA1BA772372	parent_source_wrapper		Montenegro public-sector AI local candidates	OBSERVABILITY_RESEARCH_QUEUE.csv:39; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3925-3945	Queue row is a wishlist and local packs contain multiple AI-adjacent/procurement candidates.	source-surface identification only	human choose one parent source before direct review
BPSE-00957	LIMEN-SIGNAL-AECD8D4CE465BDD3	parent_source_wrapper		Ghana public-sector AI/procurement local candidates	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:57; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:638-639	Queue row is a wishlist and local packs contain multiple Ghana public-sector/procurement parent sources.	source-surface identification only	human choose one parent source before direct review
BPSE-00958	LIMEN-SIGNAL-AF1B69CD496A786C	parent_source_wrapper		Bangladesh public-sector AI/procurement local candidates	OBSERVABILITY_RESEARCH_QUEUE.csv:85; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2815-2817	Queue prompt lists topics and local packs contain multiple procurement/public-sector governance sources.	source-surface identification only	human choose one parent source before direct review
BPSE-00959	LIMEN-SIGNAL-AF2576542A2C7CFC	source_url_extracted	https://www.rbf.gov.fj/fintech-regulatory-sandbox-guideline/	FinTech Regulatory Sandbox Guideline	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1241; PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:666	Local source refresh exposes a concrete Fiji regulatory sandbox guideline URL.	source-surface identification only	direct source posture review only
BPSE-00960	LIMEN-SIGNAL-AF67C577CDBF267C	source_surface_only_no_case		Pakistan FBR taxpayer chatbot target evidence item	v02-gap-sprint.json:3393-3405	Target-evidence list names desired evidence types only and contains no parent source URL.	source-surface identification only	do not route until a concrete local source URL exists
