signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-190F4C70729BEE8E	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-161-20260603T161/records.jsonl	44	sha256:ba0b56e23e29726e0f93aad0b3b36ec2bfee0414e136d98994394ef13a91b33c	"{""agent_id"": ""writer-ai-agents"", ""agent_type"": ""enterprise agentic AI platform and governed agent-builder surface"", ""article50_flags"": [""direct_interaction_disclosure_possible""], ""audit_logs_provenance_claims"": ""Cycle 97 archived Writer Agent, AI Studio, Trust"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-1913A9507BF4FE35	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv	61	sha256:8646620c6a146f311bd1c0f0010a1e598b30afefa3f4cf6861d4ee5f969e4b23	ALL-NL-ALG-REG-0060,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-38979255,Civil affairs: eServices,https://algoritmes.overheid.nl/en/algoritme/38979255,In use,deployed_or_production_or_in_use,yes,official Dutch Algorithm Register bu	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-19190E1246C5C866	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_LANE_FINDINGS_DIGEST.md	106	sha256:47cfb6a7887d054cb708db1c83ffd270e90ec2b0d59501908d57aae36f008da9	This batch is dominated by thin public AI-observability visibility. Most jurisdictions show at least some enabling substrate - data protection authority, digital government, telecom/cyber authority, eID/e-signature/trust-services leads, or EU/EEA alignment con	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-191A47D308182B47	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	voice cloning	/srv/tyche/projects/limen-ai-edge-case-atlas/results/paper-snapshot-20260607/sources/authoritative-source-ledger.tsv	19	sha256:92695c5482139a29dcd3bc88cae2fc45ab9965501bda95f5aa72e4aa17712bef	SRC-AUTH-0018 LIMEN-000008 authoritative_followup T3_authoritative_source Federal Communications Commission United States en FCC media release high agency_release_summary 2024-08-21 2026-06-07 https://docs.fcc.gov/public/attachments/DOC-404951A1.txt Regulator	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-191B5D410317115A	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv	1441	sha256:59a25f0565f0ebe9470a9be55459d616e42959cc6974fa8ba2788020d45d13a5	ALL-CA-AI-REG-0026,CA-AI-REG,Government of Canada AI Register,Canada,2526-CSPS-EFPC-021,Microsoft Sentinel,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,official Canada AI Registe	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-193DACD3FF37DE81	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-125-20260603T0511/records.jsonl	40	sha256:66974fdcc620615518b4d5c3cb919946e11c569502669cd47c8b81402a6fdad9	"{""agent_id"": ""glean-agents"", ""agent_type"": ""enterprise knowledge AI agents"", ""article50_flags"": [""direct_interaction_disclosure_possible""], ""audit_logs_provenance_claims"": ""Glean AI Agents product page describes agent governance, real-time oversight, observabi"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-194467A405C2E07F	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/deployed-gap-map-field-coding-template-v0.1.csv	44	sha256:355e6dea5fb91b8c39accb44aac832c0a1e933c0179963d990418a109d3feeb9	PH1-043,NL-ALG-REG,1,fixed_quota_first_n_by_record_candidate_id,ALL-NL-ALG-REG-0451,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-12449196,Oribi,https://algoritmes.overheid.nl/en/algoritme/12449196,In use,deployed_or_production_or_in	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-19456E438B6E8A6E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1844	sha256:ac5d199dc03effe7fab38cf97309dab415c28695dfcd6ce9570f85f25891e04c	pallas-readiness-sprint-3,BM,Bermuda,I05,Public Access to Information (PATI),Government of Bermuda,https://www.gov.bm/public-access-information-pati,2026-05-30,official transparency page,transparency practice,H,PATI provides public access to records and many i	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-195C683C005EE078	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-001/helsinki-register-governance-stack-v0.1.json	22	sha256:280fb6f6146fbf09ba35f045e1ed42d699599762118bc58b1b6c11c557be1c57	"title: ""AI Register | City of Helsinki AI Register"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-196DAAE1BE3A5F21	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	126	sha256:99853a4034974bf890c72f8c2ec534324eff3830c45429aeeadec8cc48794dd6	"DZ,Algeria,35.0,30.9,D thin visibility,0.61,40.0,26.7,33.3,46.7,33.3,18,18,0,0,high,10,10,High: candidate score decrease review,""I01: No official AI law, AI Act implementation measure, or equivalent AI governance statute found in checked offici; I03: No public"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-197C05A8FEB60A72	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv	57	sha256:66a8817bb679c8482a079643217825e9bec8d635f82077610fc54267bcef79f1	ALL-NL-ALG-REG-0056,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-97723628,Microsoft 365 Copilot,https://algoritmes.overheid.nl/en/algoritme/97723628,In use,deployed_or_production_or_in_use,yes,official Dutch Algorithm Register bulk	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-19845BB96C5BEA47	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-digest.json	3516	sha256:508e01dcd8d049227248d2d5ddf524550e07aecc0a013909a6540993f8939c31	"text: ""No official operational sandbox page or admissions/testing evidence was found.\"",,,ls-source-hardening,0.0,L->M,confidence_only,true,, 4,LS,Lesotho,I04,,1,L,1,M,,,,\""ISO official member page confirms Lesotho Standards Institution and government has an"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-1985C59B263D886D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_WEAK_SOURCE_WARNINGS.md	552	sha256:4831d7f1dc3ff1142e798816ab0eb6668c2f90f86e67d611dcac530dcb42e929	- oneGov and eFaas publish service/privacy information, but no public algorithm register, automated-decision inventory, or AI transparency register was found.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-19B4653EC7CCD229	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/05-policy-legal-synthesis/paper/venue/evidence-supply-chain-jipitec-preprint.md	223	sha256:033a37ba57ea6b122d2fb58fc2362f395735a2fa8d0901abf91feb52c476a2be	This view also clarifies the role of trust infrastructure. Digital identity, PKI, qualified trust services, electronic signatures, registers and status services are not AI governance by themselves. They are substrate. They can make records attributable, timest	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-19C6C72147492591	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/site/gaia-agent-atlas/public/data/foreign-language-digest.json	8367	sha256:42055a4375ebcf448435ae15aeffa393bceb25faa58eeb0c800c4c78b1893ea3	Names PretorIA as a Colombian Constitutional Court AI project.,	needs direct source, source-pack resolution, or translation-aware review before example promotion
