signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-B50D39B1BD51AF37	reject_noise	derived_or_non_source_noise	Scholarly DOI article, not a direct source surface.	none beyond queue hygiene	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/spanish-portuguese-language-records.jsonl
LIMEN-SIGNAL-B50E695D437208C4	negative_evidence_candidate	negative_evidence_record	Local weak-source warning records no national public algorithm register found.	checked-source absence only	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-B5169EFFB2F1E6F6	merge_existing_surface	already_modeled_surface	Dutch Algorithm Register sample field from an already modeled local register surface.	dedupe to existing local surface only	dedupe to modeled surface	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-015/normalized-long-export-pilot-v0.1.csv
LIMEN-SIGNAL-B51CA1BAB0B5B4E1	negative_evidence_candidate	negative_evidence_record	Local warning records no public official source for an operational regulatory sandbox.	checked-source absence only	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-B51E9AFC137DC334	negative_evidence_candidate	negative_evidence_record	Country scarcity map records no public algorithm register found.	checked-source absence only	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/algorithm-register-scarcity-map.csv
LIMEN-SIGNAL-B52588336A474D8B	reject_noise	derived_or_non_source_noise	Derived claim-support digest, not a named direct source surface.	none beyond queue hygiene	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193210Z/claim-support-digest.json
LIMEN-SIGNAL-B525A531E8EAF0E9	needs_named_source_extraction	source_pack_or_wrapper	Research-queue query bundle names topics but no reviewable source surface.	naming/resolution only	extract named source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-B52C5EC02189069F	source_reviewed_candidate	direct_source_surface	EPO OPS patent record is a concrete institutional source surface.	surface existence only	open bounded source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/epo-ops/raw/WO_2025186508_A1.json
LIMEN-SIGNAL-B52E5E801CB31797	source_reviewed_candidate	direct_source_surface	Local metadata names the African Union Data Policy Framework as an official source surface.	surface existence only	open bounded source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/african-multilingual-language-records.jsonl
LIMEN-SIGNAL-B52FD09EB65C616B	reject_noise	derived_or_non_source_noise	Scholarly DOI record, not a direct source surface.	none beyond queue hygiene	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-records.jsonl
