queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01657	LIMEN-SIGNAL-F3CF43005ACA9E64	source_surface_only_no_case		zkML2024 / Kang et al. arXiv identifier	/srv/tyche/gaia/tyche-research-vault/notes/references-audit-2026-05-25/02-survey-csur.md:101-103	Nearby citation audit names arXiv:2210.08674 but no explicit public URL is present.	source-surface existence only from local citation audit; no case claim	Resolve citation URL manually from citation system if this surface is needed.
BPSE-01658	LIMEN-SIGNAL-F3E74F7ADBE402CA	country_gap_no_parent_source		Mayotte observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:25	Research-queue country gap/profile row with focus queries only; no parent source URL.	processing-state country-gap placeholder only	Leave in country-gap backlog; do not promote as direct source.
BPSE-01659	LIMEN-SIGNAL-F3EB23327F04B241	parent_source_wrapper		Gibraltar observability profile source examples	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:149; /srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv:1242	Country index points to multiple source examples/source-pack rows; human must choose the parent surface.	source-pack wrapper only; no incident/legal/safety claim	Route to human source-pack selection for the relevant Gibraltar source.
BPSE-01660	LIMEN-SIGNAL-F40ACBD1549FD8FA	country_gap_no_parent_source		South Georgia observability country profile	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:1872-1877	Profile records algorithm-register gap and example anchors but no single extractable parent source URL for this row.	country profile gap note only	Keep as country-gap evidence; select source-pack rows separately if needed.
BPSE-01661	LIMEN-SIGNAL-F4152750D263DC3F	source_surface_only_no_case		Nekropolis arXiv-withdrawal section	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-actor-normalized-candidate-update.md:87-92	Draft-method section describes local corpus/source families; no explicit parent public URL at the cited line.	method/source-family description only	Use underlying corpus ledgers for any direct Retraction Watch or arXiv surface.
BPSE-01662	LIMEN-SIGNAL-F4174B20CE8DC1BC	country_gap_no_parent_source		Faroe Islands observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:34	Research-queue country gap/profile row with focus queries only; no parent source URL.	processing-state country-gap placeholder only	Leave in country-gap backlog; do not promote as direct source.
BPSE-01663	LIMEN-SIGNAL-F41DE7EEE3D1DEA0	country_gap_no_parent_source		North Korea readiness matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:138	Country score/gap row summarizes absent sources; it is not a direct parent source URL.	country readiness gap summary only	Keep as gap/profile state; inspect source pack separately if a specific parent is needed.
BPSE-01664	LIMEN-SIGNAL-F455336994A9AB8E	parent_source_wrapper		Eritrea I05 source-hardening searches	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv:15; /srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SOURCE_REFRESH.csv:44-45	Delta refers to multiple official searches for algorithm-register negative evidence; no single parent URL should be chosen automatically.	source-pack/search wrapper only	Human choose among Eritrea I05 source-refresh rows if a parent surface is needed.
BPSE-01665	LIMEN-SIGNAL-F45FE6E7DD531E18	parent_source_wrapper		Germany I05 source-pack entries	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:13; /srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv:10-11	Matrix gap maps to multiple transparency/open-data source rows; needs parent-source choice.	country matrix wrapper only	Human select Hamburg transparency portal or EGovG row if in scope.
BPSE-01666	LIMEN-SIGNAL-F46F629FCAE9BA5C	reject_noise		Nekropolis venue-selection note	/srv/tyche/gaia/tyche-research-vault/notes/nekropolis-submission-prep-prompt-2026-05-22.md:240-246	Publication venue planning note; no reviewable LIMEN parent source URL.	internal planning text only	Drop from parent-source extraction queue.
