signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-DD12041B3E01F01A	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/dutch-belgian-language-history.jsonl	36	sha256:b69cf8500bcb47aee4949648016883ab32f607887833db158f590c5e5e7bafd3	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""multilingual-official-source"", ""content_hash"": ""798570664a302ca9ed7f0a3a24a012a9abbe92a07da61d792caf44dc2526d5dc"", ""content_type"": ""text/html;charset=utf-8"", ""corpus_version"": ""v0.2-wor"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DD124A7055076E9B	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GRAND_PROGRAM_RESULTS.md	2623	sha256:bebdce7ff8a6994cf94f5715f63badd4d7fd60b06a381e7d66c73e8c7d811873	| Procurement uses AI but controls are generic. | Publish AI procurement guidance, clauses, risk checks, documentation requirements, and monitoring duties. |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DD2441CA71B8A01B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	720	sha256:e90032cea3e271c5c4248a7f2ff89e63144543703e994647e2d60913e135deaf	"6,PG,Papua New Guinea,I05,,0,L,0,M,,TRUE,,""Official searches for algorithm register, AI register, automated decision and public register did not identify a public algorithm register. Confidence improves for the negative finding, but absence claims remain searc"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DD27FE91C327F76A	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/preprint-action-board-20260605T193947Z/preprint-action-board.csv	44	sha256:a2958bbd1baa7bd71dcda9e6866dba670cf5a2162f66e475b721cbc89901303c	"pallas,7,estonia-case,105.3069,use-after-citation-check,""\\ I10 & Evidence maturity: logs, attestations, provenance, audit trails, monitoring, revocation & \score{2}{M} & \score{3}{M} & Finland's Kela and Helsinki AI registers give stronger first-pass system-r"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DD28A72067D669F1	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	370	sha256:195fb050cffa86c905893741a2a96ed500f5bb6c1a7b9712a5f8eac24d6da120	4,MR,Mauritania,I05,,0,L,0,L,,,,Static checks of official ministry service/strategy pages and search endpoints did not identify a public algorithm register or AI system inventory. Negative evidence remains cautious.,,,mr-source-hardening,0.0,,source_hardening_	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DD29F884CBF40B1D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/05-policy-legal-synthesis/RESULT.md	41	sha256:61b56822de289b6b999d3490d91fb8a6093bf627c59dbafb5c5a9b6b031bd48b	| The public evidence chain is strongest in adjacent infrastructure, not AI-specific transparency. | v0 means: open data 2.028; digital identity/PKI 1.712; cyber baseline 1.680; authority capacity 1.680; public algorithm registers 0.348; AI law/implementation	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DD2AF640B4EC1F16	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_multilingual_exploitation.py.bak-readiness-cap-20260604T050159Z	106	sha256:4537c3c32970ccdf1c93438e28129cc6a37c1395aaf9871d3c1eb29c00df4db6	('Sandbox / experimentation','sandbox evidence plan; controlled-test log; exit report; learning report',['sandbox','regulatory sandbox','sand box','experimentation','test environment','سینڈ باکس','الصندوق التنظيمي']),	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DD2B72C67E89B39E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	90	sha256:295f7d8f17d87332e2e55501b42b3af963b9764921a589269eae2313060268f3	TD,Chad,high,D thin visibility,high,Chad AI Act implementation competent authority; Chad algorithm register public sector AI; Chad AI regulatory sandbox; Chad AI procurement public sector guidance; Chad AI audit logs provenance post-market monitoring; Chad AI	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DD2CF26796F5BE21	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2784	sha256:30b23e3afc6aab6c30ec4d3b7cb0b37b7f6a145ba03aa4aa3f23467eadb94b68	pallas-readiness-sprint-4,AZ,Azerbaijan,I05,IDDA Open Data Portal,Innovation and Digital Development Agency,https://opendata.az/en,2026-05-30,official open-data portal,Checked as possible transparency infrastructure; no public algorithm register found in first	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DD2D59AAB5C3D7A2	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/eu-agent-atlas-v0.1/snapshots/ai.hel.fi-4eab32bd3c3812da.bin	42	sha256:9a4a95b2d359f6e572987589715075e70bcbecb13a00eea81f95bd2055546572	"<link rel=""alternate"" type=""application/rss+xml"" title=""City of Helsinki AI Register &raquo; Feed"" href=""https://ai.hel.fi/en/feed/"" />"	needs direct source, source-pack resolution, or translation-aware review before example promotion
