as_of_utc	case_id	jurisdiction	language	route_id	route_class	route_url	http_status	page_title	relation_to_seed_row	threshold_change_potential	cautious_finding	paper_thesis_use	visualization_hook	next_smallest_publishability_move
2026-06-08T08:48:46Z	LIMEN-000015	France	fr	OLRA-015-001	same_domain_case_page	https://www.cnil.fr/fr/reconnaissance-faciale-et-interdiction-commerciale-de-stade-la-cnil-adresse-un-avertissement-un-club	200	Reconnaissance faciale et interdiction commerciale de stade : la CNIL adresse un avertissement à un club sportif | CNIL	Current seeded CNIL warning-page row	baseline_only	Current seeded page remains the exact case-specific official surface; this audit did not reveal a stronger same-domain companion from the case page itself.	Supports reviewer-safe route narration for why the French row remains a warning-page sidecar rather than a document-grade authority chain.	France warning-page baseline node	Reuse as the baseline only; reopen for depth only if another exact CNIL document surface appears.
2026-06-08T08:48:46Z	LIMEN-000015	France	fr	OLRA-015-002	same_domain_sanctions_index	https://www.cnil.fr/fr/les-sanctions-prononcees-par-la-cnil	200	Les sanctions prononcées par la CNIL | CNIL	Generic official sanctions index linked from the warning page	possible_case_specific_companion_if_exact_hit_appears	The live sanctions index is reachable and remains the strongest same-domain lateral route, but this cycle found no exact stadium-ban or club-specific companion in the existing bounded checks.	Useful as a reproducible negative-result route ledger for methods/limitations and future French row reopening.	France sanctions-index lateral route badge	Retry only if a fresh exact slug or club-specific sanction/reference appears on the index.
2026-06-08T08:48:46Z	LIMEN-000015	France	fr	OLRA-015-003	same_domain_search_case_query	https://www.cnil.fr/fr/recherche?search=interdiction%20commerciale%20de%20stade	200	Recherche | CNIL	Same-domain case-query search surface	possible_case_specific_companion_if_search_changes	Official site search remains reachable, but the live route still points back to the warning-page slug rather than exposing a second case-specific document-grade companion.	Helps show that the French route problem is not mere discoverability neglect; bounded official search has already been tested.	France official-search route badge	Do not repeat the same query unless the CNIL case ecology changes or another term emerges from a new source.
2026-06-08T08:48:46Z	LIMEN-000015	France	fr	OLRA-015-004	same_domain_tag_sanction	https://www.cnil.fr/fr/tag/Sanction	200	CNIL tag surface for sanctions	Generic sanctions tag archive reachable from the case page	low	This is a generic archive surface, not an exact case companion; its value is route-mapping, not present threshold change.	Useful only as a route-elimination note so later lanes do not mistake generic sanction archives for case-specific support.	France generic-archive exclusion node	Prefer the sanctions index or an exact case slug over another tag-archive reread.
2026-06-08T08:48:46Z	LIMEN-000012	Denmark	da	OLRA-015-005	same_domain_case_page	https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/jun/udvikling-af-ai-loesning-til-sagsbehandling-paa-su-omraadet	200	Udvikling af AI-løsning til sagsbehandling på SU-området	Current seeded Datatilsynet decision-page row	baseline_only	The seeded Danish regulator page remains reachable and title-stable; this cycle found no direct downloadable same-row companion on the tested page.	Preserves the exact baseline row for Table 1B / governance-sidecar reuse while keeping the missing companion class explicit.	Denmark governance-anchor baseline node	Reopen only for an exact-row procurement, DPIA, assessment, or evaluation companion.
2026-06-08T08:48:46Z	LIMEN-000012	Denmark	da	OLRA-015-006	same_domain_ai_category	https://www.datatilsynet.dk/afgoerelser/afgoerelser?categorizations=26410	200	Afgørelser	Same-domain AI-category listing route	medium_for_same_family_context_not_case_specific_depth	The official AI category surface is live and may help discover later same-family AI governance decisions, but it does not by itself deepen the seeded SU row.	Useful for methods and route memory because it distinguishes exact-row companion search from broader same-family category browsing.	Denmark AI-category lateral route node	Use for future bounded comparator discovery, not as evidence of case-specific companion depth.
2026-06-08T08:48:46Z	LIMEN-000012	Denmark	da	OLRA-015-007	same_domain_public_authority_category	https://www.datatilsynet.dk/afgoerelser/afgoerelser?categorizations=6683	200	Afgørelser	Same-domain public-authority decisions listing route	medium_for_same_family_context_not_case_specific_depth	The public-authority category page is reachable and relevant to municipal/agency governance comparison, but this cycle found no exact-row companion from it.	Supports a reviewer-safe statement that the Danish row sits inside a broader official public-authority archive without claiming row-specific companion depth.	Denmark public-authority archive node	Use only for future same-family comparison or route expansion if exact-row evidence changes.
2026-06-08T08:48:46Z	LIMEN-000012	Denmark	da	OLRA-015-008	same_domain_related_ai_decision_2023	https://www.datatilsynet.dk/afgoerelser/afgoerelser/2023/nov/udtalelse-om-behandlingsgrundlag-til-udvikling-og-drift-af-ai-loesning-inden-for-sundheds-og-omsorgsomraadet	200	Udtalelse om behandlingsgrundlag til udvikling og drift af AI-løsning inden for sundheds- og omsorgsområdet	Linked same-domain related AI decision from the 2024 page	comparator_only	The linked 2023 AI decision is a useful official comparator for governance/legal-basis framing, but it is not a case-specific companion to the seeded SU row.	Feeds methods and public-sector proof-ceiling interpretation by showing a broader regulator AI-governance family without inflating the seeded row's depth.	Denmark comparator bridge node	Reuse only as a same-family comparator unless an exact operational companion to the SU row appears.
2026-06-08T08:48:46Z	LIMEN-000009	Slovenia	sl	OLRA-015-009	same_domain_case_page	https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-4	200	Policija - Projekt ORION: Umetna inteligenca za varno mejno kontrolo	Current seeded Policija ORION project page	baseline_only	The seeded Slovenian official page remains the core route; this cycle found additional same-domain mirrors and predecessor pages but no row-specific procurement, register, or assessment document.	Keeps the ORION row anchored in an exact official page while making the remaining depth gap more explicit.	Slovenia project-page baseline node	Reopen depth only if an exact ORION technical, procurement, or assessment companion surfaces.
2026-06-08T08:48:46Z	LIMEN-000009	Slovenia	sl	OLRA-015-010	same_domain_english_mirror	https://www.policija.si/eng/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-4	200	Policija - Policija	Same-domain English mirror of the seeded page	translation_control_only	The English mirror is reachable and useful for translation-control or citation support, but it does not add a stronger authority class beyond the Slovenian source page.	Useful for multilingual methods notes and reviewer-safe translation handling.	Slovenia translation-control node	Reuse only for translation control; do not treat it as a new companion document.
