as_of_utc	artifact_type	slot_or_panel	authority_file	verified_rows	denominator_or_scope	article_role	dashboard_role	bounded_claim_now	mandatory_limitation
2026-06-14T09:25:04Z	figure	Figure 1	results/dashboard/source-family-coverage.tsv	15	15 source-family rows	Route A core	source-family saturation map	Shows source-family saturation and blocker visibility.	Not completeness or equal-authority proof.
2026-06-14T09:25:04Z	figure	Figure 2	results/dashboard/taxonomy-heatmap.tsv	15	39 governed record refs / 29 unique lineages core; 44 / 34 extended; 35 / 27 legacy mechanical	Route A core	taxonomy support heatmap	Shows uneven category support and explicit zero-seed / overlay states.	Do not collapse live core, extended sidecar, and legacy mechanical denominators.
2026-06-14T09:25:04Z	figure	Figure 3	results/dashboard/legal-uncertainty-matrix.tsv	15	15 category rows	Route A core	legal uncertainty matrix	Shows stronger-source needs and category-level claim ceilings.	Not a legal conclusion engine.
2026-06-14T09:25:04Z	figure	Figure 4	results/dashboard/duplicate-review-graph.tsv	27	27 visible graph edges	Route A core	duplicate-review quality-control graph	Shows join safety and non-recurrence duplicate governance.	Not recurrence or prevalence evidence.
2026-06-14T09:25:04Z	figure	Figure 5	results/dashboard/evidence-funnel.tsv	11	21 publication-safe lineages	Route A core	publication-safe evidence-tier funnel	Shows confidence/maturity after lineage collapse.	Not completeness; do not revert to raw row counts.
2026-06-14T09:25:04Z	figure	Figure 6	results/dashboard/jurisdiction-language-coverage.tsv	12	12 jurisdiction-language rows	Route A core	jurisdiction/language visibility map	Shows multilingual visibility asymmetry.	Not a country ranking or prevalence map.
2026-06-14T09:25:04Z	table	Table A	results/dashboard/authoritative-document-depth-facet.tsv	9	9 authoritative-depth rows	Route A core	authoritative document-depth facet	Shows direct-document versus summary-grade authority depth.	Do not flatten document-grade and summary-grade rows.
2026-06-14T09:25:04Z	table	Table B	results/dashboard/public-sector-disclosure-comparison.tsv	6	6 shared-panel rows	Route A core	public-sector disclosure asymmetry comparison	Shows disclosure-surface heterogeneity.	Not procurement proof or public-sector readiness ranking.
2026-06-14T09:25:04Z	table	Table C	results/dashboard/security-crosswalk-coverage-panel.tsv	6	6 crosswalk coverage rows	Route B bounded companion	security / agentic crosswalk coverage	Shows exact versus partial framework/interoperability coverage.	Do not equate broad framework labels with exact case interoperability or prevalence.
2026-06-14T09:25:04Z	figure	Figure 7	results/dashboard/security-threshold-ladder-panel.tsv	4	4 threshold rows	Route B bounded companion	security / agentic threshold ladder	Shows publication-bucket routing and explicit gap state.	Not security prevalence or comparative safety evidence.
2026-06-14T09:25:04Z	figure	Figure 8	results/dashboard/attestation-trust-surface-readiness.tsv	4	4 trust-surface rows	Route C bounded companion	attestation trust-surface readiness	Shows local-bundle provenance and stronger-witness absence.	Not external trust assurance.
