signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-316F1A06A19C629F	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv	12	sha256:1368145bbb98178a4664e9513013110bbbc31725fee225cf76eccc1848650e3c	NL-ALG-REC-33698247,NL-ALG-REG,Dutch national Algorithm Register,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support,2026-	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3171345971E92AA6	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SOURCE_REFRESH.csv	6	sha256:c08a1e7809859f23d474578d860797ac6376a9d7148271fa0959310ce020c2fc	HM,Heard Island and McDonald Islands,I03,Artificial intelligence policy page,Australian Government Department of Industry Science and Resources,https://www.industry.gov.au/science-technology-and-innovation/technology/artificial-intelligence,2026-05-31,parent_s	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-317E988EBCEF590C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	590	sha256:19a27cb5817d4f07369cde3d6916da2a496a4802f9627e759e4d6ce559da024d	pallas-readiness-sprint-1,KR,South Korea,I03,ICT Regulatory Sandbox,Ministry of Science and ICT / IITP,https://www.ictregulation.kr/,2026-05-30,government program,primary,H,Dedicated ICT sandbox site; indicates operational sandbox channel for digital/AI-adjace	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3196065BB1063574	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv	106	sha256:fae506c97ff87f38555e14c503d1f2646c456594d689c7aeb856d3226afad114	DEP-CA-AI-REG-037,CA-AI-REG,Government of Canada AI Register,Canada,2526-CGC-CCG-001,Darktrace,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production,yes,official CSV row with in-production status	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-31A0F9C86AC6950B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	536	sha256:0640ea2488c64f3d2d6dbb2963d7b43c56b8717742af3418e2ba697ed0ad7e21	IT,Italy,I03,Linee guida su IA nella PA: consultazione pubblica su sviluppo e procurement,AgID,https://www.agid.gov.it/it/notizie/linee-guida-su-ia-nella-pa-al-la-consultazione-pubblica-su-sviluppo-e-procurement,2026-05-30,official consultation notice,supporti	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-31AFA3DB3170E495	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv	95	sha256:b6dfec72fae9b6539a17679fcda3ba54d4fab31b65c02d97957aca7f9b3380f8	DEP-CA-AI-REG-026,CA-AI-REG,Government of Canada AI Register,Canada,2526-CSPS-EFPC-021,Microsoft Sentinel,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production,yes,official CSV row with in-production s	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-31CAFE417C912E69	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json	16	sha256:cd4934eca3df1fdb85eb592c796d032f726abb5931bd287457f8f2b5b23cc854	"mission: ""Track regulatory sandboxes, experimentation frameworks, public algorithm registers, and digital-government case studies with evidence-infrastructure value."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-31CC82C50FBEDFA2	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md	1056	sha256:0171fcf33d418ef5deb7b8c6d320dae18e6f0b459ca368677c273875d6cf5c12	- I08: Procurement evidence shows publication practice and a digital-procurement strategy objective; no AI procurement governance was found.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-31D53A1AA99CD72B	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/gaia/tyche-research-vault/papers/eatf-agent-card-attestation-lab/wave3-worldcards/reference-atlas.seed.jsonl	24	sha256:cf077b38909c46f7c90a8549e6a3cc3459c0ba6f07011e06d84538372960a47d	"{""id"":""eudi-arf"",""cluster"":""eudi_wallet"",""kind"":""architecture"",""title"":""European Digital Identity Wallet Architecture and Reference Framework"",""year"":""2026"",""url"":""https://digital-strategy.ec.europa.eu/en/library/european-digital-identity-wallet-architecture-a"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-31D5F06630DBFC4C	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/records.jsonl.bak-cycle172	40	sha256:66974fdcc620615518b4d5c3cb919946e11c569502669cd47c8b81402a6fdad9	"{""agent_id"": ""glean-agents"", ""agent_type"": ""enterprise knowledge AI agents"", ""article50_flags"": [""direct_interaction_disclosure_possible""], ""audit_logs_provenance_claims"": ""Glean AI Agents product page describes agent governance, real-time oversight, observabi"	needs direct source, source-pack resolution, or translation-aware review before example promotion
