signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-989AA458FE28A766	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GRAND_PROGRAM_RESULTS.md	1663	sha256:d81e584a3d53990e669278e5c31ebfe08f74ad0a3559dd366c4306dbfbd43cea	| I05 | Public algorithm registers / transparency | Is there public evidence of AI-system, algorithmic-system, or automated-decision transparency practice? |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-989C9C819CF5010A	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md	1052	sha256:1d0aa630562dea9e682de19e3b4bb428cf080b4ebad22e6b0d2dbf1673f601c9	- I03: No regulatory sandbox was found in first pass. Central Bank and public-regulator surfaces need deeper verification.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98A391E79ED2DAC4	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-107-2026-06-03/records.jsonl	180	sha256:89fc19e55ab8f2ce677f0b6fc5b165836dbf39da4fb89fb9f27ac812db6b982d	"{""agent_id"": ""converzai-virtual-recruiter"", ""agent_type"": ""enterprise recruiting conversation and workflow agent"", ""article50_flags"": [""direct_interaction_disclosure_possible""], ""audit_logs_provenance_claims"": ""No specific audit-log or provenance claim was rev"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98A47ED50243E66C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	67	sha256:187c1ac4a85d8db4201e71591519e910e1af85b9c30e948281e702136f2c5a08	NR,Nauru,high,D thin visibility,high,Nauru AI Act implementation competent authority; Nauru algorithm register public sector AI; Nauru AI regulatory sandbox; Nauru AI procurement public sector guidance; Nauru AI audit logs provenance post-market monitoring; Na	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98A75355F43541FC	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_COUNTRY_MATRIX.csv	38	sha256:c75a2c0466755fde565fb5d078535f98c7cc6b5fa29ac55307f02180bd41892c	"TW,Taiwan,1,M,2,M,1,L,1,L,0,L,2,H,2,H,2,H,2,H,1,M,23,ai_law_status_needs_second_pass;sandbox_not_verified;standards_ai_participation_unverified;no_algorithm_register_found;ai_evidence_lifecycle_not_found,""Taiwan has strong public digital-state source anchors:"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98A990FA1537F5AB	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	59	sha256:e2658a6654a9cac3da4a62ae30752a5c2efb2ac6277bd10f41b7c09ea79e3408	GN,Guinea,high,D thin visibility,high,Guinea AI Act implementation competent authority; Guinea algorithm register public sector AI; Guinea AI regulatory sandbox; Guinea AI procurement public sector guidance; Guinea AI audit logs provenance post-market monitori	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98A99C5821BB3A51	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-route-tune-20260605T043422Z	91	sha256:ddc2dfa0b53c53b7772bb8b525552e8500f54d3577fd11fc1ee3862c3409af50	"mission: ""Monitor Rwanda as a high-value comparative jurisdiction for AI regulation, data protection, PKI/digital identity, regulatory sandboxes, public-sector evidence infrastructure, and law-to-evidence/standards-to-evidence crosswalks."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98AB0B134F102DBD	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl	7	sha256:df3fb280b4830dd1c1ad51ad763945d0ad4531641f106c4387c06870dbf0df94	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""public-algorithm-register"", ""content_hash"": ""7ebf0e748e465048575753c800e9c1e4b9ebe181c6d3d7be1d699ddd21217a1c"", ""content_type"": ""text/html;charset=utf-8"", ""corpus_version"": ""v0.2-workin"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98AE9E763AD171CE	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	security-agentic	agent security	/srv/tyche/projects/limen-ai-edge-case-atlas/results/security/security-agentic-scholarly-screening-v0.1.tsv	7	sha256:d2e731294294b27deec20786d3c6ca9228e75480e4a13569468e4dec14d58c79	SEC-SCH-006 LIMEN-S-064 Agent Security is a Systems Problem https://arxiv.org/abs/2605.18991 public_scholarly_preprint_text_with_attack_specific_claude_code_section LIMEN-000003 Claude Code; DNS exfiltration; approval boundary; agent systems exact_incident_nar	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98AFB7EDC1BE4C82	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z	3210	sha256:fbfb26ca8a34e3b5b04d488d62cd181b6aac4af39d51591dad208477115a8401	"why: ""City-level algorithm register useful as a field-level transparency comparator."""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98B92BD287C24548	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	procurement AI	/srv/tyche/gaia/tyche-research-vault/sites/gaia-agent-atlas/public/data/facts.json	27313	sha256:772a0c1d9be1de1d77b698c5d00468b350fc7c7e56fa5f4646736d3754330f56	"claim: ""Zip says its procurement AI agents are powered by data from 60+ integrations and guide decisions across intake, approvals, and other critical workflows."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98C1A15BC2744DD3	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json	5123	sha256:5684ccc6262c2600b877b6f4b83839067436e7813d9a49a5015e6220feb8dc4f	public-sector AI evidence,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98C4A5437887C423	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_COUNTRY_SCORE_DELTA.csv	86	sha256:90fbcfd7c5f7e392dacad437cf32636523348cb63bef42de9e8bb0181341daba	JO,I05,0,L,0,L,Open-data portal is not a public algorithm register.,true,jo-source-hardening	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98C60B309EE050AA	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260614T0830Z/source-review-input.tsv	76	sha256:635d6faffcec5a04fd43edf8185e099d9048a8d908f843278568953ff5f634b1	LIMEN-SIGNAL-02C1B8348BB062BC first_pass_reviewed promote_to_source_review direct_surface_candidate candidate points directly to a public or official-looking source surface direct source review may inspect source posture only; no prevalence, legality, safety,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98C71CBAA692E15E	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-gap-map-v0.2.csv	14	sha256:29968fe471287c952eba979323400c0daa0396e574c3318095f18cda812e615a	"GM-REC-FI-HEL-AI-SAMPLE-4,FI-HEL-AI-SAMPLE-4,FI-HEL-AI,City of Helsinki AI Register,record_sample,listing_snippet,substantive_page,""Helsinki, Finland"",Finland,Helsinki,English/Finnish/Swedish site; sample from English listing,https://ai.hel.fi/en/ai-register/,"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-98CEA1005F7E9B95	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-gap-map-v0.2.preview.csv	15	sha256:c583a2aa0561447fa8613a536c20349e852b08cfc0438468e7ea5281ae9eccd4	"GM-REC-FI-HEL-AI-SAMPLE-5,FI-HEL-AI-SAMPLE-5,FI-HEL-AI,City of Helsinki AI Register,record_sample,listing_snippet,substantive_page,""Helsinki, Finland"",Finland,Helsinki,English/Finnish/Swedish site; sample from English listing,https://ai.hel.fi/en/ai-register/,"	needs direct source, source-pack resolution, or translation-aware review before example promotion
