source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://doi.org/10.55277/researchhub.6tuberxg	closed_noncase_source_surface	https://doi.org/10.55277/researchhub.6tuberxg	doi.org	doi.org			regulatory sandbox			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.55277/researchhub.u4mjphd1	closed_noncase_source_surface	https://doi.org/10.55277/researchhub.u4mjphd1	doi.org	doi.org			synthetic media			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.55284/4r3qs710	closed_noncase_source_surface	https://doi.org/10.55284/4r3qs710	doi.org	doi.org			regulatory sandbox			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.55317/9781784136086	closed_noncase_source_surface	https://doi.org/10.55317/9781784136086	doi.org	doi.org			regulatory sandbox			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.5553/jv/016758502024050001004	closed_noncase_source_surface	https://doi.org/10.5553/jv/016758502024050001004	doi.org	doi.org			AI evidence; algorithm register			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.55594/pojc9826	closed_noncase_source_surface	https://doi.org/10.55594/pojc9826	doi.org	doi.org			algorithm register			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.55780/re24067	closed_noncase_source_surface	https://doi.org/10.55780/re24067	doi.org	doi.org			regulatory sandbox			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.55780/re24074	closed_noncase_source_surface	https://doi.org/10.55780/re24074	doi.org	doi.org			regulatory sandbox			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.55843/icl2025cong87m	closed_noncase_source_surface	https://doi.org/10.55843/icl2025cong87m	doi.org	doi.org			automated decision			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.57211/revista.v11i11.185	closed_noncase_source_surface	https://doi.org/10.57211/revista.v11i11.185	doi.org	doi.org			algorithm register			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.5771/9783689006198-29	closed_noncase_source_surface	https://doi.org/10.5771/9783689006198-29	doi.org	doi.org			regulatory sandbox			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.5771/9783689006198-57	closed_noncase_source_surface	https://doi.org/10.5771/9783689006198-57	doi.org	doi.org			regulatory sandbox			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.5771/9783748960546-263	closed_noncase_source_surface	https://doi.org/10.5771/9783748960546-263	doi.org	doi.org			automated decision			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.59588/2243-7851.1069	closed_noncase_source_surface	https://doi.org/10.59588/2243-7851.1069	doi.org	doi.org			AI evidence			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
https://doi.org/10.60078/2025-vol4-iss1-pp308-311	closed_noncase_source_surface	https://doi.org/10.60078/2025-vol4-iss1-pp308-311	doi.org	doi.org			AI evidence			DOI/index surface is a scholarly or proxy record, not a concrete AI edge-case event/finding.	Source-surface accounting only; no reviewed-core factual case claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this DOI/index surface.	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No extraction; retain as noncase source-surface accounting unless a direct case-level source is supplied.
