queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01705	LIMEN-SIGNAL-F73AD0661085CCBB	source_url_extracted	https://gitlab.com/crossref/retraction-watch-data/-/raw/main/retraction_watch.csv	Retraction Watch public database via Crossref GitLab mirror	source-family-cause-profile-v01-strict-window-20260522T160305Z.svg:41; source-reviewed-promotion-hardening-v0.1.tsv:1149	SVG row is Retraction Watch family aggregate; local ledger names Crossref GitLab public database mirror.	source-surface existence only from local metadata/files	Use mirror only as source-family anchor; no case or cause claim.
BPSE-01706	LIMEN-SIGNAL-F74B26B5A409C5AC	source_surface_only_no_case		RelativityOne AI legal data platform target-evidence placeholder	v02-coverage-gap-sprint.manifest.json:2642-2648	Manifest row lists desired target-evidence categories, not a concrete public parent source.	processing-state/source-target placeholder only	Do not promote; require a concrete local source row before review.
BPSE-01707	LIMEN-SIGNAL-F769D9AD0F8EB9C6	source_url_extracted	https://fintech.bct.gov.tn/en/sandbox	BCT Regulatory Sandbox	PALLAS_SECOND_PASS_SPRINT_5_SUMMARY.md:82; PALLAS_SECOND_PASS_SPRINT_5_SOURCE_REFRESH.csv:244	Summary names BCT; local source-refresh row gives official sandbox URL.	source-surface existence only; fintech-specific context only	Open bounded source-surface review on BCT sandbox URL.
BPSE-01708	LIMEN-SIGNAL-F78745E736E6AAA4	country_gap_no_parent_source		Guadeloupe country readiness gap row	PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv:23	Country matrix row says no GP-specific algorithm register found; no parent URL in local row/context.	country gap/profile processing state only	Keep as country gap; no source extraction.
BPSE-01709	LIMEN-SIGNAL-F7A082CF3918C451	parent_source_wrapper		Tokelau official transport/contract award pages	PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv:572	Row refers to plural official pages but exposes no concrete URL or named single parent source.	wrapper/source-pack pointer only	Human/source-pack resolution needed to choose parent page.
BPSE-01710	LIMEN-SIGNAL-F7BA982F13713E90	country_gap_no_parent_source		Qatar observability research queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:20	Research queue row is query scaffolding and preferred source classes, not a source URL.	country gap/profile processing state only	Keep as research queue placeholder.
BPSE-01711	LIMEN-SIGNAL-F7E6C316DFE2279E	country_gap_no_parent_source		Vietnam observability country-index gap row	PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:56	Country-index row lists gap flags including no public algorithm register; no parent URL.	country gap/profile processing state only	Keep as country gap; no source extraction.
BPSE-01712	LIMEN-SIGNAL-F7FFA8B16F282285	source_url_extracted	https://aiweek.pakistan.gov.pk/about	Pakistan official Indus AI Week platform	hermes-v02-expansion-seeds.json:5333-5335	Seed object around local line contains explicit title and URL.	source locator metadata only; no programme facts from content snapshot	Retry/capture official platform before evidence extraction.
BPSE-01713	LIMEN-SIGNAL-F80A6CD92B66FBAC	country_gap_no_parent_source		China public algorithm register indicator gap	pallas-country-ai-readiness-indicators-v0.2.csv:116	Indicator aggregate marks public_algorithm_register as gap with count 0; no source URL.	country gap/profile processing state only	Keep as aggregate gap; no source extraction.
BPSE-01714	LIMEN-SIGNAL-F80DB91AFFC774AE	source_surface_only_no_case		Missing AI evidence wire format conceptual gap	eaidas-sokolov-v0.1.tex:387	LaTeX node is a conceptual gap label, not a public source surface.	conceptual manuscript/source-surface placeholder only	Do not promote; no parent source.
BPSE-01715	LIMEN-SIGNAL-F812572190051E35	source_url_extracted	https://gitlab.com/crossref/retraction-watch-data/-/raw/main/retraction_watch.csv	Retraction Watch public database via Crossref GitLab mirror	paper-draft-after-candidate-only-boundaries-update.md:47; source-reviewed-promotion-hardening-v0.1.tsv:1149	Draft discusses Retraction Watch family; local ledger names public database mirror.	source-surface existence only from local metadata/files	Use mirror only as source-family anchor; no case or cause claim.
BPSE-01716	LIMEN-SIGNAL-F834D116EA45212B	country_gap_no_parent_source		DR Congo sandbox negative score-change row	PALLAS_SECOND_PASS_SCORE_CHANGES.csv:21	Score-change row reports no BCC/ARPTC sandbox verified but exposes no concrete parent URL.	country gap/profile processing state only	Keep as negative/gap score placeholder.
BPSE-01717	LIMEN-SIGNAL-F839BB3372F6DC07	country_gap_no_parent_source		Nepal observability country-index gap row	PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:124	Country-index row is synthesized gap/profile text; no parent source URL.	country gap/profile processing state only	Keep as country gap; no source extraction.
BPSE-01718	LIMEN-SIGNAL-F84469CBBBCD879B	source_url_extracted	https://gitlab.com/crossref/retraction-watch-data/-/raw/main/retraction_watch.csv	Retraction Watch public database via Crossref GitLab mirror	draft.md:241; source-reviewed-promotion-hardening-v0.1.tsv:1149	Manuscript guardrail text covers Retraction Watch reason labels; local ledger names source-family database mirror.	source-surface existence only from local metadata/files	Use mirror only as source-family anchor; no case or cause claim.
BPSE-01719	LIMEN-SIGNAL-F84EA4CA69F38CD1	source_url_extracted	https://gitlab.com/crossref/retraction-watch-data/-/raw/main/retraction_watch.csv	Retraction Watch public database via Crossref GitLab mirror	paper-draft-after-actor-normalized-candidate-update.md:179; source-reviewed-promotion-hardening-v0.1.tsv:1149	Taxonomy row includes paper-mill retraction category; local ledger names Retraction Watch database mirror.	source-surface existence only from local metadata/files	Use mirror only as source-family anchor; no case or cause claim.
BPSE-01720	LIMEN-SIGNAL-F85417088FE6478C	country_gap_no_parent_source		Solomon Islands observability research queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:75	Research queue row is query scaffolding and source-class guidance, not a concrete source.	country gap/profile processing state only	Keep as research queue placeholder.
BPSE-01721	LIMEN-SIGNAL-F86FA3CE78B06147	source_url_extracted	https://www.cbsl.gov.lk/en/node/19680	CBSL FinTech Regulatory Sandbox page	PALLAS_SECOND_PASS_SPRINT_15_COUNTRY_SCORE_DELTA.csv:64; source-reviewed-promotion-hardening-v0.1.tsv:60	Country-score row names CBSL sandbox; local hardening ledger gives official CBSL URL.	source-surface existence only; sectoral sandbox context only	Open bounded source-surface review on CBSL page.
BPSE-01722	LIMEN-SIGNAL-F877619D7DAE21CB	source_url_extracted	https://www.micitt.go.cr/sites/default/files/2025-10/Plan%20de%20Acci%C3%B3n%20ENIA%20-%20Versi%C3%B3n%2011%20agosto%202025%20Versi%C3%B3n%20Publicaci%C3%B3n.pdf	Plan de Acción ENIA Costa Rica 2024-2027	PALLAS_SECOND_PASS_SPRINT_8_CANDIDATE_MATRIX_DELTA.csv:36; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:1955	Row references ENIA planned guide/catalog; local source pack gives official MICITT action-plan PDF URL.	source-surface existence only; forward-looking planning source	Use as policy-plan source only; no live register claim.
BPSE-01723	LIMEN-SIGNAL-F880C159D631FF75	parent_source_wrapper		Saint Pierre and Miquelon national procurement-law sources	PALLAS_SECOND_PASS_SPRINT_9_CANDIDATE_MATRIX_DELTA.csv:79	Row retains national procurement-law sources but names no concrete URL or single source surface.	wrapper/source-pack pointer only	Human/source-pack resolution needed to choose retained national procurement-law parent.
