signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-0017C83E706D1CBF	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T06:39:38Z	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-120-20260603T0704/records.jsonl	178	sha256:b5b7e6ac733ff3110ae34e8864774ec0ccc81694e92eadbe3f30a7bc37beb130	"{""agent_id"": ""relevance-ai-agent-workforce-platform"", ""agent_type"": ""enterprise AI agent workforce builder and governance platform"", ""article50_flags"": [""direct_interaction_disclosure_possible"", ""synthetic_text_or_media""], ""audit_logs_provenance_claims"": ""Publ"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-008FA439D95EBB74	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	8588	sha256:6f100f3b7d7e5023d1ce7a77ddf6708e69eed3ea738d8aaed3a507cbac51eb52	"summary: ""Jersey shows operational digital identity, cyber authority/law-development, open data and general government digital/security controls, plus financial-services innovation support. First-pass gaps are AI-specific law/AI Act implementation evidence,"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-00F5F5C3E751EC70	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T06:39:38Z	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-161-20260603T161/records.jsonl	217	sha256:af0ce08a06fcb36ed29c48d817c2c51717b272caaa0eb3d870c8cc4ca7ccff18	"{""agent_id"": ""govwell-ai-community-assistant-autocheck"", ""agent_type"": ""AI-powered local-government operating system with public assistant and application-checking automation"", ""article50_flags"": [""direct_interaction_disclosure_possible"", ""synthetic_text_or_me"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-02C58A6DCCB3183D	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	13392	sha256:1de3f2064fc77f786bd58f9a044f9ca32a9d06c7bf87d1c24838072161ad6d75	"label: ""Public-sector AI procurement governance"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0315F014ECC9D3B9	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1524	sha256:e743cbeccebd54e8962ebe1691bbc22adb648ecc531c59194608ff1f1140b3cb	ALL-CA-AI-REG-0109,CA-AI-REG,Government of Canada AI Register,Canada,2526-NRCan-RNCan-012,AI tool for CFD modelling post-processing,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,o	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-03A96901720CB962	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	135	sha256:b2be6ae50b96c0ec994d54c8e97a4e845ce5fbd7f934d852b795c3c9781963e5	JP,Japan,high,A visible governability,medium,Japan AI Act implementation competent authority; Japan algorithm register public sector AI; Japan AI regulatory sandbox; Japan AI procurement public sector guidance; Japan AI audit logs provenance post-market monito	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-03C4E15C8C0FD05E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	233	sha256:c481714cfb3632c5bd1500fd645d7620eda54c380af07f9401bb401feb45d600	"KH,Cambodia,26.7,23.5,E very low public observability,0.60,20.0,13.3,33.3,46.7,33.3,22,22,0,0,high,8,10,Medium: warning present,""Do not claim Cambodia has an enacted AI law based on Draft National AI Strategy pages.; Do not claim MPTC, the Digital Government C"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-03E145F2632318F5	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	11033	sha256:f35bf1b0831ba2f861b4bea15258bfac253329a430033ac149d2238585526e05	"summary: ""Antigua and Barbuda shows emerging AI-readiness evidence through the government digital-transformation programme and a linked UNESCO AI RAM report, plus partial digital/legal infrastructure including ABBS standards participation, data protection, e"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-040D04ADBF2DA5B5	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	179	sha256:e6d486766f4706ee03112a2dbae1cdd4b4531b2d303cbc4b7c9cf8d372348bf4	ALL-NL-ALG-REG-0178,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-29314889,Risk model prioritising environmental monitoring,https://algoritmes.overheid.nl/en/algoritme/29314889,In use,deployed_or_production_or_in_use,yes,official Dut	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-041E723D230692EE	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1890	sha256:a09e61658b8f899839445fed41370f0a2baa9bb70dfa2d03f516622dbdd21824	13,VA,Vatican City,I05,,0,M,0,M,,true,,Official Legal Office registers are not algorithm/AI-system transparency registers; no public algorithm register found in checked Governorate sources.,,,,,,,,va-source-hardening,none	needs direct source, source-pack resolution, or translation-aware review before example promotion
