signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-3E4A375B63BBF852	reject_noise	scholarly_index_row	Scholarly index or literature metadata, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-3E515BD129FAEBF6	reject_noise	scholarly_index_row	Scholarly index or literature metadata, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/spanish-portuguese-language-latest.jsonl
LIMEN-SIGNAL-3E54F6DC6FD6BA20	merge_existing_surface	existing_register_surface	City of Helsinki AI Register is already modeled in the local registry package.	Dedup to existing modeled surface only.	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-evidence-matrix-v0.1.preview.csv
LIMEN-SIGNAL-3E5F24E69FE36E3A	negative_evidence_candidate	weak_source_warning	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/algorithm-register-scarcity-map.csv
LIMEN-SIGNAL-3E62D6D6AB570F60	reject_noise	derived_artifact	Derived internal artifact, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-105/anchor-drift-audit.json
LIMEN-SIGNAL-3E640487594683B1	negative_evidence_candidate	weak_source_warning	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-3E640F18A5EF6CF7	translation_review_needed	translation_sensitive_official_page	ARMP Gabon legal texts page is a plausible official procurement surface; local evidence is French.	Surface existence/posture only; translation-sensitive local evidence.	queue translation-aware source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv
LIMEN-SIGNAL-3E69B0B877AFEFB1	reject_noise	internal_analysis_artifact	Internal analysis artifact, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/evidence-package/evidence-package-semantic-links-v0.2.jsonl
LIMEN-SIGNAL-3E6C0575F395C5E4	reject_noise	scholarly_index_row	Scholarly index or literature metadata, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/global-south-kenya-history.jsonl
LIMEN-SIGNAL-3E76252F4A144E43	reject_noise	derived_case_dataset	Derived case dataset row, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json
LIMEN-SIGNAL-3E779F61E7DC5D07	negative_evidence_candidate	negative_gap_row	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h4-jurisdiction-family-split-v0.1.json
LIMEN-SIGNAL-3E7993E03D4B7DA4	reject_noise	internal_config_or_script	Internal config or script artifact, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_patent_power_lane.py.partial-proxy-20260530T140843Z.bak
LIMEN-SIGNAL-3E7BF268E1FC2D2A	reject_noise	research_queue_row	Research queue/query row, not named source evidence.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-3E8079FAA330C42E	negative_evidence_candidate	weak_source_warning	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-3E81F996EF365221	negative_evidence_candidate	gap_summary_row	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv
LIMEN-SIGNAL-3E8E8FFC88F799CC	negative_evidence_candidate	gap_summary_row	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md
LIMEN-SIGNAL-3E92416C03405EC3	reject_noise	manuscript_or_notes_artifact	Manuscript or notes artifact, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/paper/venue/estonia-finland-ai-and-ethics-preprint.md
LIMEN-SIGNAL-3E932B7A85FAAEC6	merge_existing_surface	existing_register_surface	Helsinki AI Register sample row duplicates an existing registry surface.	Dedup to existing modeled surface only.	dedupe to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.preview.csv
LIMEN-SIGNAL-3E95C3BF14DF22D9	reject_noise	derived_artifact	Derived internal artifact, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/global-south-brazil-latest.md
LIMEN-SIGNAL-3E9B92C4C29E3476	negative_evidence_candidate	gap_summary_row	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-3E9FE3FD8B7B36C2	reject_noise	internal_config_or_script	Internal config or script artifact, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json
LIMEN-SIGNAL-3EB20FD1F589EF70	reject_noise	internal_config_or_script	Internal config or script artifact, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z
LIMEN-SIGNAL-3EBEFC188F6A1589	negative_evidence_candidate	bounded_negative_check	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv
LIMEN-SIGNAL-3EC166E5762F0D71	negative_evidence_candidate	weak_source_warning	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-3EC56CA795E5B299	negative_evidence_candidate	negative_gap_row	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.csv
LIMEN-SIGNAL-3EC6170632B23AA4	negative_evidence_candidate	bounded_negative_check	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SOURCE_REFRESH.csv
LIMEN-SIGNAL-3EC6FBED1BC26AF6	reject_noise	internal_analysis_artifact	Internal analysis artifact, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-refresh-v0.2.jsonl
LIMEN-SIGNAL-3EC89F222BE9106C	negative_evidence_candidate	negative_gap_row	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.json
LIMEN-SIGNAL-3ED6C03D56DF170D	negative_evidence_candidate	negative_gap_row	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_15_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-3EE23921E74249E6	reject_noise	manuscript_or_notes_artifact	Manuscript or notes artifact, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-actor-normalized-candidate-update.md
LIMEN-SIGNAL-3EE6C2E1E45A1323	negative_evidence_candidate	weak_source_warning	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-3EE9AFB0F7152404	reject_noise	derived_case_dataset	Derived case dataset row, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-161-20260603T161/records.jsonl
LIMEN-SIGNAL-3EEAB03642B18A65	negative_evidence_candidate	gap_summary_row	Row records a bounded absence, gap, or weak-source finding rather than a named direct source surface.	Negative or absence evidence only from local metadata.	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-3EF742BD0D8E7BD4	reject_noise	research_queue_row	Research queue/query row, not named source evidence.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-3EFB6CAED5330955	reject_noise	derived_artifact	Derived internal artifact, not a direct source surface.	No direct-source claim should be made from this derived artifact.	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GRAND_PROGRAM_RESULTS.md
