queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02498	LIMEN-SIGNAL-B6196BEEE0D30664	country_gap_no_parent_source		French Polynesia	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:93	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02499	LIMEN-SIGNAL-B62CD53A9EDE9EB2	country_gap_no_parent_source		Comoros	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:110	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02500	LIMEN-SIGNAL-B7B79C7F9E02DFEE	country_gap_no_parent_source		Russia	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:177	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02501	LIMEN-SIGNAL-B7D3D66DF7C0717C	country_gap_no_parent_source		Pakistan	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:171	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02502	LIMEN-SIGNAL-B8FA5289EC8250B0	country_gap_no_parent_source		United States	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:142	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02503	LIMEN-SIGNAL-BA311CBC7218ECE5	country_gap_no_parent_source		Aruba	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:109	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02504	LIMEN-SIGNAL-BA5B23F7DC5BE588	country_gap_no_parent_source		Latvia	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:174	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02505	LIMEN-SIGNAL-BA8C350396FCA79D	country_gap_no_parent_source		Denmark	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:143	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02506	LIMEN-SIGNAL-BC1F806FB69DC923	country_gap_no_parent_source		Brazil	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:158	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02507	LIMEN-SIGNAL-BC2B34AA4526FC4C	country_gap_no_parent_source		Bahrain	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:163	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02508	LIMEN-SIGNAL-BC46074B97DB8748	country_gap_no_parent_source		Isle of Man	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:98	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02509	LIMEN-SIGNAL-BC5886F1BC873C5F	country_gap_no_parent_source		Russia	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:177	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02510	LIMEN-SIGNAL-BC8761ABC8966E5D	country_gap_no_parent_source		Belgium	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:164	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02511	LIMEN-SIGNAL-BD0A3C4AE62AD27A	country_gap_no_parent_source		British Indian Ocean Territory	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:114	Local research queue row is a country/query placeholder with no explicit parent URL.	source-discovery target only; no source-surface claim	extract named official/vendor/register source before review
BPSE-02512	LIMEN-SIGNAL-BD7124189751D542	country_gap_no_parent_source		Maldives	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:111	Local research queue row is a country/query placeholder with no explicit parent URL.	unresolved source-discovery lead only; no direct-source existence claim	extract named official/institutional source before review
BPSE-02513	LIMEN-SIGNAL-BD854091B6459F8A	country_gap_no_parent_source		Caribbean Netherlands	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:117	Local research queue row is a country/query placeholder with no explicit parent URL.	unresolved source-discovery lead only; no direct-source existence claim	extract named official/institutional source before review
BPSE-02514	LIMEN-SIGNAL-BDD83934FD19FAF9	country_gap_no_parent_source		United States	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:142	Local research queue row is a country/query placeholder with no explicit parent URL.	unresolved source-discovery lead only; no direct-source existence claim	extract named official/institutional source before review
