surface_id	surface_kind	source_or_member	accessed_at_utc	exact_fields_or_signals	example_values	bridge_role_now	evidence_tier	paper_thesis_use	uncertainty	visualization_dashboard_hook	next_smallest_publishability_move
aiid-page-data-incident-core	public_page_data_json	https://incidentdatabase.ai/page-data/cite/1515/page-data.json	2026-06-07T10:10:39Z	result.data.incident.incident_id | result.data.incident.title | result.data.incident.date | result.data.incident.description	1515 | Purportedly AI-Generated Airport Videos Reportedly Showed Diaspora Voters Supporting Albin Kurti | 2025-11-23	Reviewer-safe exact incident ID/title/date anchor for one bounded public AIID route.	direct_public_page_data_json	Methods appendix note showing AIID is stronger than a homepage-only comparator while still below bulk-ingest claims.	One exact page-data route does not prove full archive equivalence, stable API guarantees, or same-event overlap with LIMEN rows.	Comparator evidence ladder: visible cite page -> page-data core fields.	Keep AIID at bounded-public-comparator status unless a second exact public record route is verified without widening scope.
aiid-page-data-report-family	public_page_data_json	https://incidentdatabase.ai/page-data/cite/1515/page-data.json	2026-06-07T10:10:39Z	result.data.incident.reports[].report_number | result.data.allMongodbAiidprodReports.nodes[0].source_domain | .language | .url | .tags	7347|7348|7349 | hibrid.info | en | report URL present | tags field present	Public linked-report provenance/language/source-domain family for multilingual and source-ledger comparison.	direct_public_page_data_json	Dashboard/source-provenance panel and thesis note on report-level metadata availability inside a public incident route.	Verified on one incident page only; field population consistency across the corpus remains untested.	Country-language-domain facet panel and report-provenance tooltip surface.	If comparator work returns, prefer one bounded note on how report-language/source-domain fields can feed metadata-first comparisons without mirroring article text.
aiid-page-data-actor-system-family	public_page_data_json	https://incidentdatabase.ai/page-data/cite/1515/page-data.json	2026-06-07T10:10:39Z	result.data.incident.Alleged_developer_of_AI_system[] | Alleged_deployer_of_AI_system[] | Alleged_harmed_or_nearly_harmed_parties[] | implicated_systems[]	voice-synthesis-technology-developers | information-manipulation-actors | general-public-of-kosovo | voice-synthesis-technology	Structured actor/deployer/harmed-party/system arrays visible on one public incident route.	direct_public_page_data_json	Evidence-infrastructure chapter note on why AIID can support actor-role overlays as well as title/date metadata.	Field names and example values are verified, but no controlled-vocabulary stability claim is made beyond this observed route.	Actor-role overlay and system-modality comparison panel.	Keep any future join prototype metadata-first and avoid same-entity claims until a second route confirms field-family regularity.
aiid-page-data-taxonomy-family	public_page_data_json	https://incidentdatabase.ai/page-data/cite/1515/page-data.json	2026-06-07T10:10:39Z	result.data.allMongodbAiidprodTaxa.nodes[0].namespace | .field_list[0].short_name	CSETv1 | Incident Number	Public incident route also exposes attached taxonomy namespace and field-definition metadata.	direct_public_page_data_json	Crosswalk methods note showing AIID has taxonomy-facing metadata on the same public route as incident core fields.	This proves visible taxonomy metadata presence, not complete classification occupancy or namespace-normalization guarantees.	Comparator evidence ladder node linking incident metadata to taxonomy metadata.	Reuse this as the upper bound for taxonomy-language unless a second namespace or populated classification row is verified.
aiid-page-data-classification-state	public_page_data_json	https://incidentdatabase.ai/page-data/cite/1515/page-data.json	2026-06-07T10:10:39Z	result.data.allMongodbAiidprodClassifications.nodes length	0	Negative but useful evidence: page-level classification occupancy is not guaranteed even when taxonomy metadata is present.	direct_public_page_data_json	Methods caveat and reviewer-safe warning against assuming all public AIID routes carry populated classification nodes.	Observed on one incident page only; absence here does not imply absent classifications platform-wide.	Control badge for occupancy asymmetry in comparator-readiness tables.	Preserve this negative control if future AIID prose starts to imply automatic classification availability.
aiid-snapshots-index	public_snapshot_index_html	https://incidentdatabase.ai/research/snapshots/	2026-06-07T10:10:39Z	Count of dated backup links | latest backup locator	264 public backup links | backup-20260601120109.tar.bz2	Public archive-cadence surface supporting provenance and lag notes.	public_snapshot_index_html	Provenance appendix showing AIID exposes a real dated snapshot stream rather than a generic homepage-only claim.	Index visibility does not by itself prove archive schema stability, completeness, or unrestricted bulk-reuse posture.	Comparator evidence ladder node for archive discoverability and lag monitoring.	Keep using the snapshots page as a lag/provenance layer rather than as proof of full archive equivalence.
aiid-snapshot-incidents-header	bounded_snapshot_member_inspection	mongodump_full_snapshot/incidents.csv within backup-20260601120109.tar.bz2	2026-06-07T10:10:39Z	CSV header family	_id | incident_id | date | reports | Alleged deployer of AI system | Alleged developer of AI system | Alleged harmed or nearly harmed parties | description | title	Bounded proof that the public snapshot package exposes compact incident-level fields aligned with public page-data claims.	bounded_public_snapshot_member_inspection	Methods table row connecting public page-data core fields to public snapshot export columns without mirroring the archive.	Header verification alone does not prove row-level semantic equivalence or field-completeness across snapshots.	Comparator evidence ladder node for page-data-to-snapshot alignment.	Use only as schema-support evidence unless a second bounded row-level alignment check is justified.
aiid-snapshot-reports-header	bounded_snapshot_member_inspection	mongodump_full_snapshot/reports.csv within backup-20260601120109.tar.bz2	2026-06-07T10:10:39Z	CSV header family	_id | authors | date_downloaded | date_modified | date_published | date_submitted | description | image_url | language | ref_number | report_number | source_domain | submitters | text | title | url | tags	Bounded proof that the public snapshot package exposes report-level provenance, timing, language, and source-domain fields.	bounded_public_snapshot_member_inspection	Reviewer-safe field-family evidence for country/language/source-domain dashboards and multilingual methods notes.	Header-only verification does not justify broad text extraction or claims about population quality across all reports.	Source-domain and language facet panel for comparator metadata readiness.	Prefer metadata-only uses and avoid article-text mirroring.
aiid-snapshot-gmf-header	bounded_snapshot_member_inspection	mongodump_full_snapshot/classifications_GMF.csv within backup-20260601120109.tar.bz2	2026-06-07T10:10:39Z	CSV header family	Namespace | Incident ID | Published | Known AI Goal | Potential AI Goal | Known AI Technology | Potential AI Technology | Known AI Technical Failure | Potential AI Technical Failure	Bounded proof that the public snapshot package contains explicit classification-family exports tied to incident IDs.	bounded_public_snapshot_member_inspection	Taxonomy appendix note showing AIID can support cautious goal/technology/failure overlays at the field-family level.	Header presence does not prove stable vocabulary normalization or current page-level occupancy.	Known-vs-potential classification layer in a crosswalk heatmap.	Treat classification overlays as a future bounded route, not as a current live local join surface.
aiid-snapshot-collection-metadata	bounded_snapshot_member_inspection	mongodump_full_snapshot/aiidprod/incidents.metadata.json | classifications.metadata.json | taxa.metadata.json	2026-06-07T10:10:39Z	collection names and index names	incidents indexes: _id_, incident_id_idx | classifications indexes: _id_ | taxa indexes: _id_	Internal collection metadata confirms the snapshot package includes incidents, classifications, and taxa layers beyond flattened CSV exports.	bounded_public_snapshot_member_inspection	Schema/provenance note separating public export headers from collection-level packaging evidence.	Collection metadata confirms packaging structure, not full document schemas or stable long-term backend design.	Comparator evidence ladder node for schema-packaging depth.	Keep this as provenance support only unless a future bounded schema note can cite exact stable document keys.
