signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-18382C50C9F2B263	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json	2508	sha256:a9bd54d6ed93ba49905c6d243b13055b85a81213131ec4e0dbea571367c9a880	algorithm or AI register entry,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-183B4AD29096D016	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-024/source-map-concentration-board-v0.1.csv	27	sha256:497122c1db4464abf9c46069b3aa334cfd51522bb2aeccd8165366b0d48bee18	26,FI-HEL-AI,City of Helsinki AI Register,Finland,active_register,5,0.2,99.1,long_tail,Source-landscape concentration only; not jurisdictional prevalence or public-sector AI adoption.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-183C0CE386DEF27E	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl	263	sha256:641f825405798854008b61cb9937cc27572fbbdc4a529f47baeac6d99855c436	"{""already_in_main_dataset"": false, ""authors"": [""Qiqi Gao"", ""Jiteng Zhang""], ""category"": ""scholarly-index-result"", ""container_title"": ""Artificial Intelligence and the Rule of Law"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.1007/978-981-99-9211-9"", ""domain"":"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-1842B528DF65E7C8	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/patent-power-latest.jsonl	206	sha256:9151ecbf7907dd297d4b107f0847bb81ffb015ed1ab3ea3df83a8a0ce8e2f01e	"{""assignee"": ""英商凱理普特恩國際有限公司"", ""category"": ""patent-landscape"", ""corpus_version"": ""v0.2-working"", ""country_label"": ""Taiwan"", ""factory_record_id"": ""2bcc0bbc1d86fb75015279e2"", ""family_countries"": [""AU"", ""BR"", ""CN"", ""CO"", ""EA"", ""EP"", ""GB"", ""IL"", ""JP"", ""KR"", ""MA"", """	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-184E589A489ED34D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-gap-map-v0.2.csv	6	sha256:d9aaec75b2c9011644a3e77dbb0185d776de22837e93c922584c38d8cd948c30	GM-SRC-EUROCITIES-ATS,EUROCITIES-ATS,,Algorithmic Transparency Standard / algorithmregister.org,reference_schema,schema_template,substantive_page,European cities,Europe,,en,https://www.algorithmregister.org/,2026-06-05,licence_unresolved,Public website; standa	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-18506865AC73F88B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/gaia/tyche-research-vault/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-v0.1.csv	53	sha256:481fdb549fcf759b2bff7b5b74f640ec6ad6764550fec5a7df779b40fbea5de7	west-brabant-chatbot-bo,Chatbot Bo,West Brabant tax cooperation,West Brabant tax cooperation,Netherlands,Netherlands tax-service websites and WhatsApp,EU member-state regional tax cooperation lists an in-use public chatbot in the Dutch Algorithm Register.,http	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-1851CC582EC032EC	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	140	sha256:37ee1ef314b39dec9357b2e68ce4eb0359287a0ba2d2795f26c12f322fb1d2d9	ACC-SCOT-009,P0,SCOT-AI-REG,Scottish AI Register,Scotland,active_register,SCOT-42,Dynamic page for all systems - Scottish AI Register,https://scottishairegister.com/ai-system/scra-ai-programme-explainer-card/42,200,official Scottish AI Register listing plus de	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-185458F07CD0A97D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_WEAK_SOURCE_WARNINGS.md	425	sha256:965bce5a3e456af3d758e3a6e27b84089d3ae00058f90a29efe3a16dcb7e6a8e	- No standing algorithm register, automated-decision register, or AI-system inventory was found.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-1862190C3AFA4E1F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/spanish-portuguese-language-records.jsonl	36	sha256:f8bf0b16271b2dd3058604d5390c72bf310193599d7c5e22004d19f937948b94	"{""already_in_main_dataset"": false, ""authors"": [], ""category"": ""scholarly-index-result"", ""container_title"": """", ""doi"": ""10.30923/230250053"", ""domain"": ""doi.org"", ""is_referenced_by_count"": 0, ""lane"": ""spanish-portuguese-language"", ""language_confidence"": ""script-"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-186298F2F53EE02C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	70	sha256:6ba3bd41aa4a368d756c164cf373cd166815d6d6c11c769e67f1236ffd1063d1	PG,Papua New Guinea,high,D thin visibility,high,Papua New Guinea AI Act implementation competent authority; Papua New Guinea algorithm register public sector AI; Papua New Guinea AI regulatory sandbox; Papua New Guinea AI procurement public sector guidance; Pa	needs direct source, source-pack resolution, or translation-aware review before example promotion
