row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00458	LIMEN-SIGNAL-E7EA38E9E9E306B3	reject_noise	not resolved	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/boost/atlas-rare-language-corpus-lab/translation-risk-queue.md:5	Atlas translation-risk queue header	Queue purpose/method text, not a source row or named external locator.	translation-safe source review only; no legal or policy conclusion from machine translation	keep as queue metadata only
TH-00463	LIMEN-SIGNAL-EAFE8D2B5BEEFC5B	cross_project_duplicate	English	https://www.mas.gov.sg/development/fintech/regulatory-sandbox	Singapore MAS fintech regulatory sandbox	Atlas package source-health negative result; derived cross-project comparator, not a LIMEN translation source.	translation-safe source review only; no legal or policy conclusion from machine translation	route/dedupe in Atlas source-health layer
TH-00466	LIMEN-SIGNAL-ECC43238B2253F4D	reject_noise	not resolved	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-cross-20260605T193210Z/claim-support-curated.json:344	Tyche Thesis Atlas claim-language patch	Internal manuscript wording about the Atlas method, not an external source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	exclude from translation-source queue
TH-00470	LIMEN-SIGNAL-EE8DBE81011686E4	cross_project_duplicate	English	https://www.mas.gov.sg/development/fintech/regulatory-sandbox	Singapore MAS fintech regulatory sandbox	Duplicate Atlas source-health negative result for same MAS maintenance-page comparator.	translation-safe source review only; no legal or policy conclusion from machine translation	route/dedupe in Atlas source-health layer
TH-00471	LIMEN-SIGNAL-EED490F8A0DB6D54	translation_source_reviewed	Spanish	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4070	UN Guatemala Evaluación de IA en Guatemala	GAIA record includes URL, source type, Spanish metadata, and local HTML snapshot for bounded source-surface review only.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe with TH-00494; keep upstream GAIA as source owner
TH-00472	LIMEN-SIGNAL-EEF9E4AC494DE686	machine_translation_hold	Russian	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260605T0845EEST/daily/gaia-foreign-language-digest-latest.json:6011	Federal Law No. 123-FZ on Moscow AI experimental legal regime	Only GAIA English summary/paraphrase and official URL are present here; no local original excerpt/snapshot reconstructed.	translation-safe source review only; no legal or policy conclusion from machine translation	obtain original-language text or authoritative local extraction before reuse
TH-00473	LIMEN-SIGNAL-F022ACDE1D3161CF	cross_project_duplicate	English	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl:317	OECD Regulatory experimentation DOI record	Atlas Crossref scholarly-index candidate with DOI and English metadata; belongs in Atlas literature dedupe, not LIMEN translation promotion.	translation-safe source review only; no legal or policy conclusion from machine translation	route/dedupe in Atlas books-theory lane
TH-00474	LIMEN-SIGNAL-F053C0E474CDCF5F	reject_noise	not resolved	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T050415Z/manuscript.tex:33	Tyche Thesis Atlas manuscript abstract	Internal abstract text mentioning translation metaphor; no external source locator.	translation-safe source review only; no legal or policy conclusion from machine translation	exclude from translation-source queue
TH-00476	LIMEN-SIGNAL-F0D2FBB0D0AAA373	cross_project_duplicate	Dutch/English interface	https://algoritmes.overheid.nl/en	Algorithm Register of the Dutch government	Atlas lane note names Dutch register parent; public-registry/Atlas source family should be deduped upstream.	translation-safe source review only; no legal or policy conclusion from machine translation	route to public-registry/Atlas source-family owner
TH-00483	LIMEN-SIGNAL-F35984E8BEA732FE	cross_project_duplicate	English/Estonian context	https://accelerate.ee/experimentation-framework/	Accelerate Estonia Experimentation framework	Atlas source list already names Estonia URL and language; comparator belongs in Atlas package, not LIMEN promotion.	translation-safe source review only; no legal or policy conclusion from machine translation	route/dedupe in Atlas Estonia source list
TH-00494	LIMEN-SIGNAL-F9C57FFBB17B498F	translation_source_reviewed	Spanish	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4055	UN Guatemala Evaluación de IA en Guatemala	Same GAIA Spanish UN Guatemala record as TH-00471; URL and local HTML snapshot support bounded source-surface review only.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe with TH-00471; keep upstream GAIA as source owner
TH-00495	LIMEN-SIGNAL-FA5D434D61F60648	cross_project_duplicate	English	https://www.mas.gov.sg/development/fintech/regulatory-sandbox	Singapore MAS fintech regulatory sandbox	Duplicate Atlas source-health negative result for MAS URL; derived comparator only.	translation-safe source review only; no legal or policy conclusion from machine translation	route/dedupe in Atlas source-health layer
TH-00496	LIMEN-SIGNAL-FA8973F4E78C44B2	reject_noise	not resolved	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T050159Z/manuscript.tex:33	Tyche Thesis Atlas manuscript abstract	Internal abstract text, not an original-language source or named external locator.	translation-safe source review only; no legal or policy conclusion from machine translation	exclude from translation-source queue
TH-00501	LIMEN-SIGNAL-FC3CBF35C7E3D28D	cross_project_duplicate	English	https://www.mas.gov.sg/development/fintech/regulatory-sandbox	Singapore MAS fintech regulatory sandbox	Duplicate Atlas source-health negative result for MAS URL in another staged package.	translation-safe source review only; no legal or policy conclusion from machine translation	route/dedupe in Atlas source-health layer
TH-00010	LIMEN-SIGNAL-05A68FFBC07A21CD	cross_project_duplicate	Chinese	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-043/cross-project-mining-threshold-register.tsv:4	GAIA China deep-synthesis law export	LIMEN row points to GAIA law export locator as governance comparator, not a LIMEN event source.	translation-safe source review only; no legal or policy conclusion from machine translation	route upstream to GAIA law export before any comparator use
TH-00180	LIMEN-SIGNAL-5B738EA7DE327D2E	translation_source_reviewed	English	/srv/tyche/projects/limen-ai-edge-case-atlas/results/authoritative-scout/authoritative-jurisdiction-language-depth-register-v0.1.tsv:9	FCC/Lingo Telecom authoritative core row	Local authoritative register row has named FCC source IDs and English language; no translation upgrade needed.	translation-safe source review only; no legal or policy conclusion from machine translation	hold/reuse only within existing authoritative-core ceiling
TH-00222	LIMEN-SIGNAL-76B320FBBE34DF6D	needs_original_language_source	Finnish	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-029/rare-language-threshold-sequencing-board.tsv:4	Kaleva / Finland queue-only preview lead	Queue row asks for official/public companion but provides no URL or original Finnish source text.	translation-safe source review only; no legal or policy conclusion from machine translation	extract or locate page-specific Finnish official/public source before review
TH-00437	LIMEN-SIGNAL-DDF8B2E7B07F3E68	reject_noise	not resolved	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-007/taxonomy-note.md:46	LIMEN taxonomy note next-move text	Internal next-move guidance, not a source lead with original-language locator.	translation-safe source review only; no legal or policy conclusion from machine translation	exclude from translation-source queue
TH-00099	LIMEN-SIGNAL-32DC198A705AE356	cross_project_duplicate	Danish	https://digst.dk/data/dansk-sprogteknologi/	Digitaliseringsstyrelsen Dansk sprogteknologi	Pallas readiness source-pack row with official URL; belongs in Pallas source refresh/dedupe, not LIMEN translation promotion.	translation-safe source review only; no legal or policy conclusion from machine translation	route/dedupe in Pallas readiness source pack
TH-00261	LIMEN-SIGNAL-8E1A1082806672E0	cross_project_duplicate	Lithuanian	https://data.gov.lt/more/regulation/	State Digital Solutions Agency Reglamentacija	Pallas second-pass official URL row; adjacent open-data context owned by Pallas.	translation-safe source review only; no legal or policy conclusion from machine translation	route/dedupe in Pallas LT source-hardening
TH-00273	LIMEN-SIGNAL-9355606E8344BD6F	cross_project_duplicate	not resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SUMMARY.md:155	Pallas Yemen second-pass summary	Pallas summary negative-evidence prose without row-level URL; route upstream rather than promote.	translation-safe source review only; no legal or policy conclusion from machine translation	route to Pallas Yemen source-hardening if needed
