queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00265	LIMEN-SIGNAL-110BBEF14D40A240	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	4629	Local metadata in pallas_atlas_countries.json points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
BPSE-00266	LIMEN-SIGNAL-110D75725BFF4CA9	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	16	Local metadata in OBSERVABILITY_250_COUNTRY_MATRIX.csv points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
BPSE-00267	LIMEN-SIGNAL-1145F47DD9B1F79F	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	86	Local metadata in OBSERVABILITY_RESEARCH_QUEUE.csv points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
BPSE-00268	LIMEN-SIGNAL-1146A9CD84B58153	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/external-lanes-status.md	99	Local metadata in external-lanes-status.md points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
BPSE-00269	LIMEN-SIGNAL-1150F7583A1BDDB5	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json	2698	Local metadata in v02-gap-sprint.json points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
BPSE-00270	LIMEN-SIGNAL-1152B8DE5766E086	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	18	Local metadata in PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
BPSE-00271	LIMEN-SIGNAL-118FE12C9AC92D4F	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_ESTONIA_FLAGSHIP_CASE_STUDY.md	28	Local metadata in PALLAS_ESTONIA_FLAGSHIP_CASE_STUDY.md points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
BPSE-00272	LIMEN-SIGNAL-11A1EF2BDDC5E5ED	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	250	Local metadata in PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
BPSE-00273	LIMEN-SIGNAL-11D93AA81E08F96B	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	26	Local metadata in PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
BPSE-00274	LIMEN-SIGNAL-11DAF8AD3C5BCFEE	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	36	Local metadata in PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
BPSE-00275	LIMEN-SIGNAL-1201CC4CC1076A3A	source_pack_or_wrapper_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	49	Local metadata in OBSERVABILITY_RESEARCH_QUEUE.csv points toward source candidates but does not yet isolate one named reviewable source surface.	source family or pointer only; not the underlying named surface	extract one named underlying source from local metadata first
