signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-C3127CFCA938C83C	reject_noise	derived_or_internal_artifact	internal manuscript/config/index/export or scholarly artifact, not a direct-source queue item	artifact triage only; not a direct-source claim surface	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T192929Z/claim-support-digest.csv
LIMEN-SIGNAL-C3154132B8AAB544	reject_noise	derived_or_internal_artifact	internal manuscript/config/index/export or scholarly artifact, not a direct-source queue item	artifact triage only; not a direct-source claim surface	drop from direct-source queue	/srv/tyche/projects/public-ai-procurement-gap/publication-goal-card-20260607-full-research-upgrade.md
LIMEN-SIGNAL-C315C0D42D34CD89	merge_existing_surface	existing_modeled_surface	already-modeled Helsinki AI register surface in local registry artifacts	deduplication only against an already-modeled source surface; no further claim uplift	deduplicate against existing modeled surface	/srv/tyche/projects/public-ai-registry/data/registry-record-level-denominator-v0.2.csv
LIMEN-SIGNAL-C319FF44A366D96A	negative_evidence_candidate	negative_evidence	row records absence, weak-source, or evidence-limit posture rather than a named direct source surface	absence/evidence-limit only; do not infer prevalence, legality, compliance, safety, or ranking	keep in negative-evidence or gap-log lane	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv
LIMEN-SIGNAL-C31CB7A4553C40C7	reject_noise	derived_or_internal_artifact	internal manuscript/config/index/export or scholarly artifact, not a direct-source queue item	artifact triage only; not a direct-source claim surface	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-records.jsonl
LIMEN-SIGNAL-C31F54017964773C	reject_noise	derived_or_internal_artifact	internal manuscript/config/index/export or scholarly artifact, not a direct-source queue item	artifact triage only; not a direct-source claim surface	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl
LIMEN-SIGNAL-C321CAA5D75461F9	needs_named_source_extraction	wrapper_or_source_pack	wrapper/source-pack row points toward sources but is not itself a clean direct-source packet	wrapper metadata only until a named source surface is extracted	extract named source surface from local metadata/source pack	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/country-readiness/pallas-country-ai-readiness-indicators-v0.2.jsonl
LIMEN-SIGNAL-C325957C47060C46	needs_named_source_extraction	wrapper_or_source_pack	wrapper/source-pack row points toward sources but is not itself a clean direct-source packet	wrapper metadata only until a named source surface is extracted	extract named source surface from local metadata/source pack	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-C326EC4F6CAEF53E	reject_noise	derived_or_internal_artifact	internal manuscript/config/index/export or scholarly artifact, not a direct-source queue item	artifact triage only; not a direct-source claim surface	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z
LIMEN-SIGNAL-C32C2A23B610AB70	reject_noise	derived_or_internal_artifact	internal manuscript/config/index/export or scholarly artifact, not a direct-source queue item	artifact triage only; not a direct-source claim surface	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-digest.json
