row_id	signal_id	promotion_gate	promotion_priority	source_surface_class	source_review_role	shards	queries	source_path	source_line	title_or_snippet	source_review_reason	claim_ceiling	required_hardening_step	forbidden_overread
SRPH-01133	LIMEN-SIGNAL-BBAC120AA78D008C	needs_named_url_extraction	P3	regulator_or_public_authority	named_official_or_regulator_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1918	14,DK,Denmark,I03,,2,H,2,H,,false,,Official sandbox page confirms a regulatory sandbox established by Digitaliseringsstyrelsen and Datatilsynet with public eligibility and process information. No stronger public outcomes evidence found to j	Local metadata names a concrete official, regulator, institutional, portal, register, or notice surface sufficient for bounded source-surface existence review.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01136	LIMEN-SIGNAL-0E4784D2CCB6978A	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1938	"14,FR,France,I03,,2,M,2,M,,true,,""No score change. CNIL AI/services-publics sandbox and earlier personal-data sandboxes show sandbox practice, but checked sources do not confirm formal Regulation (EU) 2024/1689 AI regulatory sandbox designa"	Local metadata names a concrete institutional source surface suitable for bounded source-surface review.	May claim only that the local row names a reviewable direct source surface; no incident truth or prevalence claim.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01137	LIMEN-SIGNAL-1166D1D631F45321	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1648	"12,GE,Georgia,I03,,2,H,2,H,,false,,""NBG regulatory sandbox source strengthened: controlled real-time testing and 2025 order are documented, but scope remains National Bank-supervised financial sector rather than general AI sandbox."",,,,,,,,"	Local metadata names a concrete institutional source surface suitable for bounded source-surface review.	May claim only that the local row names a reviewable direct source surface; no incident truth or prevalence claim.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01138	LIMEN-SIGNAL-338E10742340F434	needs_named_url_extraction	P3	regulator_or_public_authority	named_direct_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	2078	15,BH,Bahrain,I03,,2,H,2,H,,false,,CBB fintech regulatory sandbox evidence remains strong and operational; do not upgrade because it is sectoral fintech and no general AI sandbox operations were confirmed.,,,,,,,,bh-source-hardening,none	Local metadata names a concrete official, regulator, institutional, or registry surface sufficient for bounded source-surface review.	source-surface existence only; no prevalence, legality, safety, compliance, or ranking claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01139	LIMEN-SIGNAL-41C0FD5D88C62B55	needs_named_url_extraction	P3	regulator_or_public_authority	named_direct_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1318	"10,BT,Bhutan,I03,,2,H,2,H,,false,,""RMA FinTech Regulatory Sandbox Framework is operational, includes AI/ML fintech applications, testing parameters, monitoring/reporting, safeguards, exit and revocation. It remains sectoral fintech sandbox"	Local metadata names a concrete official, regulator, institutional, or registry surface sufficient for bounded source-surface review.	source-surface existence only; no prevalence, legality, safety, compliance, or ranking claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01140	LIMEN-SIGNAL-44A78FEE7697FD9B	needs_named_url_extraction	P3	regulator_or_public_authority	named official regulator source surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	27971	"title: ""Financial Services Authority regulatory sandbox page"","	Local atlas source entry exposes a concrete title with nearby publisher and URL metadata for an official regulator surface.	Bounded source-surface existence/posture only; no incident, legality, compliance, safety, prevalence, or ranking claim.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01141	LIMEN-SIGNAL-77024C9CB6137A9B	needs_named_url_extraction	P3	regulator_or_public_authority	named_official_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	2128	15,LK,Sri Lanka,I03,,2,H,2,H,,false,,CBSL FinTech Regulatory Sandbox page and framework PDF remain strong official evidence for a sectoral sandbox. No change.,,,,,,,,lk-source-hardening,none	Derived review row names a concrete official/institutional source surface sufficient for bounded source-surface review.	source-surface existence/posture only; no operational, legal, or prevalence claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01142	LIMEN-SIGNAL-CD436173A1125FED	needs_named_url_extraction	P3	regulator_or_public_authority	official_regulator_guidelines	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1108	"9,JM,Jamaica,I03,,2,H,2,H,,false,,""BOJ 2024 sandbox guidelines and application requirements are strong current official evidence for a mature fintech regulatory sandbox, but not AI-specific. No score change needed."",,,,,,,,jm-source-hardeni"	Snippet names BOJ 2024 sandbox guidelines/application requirements as a direct regulator surface.	source-surface existence/posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01143	LIMEN-SIGNAL-DFAB2A3FD61361BC	needs_named_url_extraction	P3	regulator_or_public_authority	second_pass_named_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1368	"10,KW,Kuwait,I03,,2,H,2,H,,false,,""CBK Wolooj pages strongly support a mature financial-sector regulatory sandbox with supervised stages, compliance/security/privacy testing, safeguards, and scope boundaries. No score change because frozen"	Local second-pass row names a concrete official/regulator/report/database surface for bounded review.	source-surface posture only; no incident truth, legality, compliance, safety, prevalence, or ranking claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01144	LIMEN-SIGNAL-E8CF07B4EA7A3E14	needs_named_url_extraction	P3	regulator_or_public_authority	second_pass_named_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1988	14,JP,Japan,I03,,3,H,3,H,,false,,Official Cabinet Secretariat regulatory sandbox portal remains strong public evidence for sandbox infrastructure; no stronger AI-specific replacement needed for this hardening pass.,,,,,,,,jp-source-hardenin	Local second-pass row names a concrete official/regulator/report/database surface for bounded review.	source-surface posture only; no incident truth, legality, compliance, safety, prevalence, or ranking claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
