queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00049	LIMEN-SIGNAL-2356D1EC57985A81	translation_sensitive_surface	P1_official_or_regulator_review	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8407	Local metadata points to plausible direct surface gaia-foreign-language-digest-latest.json, but language-sensitive handling is needed before bounded review.	surface existence only pending language-aware review	route to translation-aware source review
BTR-00050	LIMEN-SIGNAL-237B97C24B3C1D3B	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	254	Local metadata points to plausible direct surface PALLAS_READINESS_WORLD_SOURCE_PACK.csv, but language-sensitive handling is needed before bounded review.	surface existence only pending language-aware review	route to translation-aware source review
BTR-00051	LIMEN-SIGNAL-28A2879D1DA9D8DB	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.preview.csv	3	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review
BTR-00052	LIMEN-SIGNAL-296EEE3522645AF1	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.csv	9	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review
BTR-00053	LIMEN-SIGNAL-2A055622EA9DB5E0	translation_sensitive_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260605T0845EEST/daily/gaia-foreign-language-digest-latest.json	7425	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review
BTR-00054	LIMEN-SIGNAL-2CDE433C0D73C075	official_non_english_surface	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_SOURCE_REFRESH.csv	224	official hosted report appears translation-sensitive in local metadata	source-surface existence only pending human translation	route to translation-aware review
BTR-00055	LIMEN-SIGNAL-2D1189FFAC9231E0	official_non_english_surface	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SOURCE_REFRESH.csv	237	official survey PDF appears translation-sensitive in local metadata	source-surface existence only pending human translation	route to translation-aware review
BTR-00056	LIMEN-SIGNAL-2EC80BB6DFC5D8E9	official_non_english_surface	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_SOURCE_REFRESH.csv	6	official decree page appears translation-sensitive in local metadata	source-surface existence only pending human translation	route to translation-aware review
BTR-00057	LIMEN-SIGNAL-2F8AEE05ACF2405B	official_non_english_surface	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	191	official consultation notice appears materially non-English in local metadata	source-surface existence only pending human translation	route to translation-aware review
BTR-00058	LIMEN-SIGNAL-303CF58D22604EAD	official_non_english_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv	288	official French government AI page appears translation-sensitive in local metadata	source-surface existence only pending human translation	route to translation-aware review
BTR-00059	LIMEN-SIGNAL-316F1A06A19C629F	translation_sensitive_surface_pointer	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv	12	Local row points to a plausible direct surface, but the evidence is materially translation-sensitive or non-English.	Translation-safe surface triage only; no substantive inference from untranslated or localized text.	route to translation-aware source review
BTR-00060	LIMEN-SIGNAL-324BC7764828B777	translation_sensitive_surface_pointer	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl	44	Local row points to a plausible direct surface, but the evidence is materially translation-sensitive or non-English.	Translation-safe surface triage only; no substantive inference from untranslated or localized text.	route to translation-aware source review
