queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00049	LIMEN-SIGNAL-37042E041B621A10	source_url_extracted	https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-22-Driving-Efficient-Acquisition-of-Artificial-Intelligence-in-Government.pdf	Driving Efficient Acquisition of Artificial Intelligence in Government (M-25-22)	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3750	US I08 source-refresh row gives exact OMB PDF URL.	federal AI procurement source only; no whole-market AI conformity claim	review OMB PDF as federal procurement-governance evidence only
BPSE-00050	LIMEN-SIGNAL-427236C2A25B6F44	source_url_extracted	https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-57	Article 57: AI regulatory sandboxes	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:5049	Romania profile I03 example resolves to EC AI Act Service Desk URL in local source refresh.	EU context only; not Romania-specific operational sandbox evidence	review only as sandbox context or choose Romania-specific source separately
BPSE-00051	LIMEN-SIGNAL-430C03AD2FD9D80D	source_url_extracted	https://www.digdir.no/kunstig-intelligens/anskaffelse-av-generativ-ki/7546	Anskaffelse av generativ KI	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4013	SJ I10 Digdir/C2PA lead resolves to exact Digdir guidance URL.	Norway/Digdir guidance only; no SJ-specific binding lifecycle/revocation claim	review as guidance baseline with SJ territorial-scope limitation
BPSE-00052	LIMEN-SIGNAL-48F2B8E0089AB92B	source_url_extracted	https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/mgi-lanca-mentoria-ferramenta-de-inteligencia-artificial-que-facilita-a-rotina-de-servidores-publicos	MGI lança MentorIA, ferramenta de inteligência artificial que facilita a rotina de servidores públicos	program/10-pallas-gaia-bridge/data/pallas_gaia_case_source_pack.csv:254-257	PG-048 source pack repeats the official Compras.gov.br MentorIA URL.	named Brazilian public source only; no register, audit, or compliance finding	review original-language source and translation/source-chain gates
BPSE-00053	LIMEN-SIGNAL-491DAC98F9D84794	parent_source_wrapper		China observability research queue	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:2	Research queue lists several China target families but no single reviewable source.	source-family/task-list only; no direct-source claim	choose a specific Chinese official source from local source pack before review
BPSE-00054	LIMEN-SIGNAL-4A8513B80B6B2034	country_gap_no_parent_source		KR negative-route protocol template	readiness-negative-route-protocol-v0.1.csv:2	Template defines a bounded search route and contains no parent public URL.	protocol/template only; no source or absence claim	fill a ledger row after an original-language pointer is explicit
BPSE-00055	LIMEN-SIGNAL-4A8D799F62ED1363	country_gap_no_parent_source		KR negative-source-search ledger template	negative-source-search-ledger-template-v0.1.csv:2	Ledger template is pending and contains no parent public URL.	template only; no source or absence claim	fill one bounded ledger row after original-language pointer and translation note
BPSE-00056	LIMEN-SIGNAL-4B0E93562AA62EE2	parent_source_wrapper		Palau hardening summary source examples	PALLAS_SECOND_PASS_SPRINT_6_HARDENING_SUMMARY.csv:13	Summary lists multiple Palau source leads and unresolved gaps; a human must choose the parent.	multiple source leads only; no direct-source claim	choose one Palau source-pack row before review
BPSE-00057	LIMEN-SIGNAL-4C440B5C1372183B	source_url_extracted	https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-57	Article 57: AI regulatory sandboxes	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:5049	Romania profile I03 example resolves to EC AI Act Service Desk URL in local source refresh.	EU context only; not Romania-specific operational sandbox evidence	review only as sandbox context or choose Romania-specific source separately
BPSE-00058	LIMEN-SIGNAL-4F71B185435802AC	source_surface_only_no_case	https://www.ntrc.kn/	NTRC homepage and official site search checked for sandbox	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2433	KN row is bounded negative sandbox search; local ledger points to NTRC homepage/search surface, not a sandbox case.	source surface for bounded negative only; no sandbox absence proof	review as scoped negative/search-surface evidence only
BPSE-00059	LIMEN-SIGNAL-51C3FA74917FA77C	source_url_extracted	https://akshi.gov.al/preparatory-work-for-the-development-of-the-ai-powered-e-procurement-system/	Preparatory work for the AI-powered e-procurement system	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3447	AL I08 source-refresh row gives exact AKSHI REOI page for AI-powered e-procurement.	project procurement reform evidence only; not general AI procurement-control regulation	review AKSHI REOI/ToR pair for project-scope evidence
BPSE-00060	LIMEN-SIGNAL-51F553D0E104F1F1	source_url_extracted	https://www.transparencia.ad/web/guest/contractacio-publica	Contractació pública section	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3430	AD atlas I08 wrapper resolves to single local I08 procurement source URL.	general procurement transparency only; no AI-specific procurement guidance	review as general procurement baseline with limitation
BPSE-00061	LIMEN-SIGNAL-580CA04012FD56D3	parent_source_wrapper		Colombia sandbox candidates	PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md:370; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2099-2101	Warning names SIC sandbox, SFC La Arenera, and GovDigital Data Sandbox; human must choose among multiple surfaces.	multiple candidate sandbox/source surfaces only	choose one Colombia sandbox source row for direct review
BPSE-00062	LIMEN-SIGNAL-5811DC9223F3550C	source_url_extracted	https://bvirtualogp.pr.gov/ogp/Bvirtual/leyesreferencia/PDF/2-ingles/0075-2019.pdf	Act No. 75-2019 Exclusive Government Bids Database provision	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2576	PR I08 source-refresh row gives exact Act 75-2019 PDF URL for bids database provision.	procurement transparency/statute evidence only; no AI procurement-monitoring enactment claim	review statute provision separately from proposed AI procurement bills
BPSE-00063	LIMEN-SIGNAL-58701DAD514378F0	parent_source_wrapper		Papua New Guinea hardening summary source examples	PALLAS_SECOND_PASS_SPRINT_6_SUMMARY.md:145; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1583-1590	PG summary lists many official source leads across indicators; no single parent surface is selected.	multiple source leads only; no direct-source claim	choose a specific PG source-pack row before review
BPSE-00064	LIMEN-SIGNAL-5B5CA01B1A00585D	country_gap_no_parent_source		Atlas summary indicator label	pallas_atlas_summary.json:145	Atlas summary line is only the I08 indicator label and has no country or parent source URL.	indicator metadata only; no source/case claim	no parent extraction possible from this row
BPSE-00065	LIMEN-SIGNAL-5BAC56EB24FAA830	parent_source_wrapper		Slovakia I08 source-pack wrapper	pallas_atlas_countries.json:10480; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:5182-5184	SK atlas I08 wrapper maps to multiple local source-pack rows; human must choose source.	multiple source leads only; no direct-source claim	choose ÚVO, e-platform, or MIRRI AI-procurement context row before review
BPSE-00066	LIMEN-SIGNAL-5BBBEFD9D105139A	country_gap_no_parent_source		Faroe Islands country profile gap summary	pallas_atlas_countries.json:7213	FO summary says AI procurement controls were not found and provides no direct parent source in the row.	country/profile gap summary only; no direct-source claim	use source-pack rows only after selecting a specific surface
BPSE-00067	LIMEN-SIGNAL-5DD24AA610531774	parent_source_wrapper		Serbia I08 source-pack wrapper	pallas_atlas_countries.json:9869; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3987-3988	RS atlas I08 wrapper maps to procurement law and portal rows; no single parent selected.	multiple general procurement leads only; no direct-source claim	choose Serbian procurement law or portal row before review
