signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-DB04E272E5313BE3	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/multilingual/multilingual-law-to-evidence-v0.2.md	65	sha256:513ff3aebc404be6fb5ae1b9693002b61563cb45ee0b4d46b7a9cf8190c14144	| Kenya | en | [Regulatory Sandbox / Communications Authority of Kenya](https://www.ca.go.ke/regulatory-sandbox) | Digital identity / trust services / PKI | identity credential; certificate chain; signature/timestamp validation evidence; trust-service record |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB06E1F2AC96305C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	53	sha256:fe2ea372cb34f7424a1c38393d0815d61003b4b8a7d1985c11dbee10680b7816	EG,Egypt,high,D thin visibility,high,Egypt AI Act implementation competent authority; Egypt algorithm register public sector AI; Egypt AI regulatory sandbox; Egypt AI procurement public sector guidance; Egypt AI audit logs provenance post-market monitoring; Eg	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB07804CA6637438	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	308	sha256:97409c09fe243c4c08c334999cbe9fc2a2ac273323b7f7188039f0f900717892	4,GW,Guinea-Bissau,I03,,1,L,0,L,,,,No AI/digital regulatory sandbox evidence found in reachable official sources. ARN consultation/regulation pages are not sandbox proof. Candidate downgrade flags v0 score as weak rather than final determination.,,,gw-source-h	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB2083586D523D72	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-facts-latest.jsonl	592	sha256:7d707de9d5176bf3eedf6d6c56bf714191b7dd490f25274480e9f68db3229cb4	"{""content_hash"": ""e33c7b811fed9d8a5a93c1928863aa3f5835bbcb3565d9f37771866047d29d97"", ""corpus_version"": ""v0.2-working"", ""gaia_built_at"": ""2026-06-03T02:05:15+00:00"", ""gaia_record_key"": ""rotterdam-gem-virtual-assistant-register-description-20260531::rotterdam-ge"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB26C148735381A1	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	204	sha256:096cc90fb61d6d26de26e7ce1d706e649fd2f8ca9b1a2a7067c1cc56b889c0a7	- No official Belgian AI regulatory sandbox was found in this first pass.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB28510BD68DDD3C	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SUMMARY.md	93	sha256:a26a08e328edd3ee6172f3ea1c584999fe8cf9b727649df76f7c9fc5d3d1af6d	| AS | I03 | 1/L | 0/L | score_decrease | No American Samoa regulatory sandbox source was found. Search results pointing to the independent State of Samoa Central Bank sandbox should not be counted for American Samoa. Candidate downgrade for review. |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB28514C2DF79BA3	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/records/books-theory-latest.jsonl	1104	sha256:3c860bc8373f5cb276d9052a06bed08cf8f4d45e0d69d48c38eb055a03e2bbd5	"{""already_in_main_dataset"": false, ""authors"": [""Charmaine B. Distor"", ""Oliver Neumann""], ""category"": ""scholarly-index-result"", ""container_title"": ""International Journal of Public Administration"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.1080/01900692.2026."	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB2CECCB967F4D53	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv	49	sha256:46fef429e1b1ff40f38cc15b7f4351844ce14abdc36cb7ce0d4aefd7610c4cbf	pallas-readiness-sprint-2,FO,Faroe Islands,1,M,2,M,0,L,1,L,0,L,2,H,1,M,1,M,2,H,1,M,23,AI_ACT_UNCLEAR;NO_AI_COMPETENT_AUTHORITY_FOUND;NO_SANDBOX_FOUND;NO_ALGORITHM_REGISTER_FOUND;NO_NIS2_CRA_BASELINE_FOUND;NO_AI_PROCUREMENT_RULES_FOUND;NO_AI_POSTMARKET_REVOCATI	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB2FD952818EDFE8	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/eu-agent-atlas-v0.1/snapshots/kela.fi-feb8354a47b8b002.bin	139	sha256:8a78b165e0d75696ade9ba40c95c013501019d693c851765d8495e76d81c7d01	"</div></article></main></div><section class=""bottom-section""><div class=""pagefeedback-container narrow kds-mt-2 kds-mb-8 kds-row"" id=""pagefeedback-container"" role=""complementary"" aria-labelledby=""pagefeedback-heading""><div class=""kds-col kds-col--size kds-col-"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB348885181158D3	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050159Z/tables/registry-evidence-matrix-v0.1.preview.csv	4	sha256:59e5030a21c31544f349209fc5e6177f328a25c25e2100f4adf914c115b9572e	"FI-HEL-AI,City of Helsinki AI Register,active_register,""Helsinki, Finland"",Finland,en/fi/sv,https://ai.hel.fi/en/,2026-06-05,Public municipal website; reuse terms not fully assessed in v0.1,yes,yes,yes,partial,yes,partial,no,partial,yes,yes,yes,unknown,Atlas e"	needs direct source, source-pack resolution, or translation-aware review before example promotion
