signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-D5DD33C14591E47A	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/turkish-hebrew-language-records.jsonl	2	sha256:5ce0b36a9ce2ee2083881f4603e56fd37656fd8b230555d43ceab491862686e5	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""multilingual-official-source"", ""content_hash"": null, ""content_type"": null, ""dates_found"": [], ""domain"": ""tubitak.gov.tr"", ""error"": ""URLError(TimeoutError('timed out'))"", ""http_ok"": fals"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D5DDB42BD0300B81	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1565	sha256:390e356e9f346d2639eca576578b913d65622d5487c326ff223b470cd714aedb	pallas-readiness-sprint-2,RS,Serbia,I03,Serbia Adopts Strategy for the Development of Artificial Intelligence for the Period 2025-2030,National AI Platform / Government of Serbia,https://ai.gov.rs/vest/en/1296/,2026-05-30,official government announcement,Adjac	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D5DEA3CF07C59E82	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_CANDIDATE_MATRIX_DELTA.csv	86	sha256:5aa8d56a26d66901f01d5ea3486f44bf49f072d203f9fa0453ca6c8dcc85de95	"yt-source-hardening,YT,Mayotte,I05,0,L,0,M,confidence_only,""DINUM policy pages show national algorithm/source-code transparency governance, while data.gouv API queries for Mayotte algorithm/AI datasets returned zero; no public Mayotte algorithm register found."	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D5E308704E44D6B2	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	false authorship	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-043/cross-project-mining-threshold-register.tsv	7	sha256:2e4dd24f66691557890f3c220255427db9efd60dbaf4011c92d8996a550d13f9	CPMTR-043-006 20260607T152511Z deepfake|voice cloning|synthetic identity|false authorship|AI-generated evidence|synthetic media gaia+atlas+pallas threshold_decision No non-LIMEN mining hit in this bounded pass surfaced a direct public police/court/regulator ev	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D5E718E332A7B106	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-sample-records-v0.2.preview.csv	3	sha256:6dae8ead664d6d4da312feedeadcf83fcc220f04cdd81a8909a14a58931fef06	"NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support,2026-06-05,Zylab Disclosure Support,""Mi"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D5F37D73CE0166B2	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv	1481	sha256:48aa71eeaaa89b52f9c8adde76ddf9093acdedb59e86dc3668cd4fefb02c2b57	ALL-CA-AI-REG-0066,CA-AI-REG,Government of Canada AI Register,Canada,2526-GAC-AMC-021,Trade Commissioner Service website chatbot (Digital Experience Platform - DXP),https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deplo	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D5F74F1A7305CD51	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	2897	sha256:1da4b158f1ba8ad6cc74038aef5b95955ad136e76714f17d3e0a316cc0017dfb	"pallas-readiness-sprint-4,HK,Hong Kong,I08,Artificial Intelligence: Model Personal Data Protection Framework - governance considerations for procuring AI solutions,""Office of the Privacy Commissioner for Personal Data, Hong Kong"",https://www.pcpd.org.hk/englis"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D5FBFE07ECD75557	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv	185	sha256:c38f168e0af7c3b5ca4cab3ca0168b5033aececb6abbc06ad526411852447a25	IO,British Indian Ocean Territory,I03,BIOT site search / governance and legislation pages,British Indian Ocean Territory Administration,https://www.biot.gov.io/sitemap/,2026-05-31,official_site_index,negative sandbox evidence,M,Static BIOT sitemap/pages checke	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D6049BF1B2F7967C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	642	sha256:f07978053f2fa74477cd0d0397a7e5d4c18a2faf252afa8b71c2d670bb96e3bf	pallas-readiness-sprint-1,LU,Luxembourg,I05,data.public.lu national open data portal search/sitemap first-pass check,Open Data Lëtzebuerg / Luxembourg Government,https://data.public.lu/en/,2026-05-30,official open-data portal,Negative/weak evidence check: no g	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D60A312EB4717090	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_4_SOURCE_REFRESH.csv	186	sha256:79e60ec0f3518ce8a5839a10a2e31e01a9b0c3eb944ca0aa896abbfa935b761c	"NG,Nigeria,I03,Framework for Regulatory Sandbox Operations,Central Bank of Nigeria,https://www.cbn.gov.ng/Out/2021/CCD/Framework%20for%20Regulatory%20Sandbox%20Operations.pdf,2026-05-31,official_regulator_pdf_access_limited,positive_sectoral,L,""CBN URL is offi"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D60D1D85DE659D86	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1516EEST/daily/gaia-foreign-language-digest-latest.json	7636	sha256:f8d809c2bb01f41aac2e406e220db03558c7dd000f26e245c78d2f27a72cdf1c	"quote_safe_paraphrase: ""China's deep-synthesis provisions are tracked as binding synthetic-media and deepfake governance rules for providers and technical supporters of deep synthesis services."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D6106696DFC3085A	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	254	sha256:8ffa6cfc98eec0350f8de6c1c2e2bc47a9d3889f3f3610acb046b6fd83ffc464	"LU,Luxembourg,I05,Open Data Lëtzebuerg API search for intelligence artificielle,Open Data Lëtzebuerg / Luxembourg Government,https://data.public.lu/api/1/datasets/?q=intelligence%20artificielle,2026-05-31,official open-data portal API,context source,M,""Search"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D613432BC28E0685	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	7650	sha256:74547a9a9b9752e9e6a43518a6ed30f5dedf7e5439b24f416f2b7aacb877bae1	"summary: ""China's deep-synthesis provisions are tracked as binding synthetic-media and deepfake governance rules for providers and technical supporters of deep synthesis services."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D6189EC315D2CE49	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv	1490	sha256:09dfe14401d2d6de88ccc0307508195d1de7d0e779c0295f2953ece268e679f8	ALL-CA-AI-REG-0075,CA-AI-REG,Government of Canada AI Register,Canada,2526-ISED-ISDE-001,Leveraging the artificial intelligence-enabled components of the Onscope Search System for the Canadian Intellectual Property Office to issue pre-assessment letters,https:/	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D622396F27C83E67	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.csv	2	sha256:93ffd8e46685135d8af2d9f872b1b86388aecabd56790be432376bad60699421	NL-ALG-REC-83985427,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation,2026-06-05,Octobox Anonymisation,Ministry	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D6278BA10D94A277	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_analysis_claim_support_refresh.py	51	sha256:ae199a05cc18353f4aa98ac9a5c581a6a05f602a4c7f278ac098d79243d5b4ae	"claim: ""Estonia is a compact case for mapping AI evidence governance because digital-state, supervision, standards, accreditation, and experimentation institutions are unusually visible."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
