queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-01898	LIMEN-SIGNAL-81BF23F8DC31E204	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	14769	Country-profile label/summary points to an evidence area but not a named reviewable source surface.	source-surface existence only; no incident truth, prevalence, legality, safety, deployment, ranking, or compliance inference	extract a named source surface before source review
BPSE-01899	LIMEN-SIGNAL-82FF1899FD183A8D	research_queue_wrapper	P1_official_or_regulator_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	136	Country research queue row lists themes/search targets but no named reviewable source surface.	source-surface existence only; no incident truth, prevalence, legality, safety, deployment, ranking, or compliance inference	extract a named official/regulator/vendor surface before source review
BPSE-01900	LIMEN-SIGNAL-83308525363BA8B2	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	17680	Country-profile label/summary points to an evidence area but not a named reviewable source surface.	source-surface existence only; no incident truth, prevalence, legality, safety, deployment, ranking, or compliance inference	extract a named source surface before source review
BPSE-01901	LIMEN-SIGNAL-88776C6261416FB6	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	17162	Country-profile summary is translation-sensitive/summary evidence but does not expose a named reviewable source surface.	source-surface existence only; no incident truth, prevalence, legality, safety, deployment, ranking, or compliance inference	extract the underlying named source and then route for translation if needed
BPSE-01902	LIMEN-SIGNAL-88CC5B60B4896610	research_queue_wrapper	P1_official_or_regulator_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	139	Country research queue row lists themes/search targets but no named reviewable source surface.	source-surface existence only; no incident truth, prevalence, legality, safety, deployment, ranking, or compliance inference	extract a named official/regulator/vendor surface before source review
BPSE-01903	LIMEN-SIGNAL-8F33D4735301D579	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	12471	Country-profile label/summary points to an evidence area but not a named reviewable source surface.	source-surface existence only; no incident truth, prevalence, legality, safety, deployment, ranking, or compliance inference	extract a named source surface before source review
BPSE-01904	LIMEN-SIGNAL-9070601E3BA1B8BB	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	12625	Country-profile label/summary points to an evidence area but not a named reviewable source surface.	source-surface existence only; no incident truth, prevalence, legality, safety, deployment, ranking, or compliance inference	extract a named source surface before source review
BPSE-01905	LIMEN-SIGNAL-927F52512063C9D1	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	11858	Country-profile label/summary points to an evidence area but not a named reviewable source surface.	source-surface existence only; no incident truth, prevalence, legality, safety, deployment, ranking, or compliance inference	extract a named source surface before source review
BPSE-01906	LIMEN-SIGNAL-D98C390B49D05306	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	10939	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01907	LIMEN-SIGNAL-E0D8528EE424148F	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	17221	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01908	LIMEN-SIGNAL-E1425B20FC4C4BB4	research_queue_wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	137	observability research queue row lists country/topic search prompts rather than a named reviewable source surface	no direct-source claim until named source is extracted	extract the smallest named official/vendor/regulator source or downgrade as gap evidence
BPSE-01909	LIMEN-SIGNAL-E43B19B1E251F37C	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	13697	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01910	LIMEN-SIGNAL-E476515B7D8A4D7C	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	14310	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01911	LIMEN-SIGNAL-E758B4A0E7FF3E32	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	11092	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01912	LIMEN-SIGNAL-E7F26A2EAF227D5E	research_queue_wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	139	observability research queue row lists country/topic search prompts rather than a named reviewable source surface	no direct-source claim until named source is extracted	extract the smallest named official/vendor/regulator source or downgrade as gap evidence
BPSE-01913	LIMEN-SIGNAL-E8A5218585DF745B	research_queue_wrapper	P1_official_or_regulator_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	136	observability research queue row lists country/topic search prompts rather than a named reviewable source surface	no direct-source claim until named source is extracted	extract the smallest named official/vendor/regulator source or downgrade as gap evidence
BPSE-01914	LIMEN-SIGNAL-E981281FEF0B7615	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	16453	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01915	LIMEN-SIGNAL-EADEE6BE856AA85C	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	12932	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01916	LIMEN-SIGNAL-EDDD2607E4AE1E33	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	12012	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01917	LIMEN-SIGNAL-F3A2DDCB7D5FDD28	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	14923	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01918	LIMEN-SIGNAL-F6062FB09BAB86EC	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	19822	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01919	LIMEN-SIGNAL-F6491D3325EB52BA	country_profile_label	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	18751	country profile label names an evidence category but not a reviewable source surface	no source-surface claim until named source is extracted	resolve the underlying named public source for this profile category
BPSE-01920	LIMEN-SIGNAL-F6FF3B29A5B7D11A	country_profile_wrapper	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	14098	country profile summary is a derived wrapper and does not expose a named reviewable source surface	no direct-source claim until named source is extracted	extract named underlying source before source review
BPSE-01921	LIMEN-SIGNAL-F9606106D21ABF0F	research_queue_wrapper	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	135	observability research queue row lists country/topic search prompts rather than a named reviewable source surface	no direct-source claim until named source is extracted	extract the smallest named official/vendor/regulator source or downgrade as gap evidence
