queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00337	LIMEN-SIGNAL-1C16EA993C177F6B	source_url_extracted	https://www.rdi.nl/documenten/2025/03/25/vormvoorstel-regulatory-sandbox-ai-verordening	Vormvoorstel Nederlandse regulatory sandbox onder de AI-verordening	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1859	RDI sandbox document URL is explicit in source-refresh rollup for BQ I03.	processing-state source surface only; national/proposed, not BQ-specific	human review territorial applicability and operational status
BPSE-00338	LIMEN-SIGNAL-1C2FB2CC4CA086FA	source_url_extracted	https://www.mcit.gov.ws/	Ministry of Communications and Information Technology	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv:1308	Samoa local source-pack names MCIT and URL as official institution lead.	official source surface only; no public-sector AI case established	human choose/verify Samoa official AI-specific source if needed
BPSE-00339	LIMEN-SIGNAL-1C54EE2663951DED	source_url_extracted	https://digital.gov.kg/	Ministry of Digital Development Kyrgyz Republic	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv:641	Kyrgyzstan local source-pack names digital ministry URL as official source lead.	official source surface only; no sandbox case established	human review for specific Kyrgyzstan sandbox source
BPSE-00340	LIMEN-SIGNAL-1C74D0DE58A420C0	source_url_extracted	https://dga.gov.ge/	Digital Governance Agency	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv:440	Georgia local source-pack names Digital Governance Agency URL.	official source surface only; no public-sector AI case established	human review exact Georgia public-sector AI/procurement source
BPSE-00341	LIMEN-SIGNAL-1C76FAD5C4675432	source_url_extracted	https://www.bancomoc.mz/pt/areas-de-actuacao/inclusao-financeira/sandbox-regulatorio-do-bm/	Sandbox Regulatorio do BM	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:428	Mozambique source-refresh rollup gives exact Bank of Mozambique sandbox URL.	sectoral fintech sandbox source only; not AI-specific or legal finding	human compare with INTIC AI-sandbox lead before scoring
BPSE-00342	LIMEN-SIGNAL-1CC05C56B3F66F4C	source_url_extracted	https://www.boz.zm/financial-stability/regulatory-sandbox	Regulatory Sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:789	Zambia source-refresh rollup gives exact Bank of Zambia sandbox URL for I03.	sectoral payment-systems sandbox source only; not AI-specific	human review AI Strategy sandbox language separately
BPSE-00343	LIMEN-SIGNAL-1CD7D52DFE0B945F	source_url_extracted	https://www.rmiembassyus.org/	Republic of the Marshall Islands Embassy public site	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv:779	Marshall Islands source-pack includes public official-source lead URL.	official source surface only; not AI-specific	human identify primary RMI government/legal source if needed
BPSE-00344	LIMEN-SIGNAL-1CEBCBEC4AFB72B9	source_url_extracted	https://www.telecom.gouv.ci/	Ministry of Digital Transition and Technological Innovation	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv:252	Ivory Coast source-pack names digital ministry URL as primary source lead.	official source surface only; no public-sector AI case established	human verify national AI strategy/source URL
BPSE-00345	LIMEN-SIGNAL-1D2CD3561A78D8DB	source_url_extracted	https://vanban.chinhphu.vn/default.aspx?pageid=27160&docid=202565	Decision 127/QD-TTg National AI strategy	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv:1299	Vietnam local source-pack gives official legal-document URL.	AI strategy source only; no algorithm-register case established	human search official algorithm-register source
BPSE-00346	LIMEN-SIGNAL-1D2D2B352A26974C	source_url_extracted	https://www.potraz.gov.zw/	Postal and Telecommunications Regulatory Authority of Zimbabwe	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv:1352	Zimbabwe source-pack gives POTRAZ official URL.	official ICT regulator surface only; no sandbox case established	human verify Zimbabwe sandbox/AI-specific source
