signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-35E99D7947A849E4	needs_named_source_extraction	proxy_or_synthesis_row	Local metadata points toward an underlying official source, but this row is still a proxy, synthesis, or unnamed source wrapper.	points toward a source family only; no direct-source claim until a named official surface is extracted	extract the named official page, register, law, or notice from local metadata before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-35F8D37893E1B596	merge_existing_surface	existing_registry_or_atlas_surface	Derived local row duplicates an already-modeled Dutch Algorithm Register surface.	already-modeled local surface only; do not treat this derived row as a new direct-source promotion	deduplicate to the existing modeled surface and suppress re-promotion from this row	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/analysis/country-readiness/pallas-country-ai-readiness-v0.2.md
LIMEN-SIGNAL-361A48704FE93637	merge_existing_surface	existing_registry_or_atlas_surface	Derived local row duplicates an already-modeled Dutch Algorithm Register surface.	already-modeled local surface only; do not treat this derived row as a new direct-source promotion	deduplicate to the existing modeled surface and suppress re-promotion from this row	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv
LIMEN-SIGNAL-361F913D32CD5221	merge_existing_surface	existing_registry_or_atlas_surface	Derived local row duplicates an already-modeled Dutch Algorithm Register surface.	already-modeled local surface only; do not treat this derived row as a new direct-source promotion	deduplicate to the existing modeled surface and suppress re-promotion from this row	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-3631AF42FB84DA81	negative_evidence_candidate	bounded_negative_note	Local row records bounded negative, gap, timeout, or weak-evidence context rather than a promotable direct surface.	bounded absence/evidence-limit note only; no claim beyond the local negative or weak-source record	retain only as bounded negative-evidence context or gap note	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv
LIMEN-SIGNAL-36359F665B0ACDFA	merge_existing_surface	existing_registry_or_atlas_surface	Derived local row duplicates an already-modeled Dutch Algorithm Register surface.	already-modeled local surface only; do not treat this derived row as a new direct-source promotion	deduplicate to the existing modeled surface and suppress re-promotion from this row	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-36377205B865B80F	merge_existing_surface	existing_registry_or_atlas_surface	Derived local row duplicates an already-modeled Dutch Algorithm Register surface.	already-modeled local surface only; do not treat this derived row as a new direct-source promotion	deduplicate to the existing modeled surface and suppress re-promotion from this row	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-3637E2732F421999	needs_named_source_extraction	proxy_or_synthesis_row	Local metadata points toward an underlying official source, but this row is still a proxy, synthesis, or unnamed source wrapper.	points toward a source family only; no direct-source claim until a named official surface is extracted	extract the named official page, register, law, or notice from local metadata before review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/global-south-brazil-latest.jsonl
LIMEN-SIGNAL-363E1F026E3713D8	reject_noise	internal_derived_artifact	Local row is an internal manuscript, config, digest, seed, or other derived artifact, not a direct-source surface.	derived local artifact only; no direct-source claim	drop from the direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-cross-20260605T192929Z/claim-support-digest.json
LIMEN-SIGNAL-36767FB515ACCA13	merge_existing_surface	existing_registry_or_atlas_surface	Derived local row duplicates an already-modeled Government of Canada AI Register surface.	already-modeled local surface only; do not treat this derived row as a new direct-source promotion	deduplicate to the existing modeled surface and suppress re-promotion from this row	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-367CD4F214F545B9	negative_evidence_candidate	bounded_negative_note	Local row records bounded negative, gap, timeout, or weak-evidence context rather than a promotable direct surface.	bounded absence/evidence-limit note only; no claim beyond the local negative or weak-source record	retain only as bounded negative-evidence context or gap note	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv
LIMEN-SIGNAL-367FA10C19EA3830	translation_review_needed	translation_sensitive_official_surface	Local metadata names a plausible official surface, but the evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-aware review; no substantive legal or policy conclusion	route to translation-aware source review using the local official page or file only	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.csv
LIMEN-SIGNAL-3682E7390D0A294D	reject_noise	internal_derived_artifact	Local row is an internal manuscript, config, digest, seed, or other derived artifact, not a direct-source surface.	derived local artifact only; no direct-source claim	drop from the direct-source review queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-count-consistency-20260519T174226Z.md
LIMEN-SIGNAL-3687C876D00341D1	reject_noise	internal_derived_artifact	Local row is an internal manuscript, config, digest, seed, or other derived artifact, not a direct-source surface.	derived local artifact only; no direct-source claim	drop from the direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T192929Z/claim-support-digest.json
LIMEN-SIGNAL-3699370ED80FA2BA	source_reviewed_candidate	direct_official_surface	Local metadata names a concrete official, regulator, or institutional source surface suitable for bounded source-surface review.	source-surface existence only; no incident, legality, compliance, safety, deployment, prevalence, or ranking claim	keep for bounded source-surface review on the named official page or file	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_SOURCE_REFRESH.csv
LIMEN-SIGNAL-369AE30FCE92DA95	merge_existing_surface	existing_registry_or_atlas_surface	Derived local row points to an already-modeled UK Algorithmic Transparency Records surface.	already-modeled local surface only; do not treat this derived row as a new direct-source promotion	deduplicate to the existing modeled surface and suppress re-promotion from this row	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-gap-map-v0.2.csv
LIMEN-SIGNAL-36B0405C0F8C0B7F	negative_evidence_candidate	bounded_negative_note	Local row records bounded negative, gap, timeout, or weak-evidence context rather than a promotable direct surface.	bounded absence/evidence-limit note only; no claim beyond the local negative or weak-source record	retain only as bounded negative-evidence context or gap note	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_9_SOURCE_REFRESH.csv
LIMEN-SIGNAL-36B0CAE74BD816E4	merge_existing_surface	existing_registry_or_atlas_surface	Derived local row duplicates an already-modeled Dutch Algorithm Register surface.	already-modeled local surface only; do not treat this derived row as a new direct-source promotion	deduplicate to the existing modeled surface and suppress re-promotion from this row	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-36B475FEAA4A15BC	needs_named_source_extraction	proxy_or_synthesis_row	Local metadata points toward an underlying official source, but this row is still a proxy, synthesis, or unnamed source wrapper.	points toward a source family only; no direct-source claim until a named official surface is extracted	extract the named official page, register, law, or notice from local metadata before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-36BA2762A2465DAB	reject_noise	internal_derived_artifact	Local row is an internal manuscript, config, digest, seed, or other derived artifact, not a direct-source surface.	derived local artifact only; no direct-source claim	drop from the direct-source review queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-actor-normalized-candidate-update.md
LIMEN-SIGNAL-36CA8606C35972A0	negative_evidence_candidate	bounded_negative_note	Local row records bounded negative, gap, timeout, or weak-evidence context rather than a promotable direct surface.	bounded absence/evidence-limit note only; no claim beyond the local negative or weak-source record	retain only as bounded negative-evidence context or gap note	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_9_SOURCE_REFRESH.csv
LIMEN-SIGNAL-36DA37D76D84E141	reject_noise	internal_derived_artifact	Local row is an internal manuscript, config, digest, seed, or other derived artifact, not a direct-source surface.	derived local artifact only; no direct-source claim	drop from the direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-20260605T192147Z/claim-support-digest.json
LIMEN-SIGNAL-37007874F81FEF35	merge_existing_surface	existing_registry_or_atlas_surface	Derived local row duplicates an already-modeled Dutch Algorithm Register surface.	already-modeled local surface only; do not treat this derived row as a new direct-source promotion	deduplicate to the existing modeled surface and suppress re-promotion from this row	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/stratified-record-review-frame-20260608.csv
