queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00721	LIMEN-SIGNAL-740A9F7A4EB31A7A	parent_source_wrapper		Estonia Regulatory Sandbox Semantic Map	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/reports/semantic-links/estonia-regulatory-sandboxes-2026-05-29.md:17-25	Semantic map lists multiple sandbox-related public URLs; no single parent source is selected.	wrapper/routing artifact only; no direct-source, incident, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Human choose the intended Estonia sandbox parent source before review.
BPSE-00722	LIMEN-SIGNAL-741537576BF24E61	source_url_extracted	https://www.boz.zm/financial-stability/regulatory-sandbox	Regulatory Sandbox / Bank of Zambia	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_SOURCE_REFRESH.csv:303	Local source-refresh row explicitly gives the BoZ regulatory sandbox URL.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Open direct source-surface review for the BoZ sandbox URL.
BPSE-00723	LIMEN-SIGNAL-74222C7909743A55	parent_source_wrapper		San Marino observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:41	Queue row lists desired source families only, not a named source URL.	wrapper/routing artifact only; no direct-source, incident, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Resolve one named San Marino official procurement source from source packs or later review.
BPSE-00724	LIMEN-SIGNAL-74342BD1E6FA8D9D	source_surface_only_no_case	https://www.tokelau.org.nz/Tokelau%2BGovernment.html	Tokelau Government	/srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SOURCE_REFRESH.csv:263	Source-refresh row gives only an official portal used as negative sandbox context.	source surface or negative-check context only; no case/source support, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Use only as negative-check surface unless a direct sandbox source is later found.
BPSE-00725	LIMEN-SIGNAL-745BCBE304BD0CA3	parent_source_wrapper		Solomon Islands observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:75	Queue row lists target source types only, with no named direct source URL.	wrapper/routing artifact only; no direct-source, incident, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Resolve one named Solomon Islands official source before review.
BPSE-00726	LIMEN-SIGNAL-747094F623F4AE0D	parent_source_wrapper		Australia observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:7	Queue row lists several target source families; algorithm-register parent source is not selected.	wrapper/routing artifact only; no direct-source, incident, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Choose the intended Australia algorithm-register/source-pack row before review.
BPSE-00727	LIMEN-SIGNAL-748B52DBB1C8406B	parent_source_wrapper		Albania observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:29	Queue row lists target source types only, not one named reviewable source.	wrapper/routing artifact only; no direct-source, incident, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Choose one Albania official public-sector-AI source from local source packs.
BPSE-00728	LIMEN-SIGNAL-749534ABA0892D43	parent_source_wrapper		Gambia observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:56	Queue row lists Gambia target source families and no single sandbox source URL.	wrapper/routing artifact only; no direct-source, incident, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Choose among local Gambia sandbox negative-check/source-pack surfaces if needed.
BPSE-00729	LIMEN-SIGNAL-74A9606B8F6D3553	parent_source_wrapper		Myanmar readiness matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:144	Country matrix/profile row has multiple indicator/source directions and no single procurement URL in the row.	wrapper/routing artifact only; no direct-source, incident, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Choose one Myanmar I08 source-pack URL before direct review.
BPSE-00730	LIMEN-SIGNAL-74D326FDF9C26D5A	source_surface_only_no_case	https://inic.gov.st/viewdoc.php?id=18	Inteligência Artificial – Relatório de Avaliação de Prontidão	/srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_SOURCE_REFRESH.csv:224	Local source-refresh row gives an official-hosted AI readiness report used as negative sandbox evidence.	source surface or negative-check context only; no case/source support, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Use only as negative sandbox-context surface; do not promote as sandbox evidence.
BPSE-00731	LIMEN-SIGNAL-74E2F631CF382310	parent_source_wrapper		Svalbard and Jan Mayen procurement source-pack wrapper	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv:909	Delta row mentions procurement law plus Digdir GenAI procurement guidance; multiple parent URLs exist.	wrapper/routing artifact only; no direct-source, incident, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Human choose Lovdata statute, Digdir GenAI guidance, or procurement portal parent source.
BPSE-00732	LIMEN-SIGNAL-74EE0798F7D76852	parent_source_wrapper		Antarctica observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:44	Queue row lists target source types only and no named direct sandbox source.	wrapper/routing artifact only; no direct-source, incident, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	If reviewing, select the ATS negative-check/source-pack surface explicitly.
BPSE-00733	LIMEN-SIGNAL-753CCAA7AF0A53EA	parent_source_wrapper		Australia 250-country matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv:28	Country matrix row references multiple Australia sources; algorithm-register source requires selection.	wrapper/routing artifact only; no direct-source, incident, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Choose current NSW framework/register source-pack row before review.
BPSE-00734	LIMEN-SIGNAL-75505768BCEEDD5E	source_surface_only_no_case	https://www.ict.gov.pg/?s=algorithm+register	DICT search for algorithm register and AI register	/srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SOURCE_REFRESH.csv:172	Source-refresh row gives an official site-search URL used as negative algorithm-register evidence.	source surface or negative-check context only; no case/source support, legality, compliance, safety, deployment, prevalence, ranking, or reviewed-core promotion inference	Use only as search-limited negative-check surface.
