signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-A1C1762042DE7495	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-064/country-language-overlay.json	10	sha256:ba80702aff680d0d011256a82ea3730d93f9cc8c685bd61d892d5355cfa7163f	"task: ""Target Arabic/Gulf government services, smart-city, healthcare, and public-sector AI evidence with careful legal cautions. Expansion shard 064; avoid duplicating earlier gaia boost 004 work, prefer unresolved gaps and leave a negative result if the sh"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-A1D4F6760E83F125	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/scripts/global_agent_atlas_sharpen.py	398	sha256:9994281e41e2f234663b2e5866bd1462ce6cb5019b0592493bdc7297739cc912	"site:gov.* \artificial intelligence\"" \""automated decision\"" \""public sector\"""","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-A1E31C8D1CE10D45	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_CANDIDATE_MATRIX_DELTA.csv	66	sha256:00217a6ea2fc9f109a8fbcea4f127e7347eb1a7d965036dfd3e1d4ef3dfa9b3c	"ge-source-hardening,GE,Georgia,I05,0,L,0,L,none,""DGA product page, data.gov.ge access attempt, and exact public-query checks did not verify a public algorithm register. Negative evidence remains weak because portal access failed and search noise is high."",true"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-A1EEF997B5A460E3	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-300-active-lanes-40-global-south-humanitarian-forecasting/facts.jsonl	1088	sha256:411d75e355a6dfe14391c51026e596754912c856a82a943a5ca94ddbb4e0755d	"{""agent_id"": ""philippines-egovai-government-ai-platform"", ""claim"": ""Existing eGovAI developer-document evidence exposes a government AI assistant API surface with authentication, message processing, intent recognition, entity extraction, JSON responses, and re"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-A2000F1CDA5BA533	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1465	sha256:404e93302ddee7e4bdc613526d7a34b12ee04b9b8ef61e7377e3129c59d237e0	ALL-CA-AI-REG-0050,CA-AI-REG,Government of Canada AI Register,Canada,2526-FCAC-ACFC-003,Media monitoring,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,official Canada AI Register	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-A206BA0D8929B359	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl	268	sha256:23dd216723753abb0377eea9d2bc0739f691101df4447dcbbf52d4fcc87610db	"{""already_in_main_dataset"": false, ""authors"": [""Paweł Księżak"", ""Sylwia Wojtczak""], ""category"": ""scholarly-index-result"", ""container_title"": ""Law, Governance and Technology Series"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.1007/978-3-031-19447-4"", ""domain"""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-A20F39714C56102E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	700	sha256:961d8935fb27b59fde1ed02cfdf44e9f3729a6010cab4572f586339fb0d68849	"6,NU,Niue,I05,,0,L,0,M,,TRUE,,""Checked government portal, Gazette and digital strategy; no public algorithm register or automated-decision transparency register found. Confidence in negative evidence improves, score unchanged."",,,,,,,,nu-source-hardening,confi"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-A2108CE960762FBF	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/south-asian-language-history.jsonl	1	sha256:100f56b13883ba30f6c62a1cd94fcc9c9a1c7449fa1918ea8592b79dc8c1f65d	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""multilingual-official-source"", ""content_hash"": null, ""content_type"": null, ""corpus_version"": ""v0.2-working"", ""dates_found"": [], ""domain"": ""moitt.gov.pk"", ""error"": ""URLError(OSError(101,"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-A213D949B54DFF30	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/denominator-eligibility-audit-v0.1.csv	8	sha256:19e06ef2f1af9f5c7b51b71d7733a77d457115cd7f19bc86deaa542439966c3e	DEN-REC-NL-ALG-REC-83985427,NL-ALG-REC-83985427,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,record_sample,record_level,substantive_page,no,exclude_from_coverage_rate,licence_unresolved,2026-06-05,public_visibility_only; small_sample; righ	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-A2248BC82D339126	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	public sector AI	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-records.jsonl	517	sha256:dcbd1589888dbacf32aede25358805265f7436efd993beb1b9cbac871f4abc39	"{""already_in_main_dataset"": false, ""authors"": [""Dae-Eun Kim"", ""Healyim Lee"", ""Sue-kyeong Lee"", ""Seok-Jin Eom""], ""category"": ""scholarly-index-result"", ""container_title"": ""Proceedings of the 25th Annual International Conference on Digital Government Research"", """	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-A2367F80A80C638C	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-288-active-lanes-37-malaysia-public-sector-ai-governance/laws.jsonl	9	sha256:12ca2e9f2736d0720f1c8f70d620942a850036723bcf2124568ccf8431ad20bb	"{""affected_verticals"": [""government_public_benefits"", ""migration_border""], ""agent_relevance"": ""Used as a jurisdictional hook for public AI-agent evidence mapping, not as a compliance determination."", ""effective_date"": ""2019-04-01"", ""instrument_name"": ""Directiv"	needs direct source, source-pack resolution, or translation-aware review before example promotion
