queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00409	LIMEN-SIGNAL-2CF932FA60FB20D3	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:44	Research-queue row is a generic Antarctica target bundle with no named source URL.	processing-state only; no direct-source claim	keep as country gap unless a named local source pack is added
BPSE-00410	LIMEN-SIGNAL-2D4C79F4C386DB4F	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:54	Research-queue row is a generic Fiji target bundle with no named source URL.	processing-state only; no direct-source claim	keep as country gap unless a named local source pack is added
BPSE-00411	LIMEN-SIGNAL-2E6B6C258727BC1E	parent_source_wrapper		Pakistan FBR AI-powered taxpayer facilitation chatbot	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json:3399-3405	Manifest lists multiple target evidence types and no concrete parent URL.	wrapper only; no direct-source claim	human must choose a specific public source surface
BPSE-00412	LIMEN-SIGNAL-2E7E853CD1438E4D	source_url_extracted	https://algoritmes.overheid.nl/nl	Het algoritmeregister van de Nederlandse overheid	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4351	Local rollup I05 gives the live public Dutch algorithm register URL.	URL recovery only; no substantive algorithm-register finding	open direct source review packet
BPSE-00413	LIMEN-SIGNAL-2EA10AF361168F28	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:63	Research-queue row is a generic Madagascar target bundle with no named source URL.	processing-state only; no direct-source claim	keep as country gap unless a named local source pack is added
BPSE-00414	LIMEN-SIGNAL-2EB2EBB66FD13F3A	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:36-41	Country profile/score placeholder gives examples but no concrete URL.	processing-state only; no direct-source claim	keep as country profile gap
BPSE-00415	LIMEN-SIGNAL-2ECA6E6524318DED	parent_source_wrapper		Government website search for algoritme; Dutch public algorithm register search for curacao	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_HARDENING_SUMMARY.csv:7 and PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2169-2170	Curaçao I05 has multiple negative/search candidate surfaces; row does not choose one.	wrapper only; no direct-source claim	human choose one parent surface if needed
BPSE-00416	LIMEN-SIGNAL-2F0071051D3D84DE	source_url_extracted	https://www.anssi.ci/documents/87/Strat%C3%A9gie_Nationale_de_lIntelligence_Artificielle_250321_041840.pdf	Stratégie Nationale de l'Intelligence Artificielle - SNIA 2030	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:556	Local profile names official SNIA; rollup I05 gives the PDF URL used for negative algorithm-register context.	URL recovery only; no algorithm-register existence claim	open direct source review packet
BPSE-00417	LIMEN-SIGNAL-2F16E59B6708FEEE	parent_source_wrapper		Attorney General's Chambers search/root; SIG ICT Services Digital Strategy 2026-2030	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:87 and PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1646-1647	Solomon Islands hardening row lists multiple source families for I05.	wrapper only; no direct-source claim	human choose one parent surface if needed
BPSE-00418	LIMEN-SIGNAL-2F71916484734ACF	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:10	Research-queue row is a generic Jersey target bundle with no named source URL.	processing-state only; no direct-source claim	keep as country gap unless a named local source pack is added
BPSE-00419	LIMEN-SIGNAL-2FE6EEA6B295C295	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:59	Research-queue row is a generic Guinea target bundle with no named source URL.	processing-state only; no direct-source claim	keep as country gap unless a named local source pack is added
BPSE-00420	LIMEN-SIGNAL-30117C1B9A4E48C7	parent_source_wrapper		Data.gouv.nc - Open Data NC; Juridoc - Documentation juridique de la Nouvelle-Calédonie	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:79 and PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1496-1497	New Caledonia I05 has multiple negative/check surfaces; row does not choose one.	wrapper only; no direct-source claim	human choose one parent surface if needed
