queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-03417	LIMEN-SIGNAL-BC9520CE0CC71037	country_gap_no_parent_source		Kenya research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:227	Generated country/query prompt row; no concrete parent URL in local source context.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as no parent source unless a named local source is later added.
BPSE-03418	LIMEN-SIGNAL-BD4F055C42B5D55A	country_gap_no_parent_source		Guatemala research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:225	Generated country/query prompt row; no concrete parent URL in local source context.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as no parent source unless a named local source is later added.
BPSE-03419	LIMEN-SIGNAL-BD77EFB712B01081	parent_source_wrapper		PALLAS source-refresh rows for Ethiopia I05	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1881	Local metadata row contains three candidate parent URLs; human choice needed.	May state only that the local atlas points toward a source category; no source existence or substantive claim.	Human reviewer choose one parent URL from cited local metadata before source review.
BPSE-03420	LIMEN-SIGNAL-BD7BCA99E83CE98E	country_gap_no_parent_source		Kuwait research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:196	Generated country/query prompt row; no concrete parent URL in local source context.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as no parent source unless a named local source is later added.
BPSE-03421	LIMEN-SIGNAL-BD9A59B157CF11F8	parent_source_wrapper		PALLAS source-refresh rows for Sierra Leone I05	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:1050-1051	Local metadata lists multiple I05 parent/source-context URLs; human choice needed.	May state only that the local atlas points toward a source category; no source existence or substantive claim.	Human reviewer choose one parent URL from cited local metadata before source review.
BPSE-03422	LIMEN-SIGNAL-BDB401FE5B85F2F3	country_gap_no_parent_source		DR Congo research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:221	Generated country/query prompt row; no concrete parent URL in local source context.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as no parent source unless a named local source is later added.
BPSE-03423	LIMEN-SIGNAL-BEA8FA4F7FF275BA	parent_source_wrapper		PALLAS source-refresh rows for Paraguay I05	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:143-144	Local metadata lists multiple I05 parent/source-context URLs; human choice needed.	May state only that the local atlas points toward a source category; no source existence or substantive claim.	Human reviewer choose one parent URL from cited local metadata before source review.
BPSE-03424	LIMEN-SIGNAL-BF681F90D3CB99D5	country_gap_no_parent_source		Guatemala research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:225	Generated country/query prompt row; no concrete parent URL in local source context.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as no parent source unless a named local source is later added.
BPSE-03425	LIMEN-SIGNAL-BF842F652052BE1A	country_gap_no_parent_source		Greenland research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:209	Generated country/query prompt row; no concrete parent URL in local source context.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as no parent source unless a named local source is later added.
BPSE-03426	LIMEN-SIGNAL-BF87ADC78A9B063C	country_gap_no_parent_source		Moldova research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:184	Generated country/query prompt row; no concrete parent URL in local source context.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as no parent source unless a named local source is later added.
